                                                                                                                                                      
{'loss': 2.1421, 'grad_norm': 6.7683329582214355, 'learning_rate': 2.4875621890547265e-08, 'epoch': 0.0}
{'loss': 2.2609, 'grad_norm': 12.139605522155762, 'learning_rate': 4.975124378109453e-08, 'epoch': 0.0}
{'loss': 2.2943, 'grad_norm': 9.222593307495117, 'learning_rate': 7.462686567164179e-08, 'epoch': 0.0}
{'loss': 1.8434, 'grad_norm': 8.070311546325684, 'learning_rate': 9.950248756218906e-08, 'epoch': 0.0}
{'loss': 2.192, 'grad_norm': 7.421888828277588, 'learning_rate': 1.2437810945273633e-07, 'epoch': 0.0}
{'loss': 2.309, 'grad_norm': 5.622053146362305, 'learning_rate': 1.4925373134328358e-07, 'epoch': 0.0}
{'loss': 2.2894, 'grad_norm': 5.10944938659668, 'learning_rate': 1.7412935323383088e-07, 'epoch': 0.0}
{'loss': 2.243, 'grad_norm': 7.378600597381592, 'learning_rate': 1.9900497512437812e-07, 'epoch': 0.0}
{'loss': 2.0239, 'grad_norm': 5.892491340637207, 'learning_rate': 2.2388059701492537e-07, 'epoch': 0.0}
{'loss': 2.1702, 'grad_norm': 4.633798599243164, 'learning_rate': 2.4875621890547267e-07, 'epoch': 0.0}
{'loss': 2.0889, 'grad_norm': 5.176690578460693, 'learning_rate': 2.736318407960199e-07, 'epoch': 0.0}
{'loss': 1.7774, 'grad_norm': 5.176608562469482, 'learning_rate': 2.9850746268656716e-07, 'epoch': 0.0}
{'loss': 2.0033, 'grad_norm': 6.467824459075928, 'learning_rate': 3.2338308457711446e-07, 'epoch': 0.0}
{'loss': 1.9953, 'grad_norm': 6.021921634674072, 'learning_rate': 3.4825870646766175e-07, 'epoch': 0.0}
{'loss': 2.097, 'grad_norm': 5.002472400665283, 'learning_rate': 3.7313432835820895e-07, 'epoch': 0.0}
{'loss': 2.3412, 'grad_norm': 6.906320095062256, 'learning_rate': 3.9800995024875624e-07, 'epoch': 0.0}
{'loss': 2.1983, 'grad_norm': 5.929842948913574, 'learning_rate': 4.2288557213930354e-07, 'epoch': 0.0}
{'loss': 1.9184, 'grad_norm': 9.769834518432617, 'learning_rate': 4.4776119402985074e-07, 'epoch': 0.0}
{'loss': 2.2693, 'grad_norm': 8.368170738220215, 'learning_rate': 4.7263681592039803e-07, 'epoch': 0.0}
{'loss': 1.8706, 'grad_norm': 7.256918430328369, 'learning_rate': 4.975124378109453e-07, 'epoch': 0.0}
{'loss': 2.1945, 'grad_norm': 6.102008819580078, 'learning_rate': 5.223880597014925e-07, 'epoch': 0.01}
{'loss': 2.1459, 'grad_norm': 11.540546417236328, 'learning_rate': 5.472636815920398e-07, 'epoch': 0.01}
{'loss': 1.9638, 'grad_norm': 6.802342891693115, 'learning_rate': 5.721393034825871e-07, 'epoch': 0.01}
{'loss': 1.8169, 'grad_norm': 5.2955498695373535, 'learning_rate': 5.970149253731343e-07, 'epoch': 0.01}
{'loss': 2.2485, 'grad_norm': 10.52783489227295, 'learning_rate': 6.218905472636816e-07, 'epoch': 0.01}
{'loss': 2.0919, 'grad_norm': 6.823793411254883, 'learning_rate': 6.467661691542289e-07, 'epoch': 0.01}
