                                                                                                              
{'loss': 2.073, 'grad_norm': 8.966557502746582, 'learning_rate': 2.2727272727272729e-07, 'epoch': 0.0}
{'loss': 2.1289, 'grad_norm': 6.937967777252197, 'learning_rate': 4.5454545454545457e-07, 'epoch': 0.0}
{'loss': 1.8228, 'grad_norm': 7.900488376617432, 'learning_rate': 6.818181818181818e-07, 'epoch': 0.01}
{'loss': 2.062, 'grad_norm': 7.264035701751709, 'learning_rate': 9.090909090909091e-07, 'epoch': 0.01}
{'loss': 2.1473, 'grad_norm': 6.242503643035889, 'learning_rate': 1.1363636363636364e-06, 'epoch': 0.01}
{'loss': 1.8234, 'grad_norm': 11.214977264404297, 'learning_rate': 1.3636363636363636e-06, 'epoch': 0.01}
{'loss': 1.9719, 'grad_norm': 5.844690799713135, 'learning_rate': 1.590909090909091e-06, 'epoch': 0.02}
{'loss': 1.8962, 'grad_norm': 7.209170818328857, 'learning_rate': 1.8181818181818183e-06, 'epoch': 0.02}
{'loss': 1.8705, 'grad_norm': 6.231753826141357, 'learning_rate': 2.0454545454545457e-06, 'epoch': 0.02}
{'loss': 2.0238, 'grad_norm': 5.564477443695068, 'learning_rate': 2.2727272727272728e-06, 'epoch': 0.02}
{'loss': 2.0876, 'grad_norm': 5.985581398010254, 'learning_rate': 2.5e-06, 'epoch': 0.03}
{'loss': 1.81, 'grad_norm': 9.292875289916992, 'learning_rate': 2.7272727272727272e-06, 'epoch': 0.03}
{'loss': 2.1392, 'grad_norm': 6.418203353881836, 'learning_rate': 2.954545454545455e-06, 'epoch': 0.03}
{'loss': 1.8843, 'grad_norm': 6.290794372558594, 'learning_rate': 3.181818181818182e-06, 'epoch': 0.03}
{'loss': 1.9406, 'grad_norm': 6.094788551330566, 'learning_rate': 3.409090909090909e-06, 'epoch': 0.04}
{'loss': 1.7304, 'grad_norm': 5.847866535186768, 'learning_rate': 3.6363636363636366e-06, 'epoch': 0.04}
{'loss': 2.0146, 'grad_norm': 5.151801586151123, 'learning_rate': 3.863636363636364e-06, 'epoch': 0.04}
{'loss': 2.1256, 'grad_norm': 5.265257358551025, 'learning_rate': 4.0909090909090915e-06, 'epoch': 0.04}
