                                                                                            
{'loss': 1.7441, 'grad_norm': 104.79510498046875, 'learning_rate': 1.0416666666666667e-07, 'epoch': 0.0}
{'loss': 1.6407, 'grad_norm': 127.02387237548828, 'learning_rate': 2.0833333333333333e-07, 'epoch': 0.0}
{'loss': 1.6175, 'grad_norm': 2406.966064453125, 'learning_rate': 3.125e-07, 'epoch': 0.0}
{'loss': 1.8211, 'grad_norm': 12872.291015625, 'learning_rate': 4.1666666666666667e-07, 'epoch': 0.0}
{'loss': 1.6372, 'grad_norm': 71.3135757446289, 'learning_rate': 5.208333333333334e-07, 'epoch': 0.01}
{'loss': 1.5833, 'grad_norm': 32.61415481567383, 'learning_rate': 6.25e-07, 'epoch': 0.01}
{'loss': 1.5503, 'grad_norm': 33755.1171875, 'learning_rate': 7.291666666666667e-07, 'epoch': 0.01}
{'loss': 1.5368, 'grad_norm': 482.6272888183594, 'learning_rate': 8.333333333333333e-07, 'epoch': 0.01}
{'loss': 1.5361, 'grad_norm': 14.81503963470459, 'learning_rate': 9.375000000000001e-07, 'epoch': 0.01}
{'loss': 1.5045, 'grad_norm': 7.823822021484375, 'learning_rate': 1.0416666666666667e-06, 'epoch': 0.01}
{'loss': 1.3877, 'grad_norm': 67.2937240600586, 'learning_rate': 1.1458333333333333e-06, 'epoch': 0.01}
{'loss': 1.5071, 'grad_norm': 5.052797794342041, 'learning_rate': 1.25e-06, 'epoch': 0.01}
{'loss': 1.4702, 'grad_norm': 4.069522380828857, 'learning_rate': 1.3541666666666667e-06, 'epoch': 0.01}
{'loss': 1.3655, 'grad_norm': 4.093857288360596, 'learning_rate': 1.4583333333333335e-06, 'epoch': 0.01}
{'loss': 1.4553, 'grad_norm': 6.860154628753662, 'learning_rate': 1.5625e-06, 'epoch': 0.02}
{'loss': 1.3537, 'grad_norm': 4.102522850036621, 'learning_rate': 1.6666666666666667e-06, 'epoch': 0.02}
{'loss': 1.3687, 'grad_norm': 4.203429222106934, 'learning_rate': 1.7708333333333337e-06, 'epoch': 0.02}
{'loss': 1.3121, 'grad_norm': 3.613070249557495, 'learning_rate': 1.8750000000000003e-06, 'epoch': 0.02}
{'loss': 1.3772, 'grad_norm': 3.0024101734161377, 'learning_rate': 1.9791666666666666e-06, 'epoch': 0.02}
{'loss': 1.2708, 'grad_norm': 2.31693434715271, 'learning_rate': 2.0833333333333334e-06, 'epoch': 0.02}
{'loss': 1.3061, 'grad_norm': 2.464935064315796, 'learning_rate': 2.1875000000000002e-06, 'epoch': 0.02}
{'loss': 1.3086, 'grad_norm': 2.099696636199951, 'learning_rate': 2.2916666666666666e-06, 'epoch': 0.02}
{'loss': 1.3469, 'grad_norm': 1.997588038444519, 'learning_rate': 2.395833333333334e-06, 'epoch': 0.02}
{'loss': 1.3077, 'grad_norm': 3.0240752696990967, 'learning_rate': 2.5e-06, 'epoch': 0.03}
{'loss': 1.3164, 'grad_norm': 7211.7861328125, 'learning_rate': 2.604166666666667e-06, 'epoch': 0.03}
{'loss': 1.2709, 'grad_norm': 3.707857131958008, 'learning_rate': 2.7083333333333334e-06, 'epoch': 0.03}
{'loss': 1.2305, 'grad_norm': 3.410067558288574, 'learning_rate': 2.8125e-06, 'epoch': 0.03}
{'loss': 1.2386, 'grad_norm': 3.5184855461120605, 'learning_rate': 2.916666666666667e-06, 'epoch': 0.03}
{'loss': 1.2535, 'grad_norm': 1.9928779602050781, 'learning_rate': 3.0208333333333334e-06, 'epoch': 0.03}
{'loss': 1.3326, 'grad_norm': 2.533991575241089, 'learning_rate': 3.125e-06, 'epoch': 0.03}
{'loss': 1.3126, 'grad_norm': 1.8760194778442383, 'learning_rate': 3.229166666666667e-06, 'epoch': 0.03}
{'loss': 1.2781, 'grad_norm': 1.959861159324646, 'learning_rate': 3.3333333333333333e-06, 'epoch': 0.03}
{'loss': 1.2375, 'grad_norm': 1.8746941089630127, 'learning_rate': 3.4375e-06, 'epoch': 0.03}
{'loss': 1.2827, 'grad_norm': 2.174574613571167, 'learning_rate': 3.5416666666666673e-06, 'epoch': 0.04}
{'loss': 1.1914, 'grad_norm': 1.84089195728302, 'learning_rate': 3.6458333333333333e-06, 'epoch': 0.04}
{'loss': 1.3309, 'grad_norm': 2.1661674976348877, 'learning_rate': 3.7500000000000005e-06, 'epoch': 0.04}
{'loss': 1.1781, 'grad_norm': 18.829225540161133, 'learning_rate': 3.854166666666667e-06, 'epoch': 0.04}
{'loss': 1.3041, 'grad_norm': 2.012258768081665, 'learning_rate': 3.958333333333333e-06, 'epoch': 0.04}
{'loss': 1.3196, 'grad_norm': 2.0294201374053955, 'learning_rate': 4.0625000000000005e-06, 'epoch': 0.04}
{'loss': 1.1836, 'grad_norm': 1.9713691473007202, 'learning_rate': 4.166666666666667e-06, 'epoch': 0.04}
{'loss': 1.2587, 'grad_norm': 2.331186294555664, 'learning_rate': 4.270833333333333e-06, 'epoch': 0.04}
{'loss': 1.3035, 'grad_norm': 2.0839345455169678, 'learning_rate': 4.3750000000000005e-06, 'epoch': 0.04}
{'loss': 1.3048, 'grad_norm': 2.114086151123047, 'learning_rate': 4.479166666666667e-06, 'epoch': 0.05}
{'loss': 1.1622, 'grad_norm': 2.257235050201416, 'learning_rate': 4.583333333333333e-06, 'epoch': 0.05}
{'loss': 1.2096, 'grad_norm': 1.8133924007415771, 'learning_rate': 4.6875000000000004e-06, 'epoch': 0.05}
{'loss': 1.2738, 'grad_norm': 35.355464935302734, 'learning_rate': 4.791666666666668e-06, 'epoch': 0.05}
{'loss': 1.1274, 'grad_norm': 2.099130868911743, 'learning_rate': 4.895833333333333e-06, 'epoch': 0.05}
{'loss': 1.3186, 'grad_norm': 30.799827575683594, 'learning_rate': 5e-06, 'epoch': 0.05}
{'loss': 1.1694, 'grad_norm': 1.8865296840667725, 'learning_rate': 4.99998497020947e-06, 'epoch': 0.05}
{'loss': 1.2175, 'grad_norm': 2.1695950031280518, 'learning_rate': 4.9999398810185936e-06, 'epoch': 0.05}
{'loss': 1.1524, 'grad_norm': 1.9310470819473267, 'learning_rate': 4.999864732969518e-06, 'epoch': 0.05}
{'loss': 1.2111, 'grad_norm': 2.075183153152466, 'learning_rate': 4.99975952696581e-06, 'epoch': 0.05}
{'loss': 1.2574, 'grad_norm': 11.49749755859375, 'learning_rate': 4.999624264272448e-06, 'epoch': 0.06}
{'loss': 1.2788, 'grad_norm': 11.727616310119629, 'learning_rate': 4.999458946515808e-06, 'epoch': 0.06}
{'loss': 1.2978, 'grad_norm': 2.0916035175323486, 'learning_rate': 4.999263575683644e-06, 'epoch': 0.06}
{'loss': 1.1865, 'grad_norm': 1.9613176584243774, 'learning_rate': 4.999038154125061e-06, 'epoch': 0.06}
{'loss': 1.2328, 'grad_norm': 2.028977394104004, 'learning_rate': 4.9987826845504916e-06, 'epoch': 0.06}
{'loss': 1.1606, 'grad_norm': 1.8811525106430054, 'learning_rate': 4.998497170031657e-06, 'epoch': 0.06}
{'loss': 1.1991, 'grad_norm': 1.8878213167190552, 'learning_rate': 4.998181614001539e-06, 'epoch': 0.06}
{'loss': 1.21, 'grad_norm': 5.73451042175293, 'learning_rate': 4.997836020254328e-06, 'epoch': 0.06}
{'loss': 1.2011, 'grad_norm': 1.9591295719146729, 'learning_rate': 4.997460392945386e-06, 'epoch': 0.06}
