                                                                                             
{'loss': 2.1545, 'grad_norm': 6.944681644439697, 'learning_rate': 2.3809523809523811e-07, 'epoch': 0.0}
{'loss': 1.8902, 'grad_norm': 14.214704513549805, 'learning_rate': 4.7619047619047623e-07, 'epoch': 0.0}
{'loss': 2.5332, 'grad_norm': 6.8872880935668945, 'learning_rate': 7.142857142857143e-07, 'epoch': 0.01}
{'loss': 2.2377, 'grad_norm': 6.321599960327148, 'learning_rate': 9.523809523809525e-07, 'epoch': 0.01}
{'loss': 2.4835, 'grad_norm': 6.746411323547363, 'learning_rate': 1.1904761904761906e-06, 'epoch': 0.01}
{'loss': 1.9097, 'grad_norm': 7.553482532501221, 'learning_rate': 1.4285714285714286e-06, 'epoch': 0.01}
{'loss': 2.1056, 'grad_norm': 17.98267936706543, 'learning_rate': 1.6666666666666667e-06, 'epoch': 0.02}
{'loss': 2.025, 'grad_norm': 8.552218437194824, 'learning_rate': 1.904761904761905e-06, 'epoch': 0.02}
{'loss': 2.1187, 'grad_norm': 6.129463195800781, 'learning_rate': 2.1428571428571427e-06, 'epoch': 0.02}
{'loss': 2.2053, 'grad_norm': 6.308386325836182, 'learning_rate': 2.380952380952381e-06, 'epoch': 0.02}
{'loss': 1.9433, 'grad_norm': 6.492412090301514, 'learning_rate': 2.6190476190476192e-06, 'epoch': 0.03}
{'loss': 2.2179, 'grad_norm': 5.959197044372559, 'learning_rate': 2.8571428571428573e-06, 'epoch': 0.03}
{'loss': 2.0169, 'grad_norm': 5.59362268447876, 'learning_rate': 3.0952380952380957e-06, 'epoch': 0.03}
{'loss': 2.1795, 'grad_norm': 5.277772426605225, 'learning_rate': 3.3333333333333333e-06, 'epoch': 0.03}
{'loss': 2.0955, 'grad_norm': 7.603604316711426, 'learning_rate': 3.5714285714285718e-06, 'epoch': 0.04}
{'loss': 1.9638, 'grad_norm': 6.002867698669434, 'learning_rate': 3.80952380952381e-06, 'epoch': 0.04}
{'loss': 2.1589, 'grad_norm': 6.340431213378906, 'learning_rate': 4.047619047619048e-06, 'epoch': 0.04}
{'loss': 2.0267, 'grad_norm': 5.135309219360352, 'learning_rate': 4.2857142857142855e-06, 'epoch': 0.04}
{'loss': 1.853, 'grad_norm': 5.781542778015137, 'learning_rate': 4.523809523809524e-06, 'epoch': 0.05}
{'loss': 1.9424, 'grad_norm': 6.552006721496582, 'learning_rate': 4.761904761904762e-06, 'epoch': 0.05}
{'loss': 1.8908, 'grad_norm': 4.991221904754639, 'learning_rate': 5e-06, 'epoch': 0.05}
