                                                                                             
{'loss': 1.6588, 'grad_norm': 50.42037582397461, 'learning_rate': 1.0416666666666667e-07, 'epoch': 0.0}
{'loss': 1.5652, 'grad_norm': 48.57292175292969, 'learning_rate': 2.0833333333333333e-07, 'epoch': 0.0}
{'loss': 1.552, 'grad_norm': 3268.283203125, 'learning_rate': 3.125e-07, 'epoch': 0.0}
{'loss': 1.7671, 'grad_norm': 13034.337890625, 'learning_rate': 4.1666666666666667e-07, 'epoch': 0.0}
{'loss': 1.5964, 'grad_norm': 41.41291427612305, 'learning_rate': 5.208333333333334e-07, 'epoch': 0.01}
{'loss': 1.553, 'grad_norm': 26.15372085571289, 'learning_rate': 6.25e-07, 'epoch': 0.01}
{'loss': 1.5683, 'grad_norm': 10533.841796875, 'learning_rate': 7.291666666666667e-07, 'epoch': 0.01}
{'loss': 1.5171, 'grad_norm': 1097.2100830078125, 'learning_rate': 8.333333333333333e-07, 'epoch': 0.01}
{'loss': 1.518, 'grad_norm': 8.989863395690918, 'learning_rate': 9.375000000000001e-07, 'epoch': 0.01}
{'loss': 1.4873, 'grad_norm': 8.349699974060059, 'learning_rate': 1.0416666666666667e-06, 'epoch': 0.01}
{'loss': 1.3715, 'grad_norm': 35.26250076293945, 'learning_rate': 1.1458333333333333e-06, 'epoch': 0.01}
{'loss': 1.4929, 'grad_norm': 8.913043975830078, 'learning_rate': 1.25e-06, 'epoch': 0.01}
{'loss': 1.4591, 'grad_norm': 6.463646411895752, 'learning_rate': 1.3541666666666667e-06, 'epoch': 0.01}
{'loss': 1.3558, 'grad_norm': 3.7159018516540527, 'learning_rate': 1.4583333333333335e-06, 'epoch': 0.01}
{'loss': 1.4532, 'grad_norm': 489.55511474609375, 'learning_rate': 1.5625e-06, 'epoch': 0.02}
{'loss': 1.3485, 'grad_norm': 3.176309108734131, 'learning_rate': 1.6666666666666667e-06, 'epoch': 0.02}
{'loss': 1.3659, 'grad_norm': 6.10522985458374, 'learning_rate': 1.7708333333333337e-06, 'epoch': 0.02}
{'loss': 1.31, 'grad_norm': 3.6555848121643066, 'learning_rate': 1.8750000000000003e-06, 'epoch': 0.02}
{'loss': 1.3779, 'grad_norm': 2.4975624084472656, 'learning_rate': 1.9791666666666666e-06, 'epoch': 0.02}
{'loss': 1.2677, 'grad_norm': 4.865711688995361, 'learning_rate': 2.0833333333333334e-06, 'epoch': 0.02}
{'loss': 1.3059, 'grad_norm': 3.109761953353882, 'learning_rate': 2.1875000000000002e-06, 'epoch': 0.02}
