                                                                                                                  
{'loss': 2.3295, 'grad_norm': 7.737221717834473, 'learning_rate': 2.3809523809523811e-07, 'epoch': 0.0}
{'loss': 2.1289, 'grad_norm': 7.292859077453613, 'learning_rate': 4.7619047619047623e-07, 'epoch': 0.0}
{'loss': 2.178, 'grad_norm': 8.183650016784668, 'learning_rate': 7.142857142857143e-07, 'epoch': 0.01}
{'loss': 2.0209, 'grad_norm': 8.979280471801758, 'learning_rate': 9.523809523809525e-07, 'epoch': 0.01}
{'loss': 2.0616, 'grad_norm': 7.012049198150635, 'learning_rate': 1.1904761904761906e-06, 'epoch': 0.01}
{'loss': 1.8581, 'grad_norm': 9.494292259216309, 'learning_rate': 1.4285714285714286e-06, 'epoch': 0.01}
{'loss': 2.1152, 'grad_norm': 18.31139373779297, 'learning_rate': 1.6666666666666667e-06, 'epoch': 0.02}
{'loss': 2.1707, 'grad_norm': 7.1571245193481445, 'learning_rate': 1.904761904761905e-06, 'epoch': 0.02}
{'loss': 2.1347, 'grad_norm': 5.543744087219238, 'learning_rate': 2.1428571428571427e-06, 'epoch': 0.02}
{'loss': 2.223, 'grad_norm': 6.14855432510376, 'learning_rate': 2.380952380952381e-06, 'epoch': 0.02}
{'loss': 2.0446, 'grad_norm': 6.120418548583984, 'learning_rate': 2.6190476190476192e-06, 'epoch': 0.03}
{'loss': 2.2089, 'grad_norm': 5.1760029792785645, 'learning_rate': 2.8571428571428573e-06, 'epoch': 0.03}
{'loss': 2.0343, 'grad_norm': 5.176980018615723, 'learning_rate': 3.0952380952380957e-06, 'epoch': 0.03}
{'loss': 2.1289, 'grad_norm': 5.019367218017578, 'learning_rate': 3.3333333333333333e-06, 'epoch': 0.03}
{'loss': 2.1183, 'grad_norm': 7.021381855010986, 'learning_rate': 3.5714285714285718e-06, 'epoch': 0.04}
{'loss': 1.9563, 'grad_norm': 5.420316696166992, 'learning_rate': 3.80952380952381e-06, 'epoch': 0.04}
{'loss': 2.1476, 'grad_norm': 7.1674418449401855, 'learning_rate': 4.047619047619048e-06, 'epoch': 0.04}
{'loss': 2.1424, 'grad_norm': 5.335227012634277, 'learning_rate': 4.2857142857142855e-06, 'epoch': 0.04}
