                                                                                                                                                      
{'loss': 1.6327, 'grad_norm': 78.36280822753906, 'learning_rate': 1.0416666666666667e-07, 'epoch': 0.0}
{'loss': 1.551, 'grad_norm': 89.07325744628906, 'learning_rate': 2.0833333333333333e-07, 'epoch': 0.0}
{'loss': 1.533, 'grad_norm': 3060.48974609375, 'learning_rate': 3.125e-07, 'epoch': 0.0}
{'loss': 1.7309, 'grad_norm': 10979.4384765625, 'learning_rate': 4.1666666666666667e-07, 'epoch': 0.0}
{'loss': 1.5873, 'grad_norm': 49.40074157714844, 'learning_rate': 5.208333333333334e-07, 'epoch': 0.01}
{'loss': 1.5405, 'grad_norm': 24.128854751586914, 'learning_rate': 6.25e-07, 'epoch': 0.01}
{'loss': 1.5596, 'grad_norm': 6123.85107421875, 'learning_rate': 7.291666666666667e-07, 'epoch': 0.01}
{'loss': 1.4998, 'grad_norm': 54.779903411865234, 'learning_rate': 8.333333333333333e-07, 'epoch': 0.01}
{'loss': 1.4977, 'grad_norm': 7.498379707336426, 'learning_rate': 9.375000000000001e-07, 'epoch': 0.01}
{'loss': 1.4626, 'grad_norm': 5.560579776763916, 'learning_rate': 1.0416666666666667e-06, 'epoch': 0.01}
{'loss': 1.3501, 'grad_norm': 46.77202224731445, 'learning_rate': 1.1458333333333333e-06, 'epoch': 0.01}
{'loss': 1.4761, 'grad_norm': 5.209978103637695, 'learning_rate': 1.25e-06, 'epoch': 0.01}
{'loss': 1.442, 'grad_norm': 6.202838897705078, 'learning_rate': 1.3541666666666667e-06, 'epoch': 0.01}
{'loss': 1.3398, 'grad_norm': 3.6365339756011963, 'learning_rate': 1.4583333333333335e-06, 'epoch': 0.01}
{'loss': 1.433, 'grad_norm': 16.639192581176758, 'learning_rate': 1.5625e-06, 'epoch': 0.02}
{'loss': 1.3309, 'grad_norm': 2.8825161457061768, 'learning_rate': 1.6666666666666667e-06, 'epoch': 0.02}
{'loss': 1.3506, 'grad_norm': 5.556038856506348, 'learning_rate': 1.7708333333333337e-06, 'epoch': 0.02}
{'loss': 1.2979, 'grad_norm': 4.344764232635498, 'learning_rate': 1.8750000000000003e-06, 'epoch': 0.02}
{'loss': 1.367, 'grad_norm': 2.2712626457214355, 'learning_rate': 1.9791666666666666e-06, 'epoch': 0.02}
{'loss': 1.2613, 'grad_norm': 2.585955858230591, 'learning_rate': 2.0833333333333334e-06, 'epoch': 0.02}
{'loss': 1.2978, 'grad_norm': 2.949094295501709, 'learning_rate': 2.1875000000000002e-06, 'epoch': 0.02}
{'loss': 1.3022, 'grad_norm': 2.8827857971191406, 'learning_rate': 2.2916666666666666e-06, 'epoch': 0.02}
{'loss': 1.3415, 'grad_norm': 2.6507108211517334, 'learning_rate': 2.395833333333334e-06, 'epoch': 0.02}
{'loss': 1.3027, 'grad_norm': 3.0841102600097656, 'learning_rate': 2.5e-06, 'epoch': 0.03}
{'loss': 1.3101, 'grad_norm': 97.3050308227539, 'learning_rate': 2.604166666666667e-06, 'epoch': 0.03}
{'loss': 1.2701, 'grad_norm': 6.8202338218688965, 'learning_rate': 2.7083333333333334e-06, 'epoch': 0.03}
{'loss': 1.2294, 'grad_norm': 2.1142044067382812, 'learning_rate': 2.8125e-06, 'epoch': 0.03}
{'loss': 1.2374, 'grad_norm': 3.928082227706909, 'learning_rate': 2.916666666666667e-06, 'epoch': 0.03}
{'loss': 1.2515, 'grad_norm': 2.279111862182617, 'learning_rate': 3.0208333333333334e-06, 'epoch': 0.03}
{'loss': 1.3325, 'grad_norm': 2.3040032386779785, 'learning_rate': 3.125e-06, 'epoch': 0.03}
{'loss': 1.3105, 'grad_norm': 1.947290301322937, 'learning_rate': 3.229166666666667e-06, 'epoch': 0.03}
{'loss': 1.277, 'grad_norm': 1.9849234819412231, 'learning_rate': 3.3333333333333333e-06, 'epoch': 0.03}
{'loss': 1.2352, 'grad_norm': 1.9469280242919922, 'learning_rate': 3.4375e-06, 'epoch': 0.03}
{'loss': 1.28, 'grad_norm': 2.06577467918396, 'learning_rate': 3.5416666666666673e-06, 'epoch': 0.04}
{'loss': 1.1884, 'grad_norm': 2.250192642211914, 'learning_rate': 3.6458333333333333e-06, 'epoch': 0.04}
{'loss': 1.3291, 'grad_norm': 2.3172006607055664, 'learning_rate': 3.7500000000000005e-06, 'epoch': 0.04}
{'loss': 1.1747, 'grad_norm': 36.387855529785156, 'learning_rate': 3.854166666666667e-06, 'epoch': 0.04}
{'loss': 1.3017, 'grad_norm': 2.2890069484710693, 'learning_rate': 3.958333333333333e-06, 'epoch': 0.04}
{'loss': 1.3178, 'grad_norm': 2.083418369293213, 'learning_rate': 4.0625000000000005e-06, 'epoch': 0.04}
{'loss': 1.1809, 'grad_norm': 1.9171513319015503, 'learning_rate': 4.166666666666667e-06, 'epoch': 0.04}
{'loss': 1.2581, 'grad_norm': 2.2113583087921143, 'learning_rate': 4.270833333333333e-06, 'epoch': 0.04}
{'loss': 1.301, 'grad_norm': 2.0697429180145264, 'learning_rate': 4.3750000000000005e-06, 'epoch': 0.04}
{'loss': 1.3022, 'grad_norm': 2.360433340072632, 'learning_rate': 4.479166666666667e-06, 'epoch': 0.05}
{'loss': 1.1621, 'grad_norm': 2.3289060592651367, 'learning_rate': 4.583333333333333e-06, 'epoch': 0.05}
{'loss': 1.2087, 'grad_norm': 1.8364288806915283, 'learning_rate': 4.6875000000000004e-06, 'epoch': 0.05}
{'loss': 1.2673, 'grad_norm': 23.444421768188477, 'learning_rate': 4.791666666666668e-06, 'epoch': 0.05}
{'loss': 1.1269, 'grad_norm': 2.0506911277770996, 'learning_rate': 4.895833333333333e-06, 'epoch': 0.05}
{'loss': 1.3151, 'grad_norm': 57.55500793457031, 'learning_rate': 5e-06, 'epoch': 0.05}
{'loss': 1.1683, 'grad_norm': 1.8629601001739502, 'learning_rate': 4.99998497020947e-06, 'epoch': 0.05}
{'loss': 1.2163, 'grad_norm': 2.1193923950195312, 'learning_rate': 4.9999398810185936e-06, 'epoch': 0.05}
{'loss': 1.1517, 'grad_norm': 1.947621464729309, 'learning_rate': 4.999864732969518e-06, 'epoch': 0.05}
{'loss': 1.2095, 'grad_norm': 2.036184310913086, 'learning_rate': 4.99975952696581e-06, 'epoch': 0.05}
{'loss': 1.2553, 'grad_norm': 18.170551300048828, 'learning_rate': 4.999624264272448e-06, 'epoch': 0.06}
{'loss': 1.2612, 'grad_norm': 34.98679733276367, 'learning_rate': 4.999458946515808e-06, 'epoch': 0.06}
{'loss': 1.2992, 'grad_norm': 2.200573205947876, 'learning_rate': 4.999263575683644e-06, 'epoch': 0.06}
{'loss': 1.1874, 'grad_norm': 2.038836717605591, 'learning_rate': 4.999038154125061e-06, 'epoch': 0.06}
{'loss': 1.2327, 'grad_norm': 1.9823554754257202, 'learning_rate': 4.9987826845504916e-06, 'epoch': 0.06}
{'loss': 1.1601, 'grad_norm': 1.9021350145339966, 'learning_rate': 4.998497170031657e-06, 'epoch': 0.06}
{'loss': 1.1978, 'grad_norm': 1.9115142822265625, 'learning_rate': 4.998181614001539e-06, 'epoch': 0.06}
{'loss': 1.21, 'grad_norm': 2.538938283920288, 'learning_rate': 4.997836020254328e-06, 'epoch': 0.06}
{'loss': 1.2014, 'grad_norm': 1.9622087478637695, 'learning_rate': 4.997460392945386e-06, 'epoch': 0.06}
{'loss': 1.2995, 'grad_norm': 2.5511159896850586, 'learning_rate': 4.997054736591193e-06, 'epoch': 0.06}
{'loss': 1.1983, 'grad_norm': 2.175619125366211, 'learning_rate': 4.996619056069292e-06, 'epoch': 0.07}
{'loss': 1.2161, 'grad_norm': 1.8707293272018433, 'learning_rate': 4.996153356618234e-06, 'epoch': 0.07}
{'loss': 1.1478, 'grad_norm': 1.9168267250061035, 'learning_rate': 4.99565764383751e-06, 'epoch': 0.07}
{'loss': 1.2001, 'grad_norm': 4.88737678527832, 'learning_rate': 4.995131923687488e-06, 'epoch': 0.07}
{'loss': 1.1689, 'grad_norm': 1.8591972589492798, 'learning_rate': 4.994576202489339e-06, 'epoch': 0.07}
{'loss': 1.1943, 'grad_norm': 2.003319025039673, 'learning_rate': 4.993990486924962e-06, 'epoch': 0.07}
{'loss': 1.1652, 'grad_norm': 2.201551675796509, 'learning_rate': 4.993374784036902e-06, 'epoch': 0.07}
{'loss': 1.1944, 'grad_norm': 1.9590586423873901, 'learning_rate': 4.992729101228267e-06, 'epoch': 0.07}
{'loss': 1.1796, 'grad_norm': 9.611420631408691, 'learning_rate': 4.99205344626264e-06, 'epoch': 0.07}
{'loss': 1.1638, 'grad_norm': 1.881201148033142, 'learning_rate': 4.991347827263983e-06, 'epoch': 0.08}
{'loss': 1.1757, 'grad_norm': 3.830130100250244, 'learning_rate': 4.99061225271654e-06, 'epoch': 0.08}
{'loss': 1.2255, 'grad_norm': 2.0407445430755615, 'learning_rate': 4.989846731464736e-06, 'epoch': 0.08}
{'loss': 1.2025, 'grad_norm': 1.7107970714569092, 'learning_rate': 4.98905127271307e-06, 'epoch': 0.08}
{'loss': 1.2216, 'grad_norm': 1.794231653213501, 'learning_rate': 4.9882258860260065e-06, 'epoch': 0.08}
{'loss': 1.1441, 'grad_norm': 1.706294298171997, 'learning_rate': 4.987370581327855e-06, 'epoch': 0.08}
{'loss': 1.1011, 'grad_norm': 1.8330130577087402, 'learning_rate': 4.986485368902656e-06, 'epoch': 0.08}
{'loss': 1.2182, 'grad_norm': 1.6955559253692627, 'learning_rate': 4.985570259394056e-06, 'epoch': 0.08}
{'loss': 1.1879, 'grad_norm': 1.6944975852966309, 'learning_rate': 4.984625263805178e-06, 'epoch': 0.08}
{'loss': 1.2111, 'grad_norm': 1.724561095237732, 'learning_rate': 4.98365039349849e-06, 'epoch': 0.08}
{'loss': 1.1325, 'grad_norm': 1.7550163269042969, 'learning_rate': 4.982645660195671e-06, 'epoch': 0.09}
{'loss': 1.1662, 'grad_norm': 1.6540775299072266, 'learning_rate': 4.981611075977465e-06, 'epoch': 0.09}
{'loss': 1.1311, 'grad_norm': 1.902185082435608, 'learning_rate': 4.980546653283538e-06, 'epoch': 0.09}
{'loss': 1.1677, 'grad_norm': 1.5577195882797241, 'learning_rate': 4.979452404912332e-06, 'epoch': 0.09}
{'loss': 1.1468, 'grad_norm': 1.6726161241531372, 'learning_rate': 4.978328344020904e-06, 'epoch': 0.09}
{'loss': 1.1975, 'grad_norm': 1.7517443895339966, 'learning_rate': 4.977174484124776e-06, 'epoch': 0.09}
{'loss': 1.1145, 'grad_norm': 1.5764894485473633, 'learning_rate': 4.975990839097764e-06, 'epoch': 0.09}
