                                                                                                                                                      
{'loss': 1.6327, 'grad_norm': 78.35649108886719, 'learning_rate': 1.0416666666666667e-07, 'epoch': 0.0}
{'loss': 1.551, 'grad_norm': 88.97724914550781, 'learning_rate': 2.0833333333333333e-07, 'epoch': 0.0}
{'loss': 1.533, 'grad_norm': 2855.194580078125, 'learning_rate': 3.125e-07, 'epoch': 0.0}
{'loss': 1.7318, 'grad_norm': 10603.2001953125, 'learning_rate': 4.1666666666666667e-07, 'epoch': 0.0}
{'loss': 1.5871, 'grad_norm': 49.61008071899414, 'learning_rate': 5.208333333333334e-07, 'epoch': 0.01}
{'loss': 1.5404, 'grad_norm': 24.521896362304688, 'learning_rate': 6.25e-07, 'epoch': 0.01}
{'loss': 1.5589, 'grad_norm': 5066.7626953125, 'learning_rate': 7.291666666666667e-07, 'epoch': 0.01}
{'loss': 1.4998, 'grad_norm': 69.27871704101562, 'learning_rate': 8.333333333333333e-07, 'epoch': 0.01}
{'loss': 1.4982, 'grad_norm': 7.3262410163879395, 'learning_rate': 9.375000000000001e-07, 'epoch': 0.01}
{'loss': 1.4637, 'grad_norm': 5.680036544799805, 'learning_rate': 1.0416666666666667e-06, 'epoch': 0.01}
{'loss': 1.3511, 'grad_norm': 48.00914001464844, 'learning_rate': 1.1458333333333333e-06, 'epoch': 0.01}
{'loss': 1.4768, 'grad_norm': 5.006492614746094, 'learning_rate': 1.25e-06, 'epoch': 0.01}
{'loss': 1.443, 'grad_norm': 5.894196510314941, 'learning_rate': 1.3541666666666667e-06, 'epoch': 0.01}
{'loss': 1.3405, 'grad_norm': 3.736675977706909, 'learning_rate': 1.4583333333333335e-06, 'epoch': 0.01}
{'loss': 1.4337, 'grad_norm': 7.4579620361328125, 'learning_rate': 1.5625e-06, 'epoch': 0.02}
{'loss': 1.3305, 'grad_norm': 3.143190383911133, 'learning_rate': 1.6666666666666667e-06, 'epoch': 0.02}
{'loss': 1.3497, 'grad_norm': 4.421043395996094, 'learning_rate': 1.7708333333333337e-06, 'epoch': 0.02}
{'loss': 1.2967, 'grad_norm': 4.336151123046875, 'learning_rate': 1.8750000000000003e-06, 'epoch': 0.02}
{'loss': 1.3657, 'grad_norm': 2.3515236377716064, 'learning_rate': 1.9791666666666666e-06, 'epoch': 0.02}
{'loss': 1.26, 'grad_norm': 6.599061489105225, 'learning_rate': 2.0833333333333334e-06, 'epoch': 0.02}
{'loss': 1.2982, 'grad_norm': 3.1730501651763916, 'learning_rate': 2.1875000000000002e-06, 'epoch': 0.02}
{'loss': 1.3024, 'grad_norm': 3.4024465084075928, 'learning_rate': 2.2916666666666666e-06, 'epoch': 0.02}
{'loss': 1.3416, 'grad_norm': 3.2629356384277344, 'learning_rate': 2.395833333333334e-06, 'epoch': 0.02}
{'loss': 1.3032, 'grad_norm': 3.6910817623138428, 'learning_rate': 2.5e-06, 'epoch': 0.03}
{'loss': 1.3102, 'grad_norm': 43.119728088378906, 'learning_rate': 2.604166666666667e-06, 'epoch': 0.03}
{'loss': 1.2712, 'grad_norm': 2.598632335662842, 'learning_rate': 2.7083333333333334e-06, 'epoch': 0.03}
{'loss': 1.2286, 'grad_norm': 2.0368120670318604, 'learning_rate': 2.8125e-06, 'epoch': 0.03}
{'loss': 1.2374, 'grad_norm': 3.3867344856262207, 'learning_rate': 2.916666666666667e-06, 'epoch': 0.03}
{'loss': 1.2512, 'grad_norm': 2.2606208324432373, 'learning_rate': 3.0208333333333334e-06, 'epoch': 0.03}
{'loss': 1.332, 'grad_norm': 2.4209797382354736, 'learning_rate': 3.125e-06, 'epoch': 0.03}
{'loss': 1.3102, 'grad_norm': 2.025050163269043, 'learning_rate': 3.229166666666667e-06, 'epoch': 0.03}
{'loss': 1.2763, 'grad_norm': 2.224733829498291, 'learning_rate': 3.3333333333333333e-06, 'epoch': 0.03}
{'loss': 1.2348, 'grad_norm': 1.9095778465270996, 'learning_rate': 3.4375e-06, 'epoch': 0.03}
{'loss': 1.2796, 'grad_norm': 2.432858943939209, 'learning_rate': 3.5416666666666673e-06, 'epoch': 0.04}
{'loss': 1.1881, 'grad_norm': 2.4166059494018555, 'learning_rate': 3.6458333333333333e-06, 'epoch': 0.04}
{'loss': 1.3288, 'grad_norm': 2.166738271713257, 'learning_rate': 3.7500000000000005e-06, 'epoch': 0.04}
{'loss': 1.1723, 'grad_norm': 25.01568603515625, 'learning_rate': 3.854166666666667e-06, 'epoch': 0.04}
{'loss': 1.3017, 'grad_norm': 2.255418062210083, 'learning_rate': 3.958333333333333e-06, 'epoch': 0.04}
{'loss': 1.317, 'grad_norm': 2.0390312671661377, 'learning_rate': 4.0625000000000005e-06, 'epoch': 0.04}
{'loss': 1.1802, 'grad_norm': 1.916695475578308, 'learning_rate': 4.166666666666667e-06, 'epoch': 0.04}
