                                                                                          
{'loss': 2.1723, 'grad_norm': 5.215346813201904, 'learning_rate': 2.3809523809523811e-07, 'epoch': 0.0}
{'loss': 2.2501, 'grad_norm': 6.015809059143066, 'learning_rate': 4.7619047619047623e-07, 'epoch': 0.0}
{'loss': 1.9602, 'grad_norm': 8.428393363952637, 'learning_rate': 7.142857142857143e-07, 'epoch': 0.01}
{'loss': 2.11, 'grad_norm': 7.188798427581787, 'learning_rate': 9.523809523809525e-07, 'epoch': 0.01}
{'loss': 2.164, 'grad_norm': 7.207544803619385, 'learning_rate': 1.1904761904761906e-06, 'epoch': 0.01}
{'loss': 2.049, 'grad_norm': 8.287540435791016, 'learning_rate': 1.4285714285714286e-06, 'epoch': 0.01}
{'loss': 2.0547, 'grad_norm': 18.221609115600586, 'learning_rate': 1.6666666666666667e-06, 'epoch': 0.02}
{'loss': 2.0259, 'grad_norm': 5.763266086578369, 'learning_rate': 1.904761904761905e-06, 'epoch': 0.02}
{'loss': 2.0162, 'grad_norm': 6.978085041046143, 'learning_rate': 2.1428571428571427e-06, 'epoch': 0.02}
{'loss': 2.0515, 'grad_norm': 5.496145725250244, 'learning_rate': 2.380952380952381e-06, 'epoch': 0.02}
{'loss': 2.0059, 'grad_norm': 5.4170966148376465, 'learning_rate': 2.6190476190476192e-06, 'epoch': 0.03}
{'loss': 1.7336, 'grad_norm': 6.085979461669922, 'learning_rate': 2.8571428571428573e-06, 'epoch': 0.03}
{'loss': 1.992, 'grad_norm': 7.0404133796691895, 'learning_rate': 3.0952380952380957e-06, 'epoch': 0.03}
{'loss': 2.198, 'grad_norm': 4.650532245635986, 'learning_rate': 3.3333333333333333e-06, 'epoch': 0.03}
{'loss': 2.025, 'grad_norm': 6.575380325317383, 'learning_rate': 3.5714285714285718e-06, 'epoch': 0.04}
{'loss': 1.906, 'grad_norm': 7.416003704071045, 'learning_rate': 3.80952380952381e-06, 'epoch': 0.04}
{'loss': 2.1095, 'grad_norm': 7.184929370880127, 'learning_rate': 4.047619047619048e-06, 'epoch': 0.04}
{'loss': 2.0372, 'grad_norm': 4.997821807861328, 'learning_rate': 4.2857142857142855e-06, 'epoch': 0.04}
{'loss': 1.8709, 'grad_norm': 5.422000885009766, 'learning_rate': 4.523809523809524e-06, 'epoch': 0.05}
{'loss': 1.7023, 'grad_norm': 5.3751301765441895, 'learning_rate': 4.761904761904762e-06, 'epoch': 0.05}
{'loss': 1.9118, 'grad_norm': 4.986544609069824, 'learning_rate': 5e-06, 'epoch': 0.05}
{'loss': 1.8955, 'grad_norm': 4.930908203125, 'learning_rate': 4.999922507133964e-06, 'epoch': 0.05}
{'loss': 1.9872, 'grad_norm': 5.802680969238281, 'learning_rate': 4.999690033339971e-06, 'epoch': 0.05}
{'loss': 1.8532, 'grad_norm': 4.556704044342041, 'learning_rate': 4.999302593030069e-06, 'epoch': 0.06}
{'loss': 1.9865, 'grad_norm': 4.680427551269531, 'learning_rate': 4.998760210223347e-06, 'epoch': 0.06}
{'loss': 2.1239, 'grad_norm': 4.741374969482422, 'learning_rate': 4.9980629185444414e-06, 'epoch': 0.06}
{'loss': 1.9583, 'grad_norm': 9.974662780761719, 'learning_rate': 4.99721076122146e-06, 'epoch': 0.06}
{'loss': 1.7012, 'grad_norm': 5.261655330657959, 'learning_rate': 4.996203791083291e-06, 'epoch': 0.07}
{'loss': 1.9662, 'grad_norm': 5.05596923828125, 'learning_rate': 4.995042070556337e-06, 'epoch': 0.07}
{'loss': 1.6051, 'grad_norm': 4.548008918762207, 'learning_rate': 4.99372567166064e-06, 'epoch': 0.07}
{'loss': 1.7546, 'grad_norm': 4.6592230796813965, 'learning_rate': 4.992254676005419e-06, 'epoch': 0.07}
{'loss': 2.0083, 'grad_norm': 4.531033992767334, 'learning_rate': 4.990629174784009e-06, 'epoch': 0.08}
{'loss': 1.8693, 'grad_norm': 4.3523430824279785, 'learning_rate': 4.98884926876821e-06, 'epoch': 0.08}
{'loss': 2.1107, 'grad_norm': 8.57849407196045, 'learning_rate': 4.986915068302034e-06, 'epoch': 0.08}
{'loss': 1.715, 'grad_norm': 5.341670989990234, 'learning_rate': 4.9848266932948745e-06, 'epoch': 0.08}
{'loss': 1.6532, 'grad_norm': 4.51484489440918, 'learning_rate': 4.982584273214061e-06, 'epoch': 0.09}
{'loss': 1.8618, 'grad_norm': 4.772021293640137, 'learning_rate': 4.980187947076841e-06, 'epoch': 0.09}
{'loss': 2.0206, 'grad_norm': 5.702414035797119, 'learning_rate': 4.977637863441758e-06, 'epoch': 0.09}
{'loss': 2.0031, 'grad_norm': 4.165534019470215, 'learning_rate': 4.974934180399447e-06, 'epoch': 0.09}
{'loss': 1.9869, 'grad_norm': 4.1703925132751465, 'learning_rate': 4.9720770655628216e-06, 'epoch': 0.1}
{'loss': 2.1742, 'grad_norm': 4.079779624938965, 'learning_rate': 4.9690666960566994e-06, 'epoch': 0.1}
{'loss': 1.8985, 'grad_norm': 4.266207695007324, 'learning_rate': 4.965903258506806e-06, 'epoch': 0.1}
{'loss': 1.9822, 'grad_norm': 4.939223766326904, 'learning_rate': 4.962586949028218e-06, 'epoch': 0.1}
{'loss': 2.0538, 'grad_norm': 4.437366485595703, 'learning_rate': 4.959117973213194e-06, 'epoch': 0.1}
{'loss': 2.2806, 'grad_norm': 4.718979835510254, 'learning_rate': 4.955496546118439e-06, 'epoch': 0.11}
{'loss': 2.2222, 'grad_norm': 4.5114850997924805, 'learning_rate': 4.951722892251763e-06, 'epoch': 0.11}
{'loss': 1.7334, 'grad_norm': 4.432031631469727, 'learning_rate': 4.947797245558168e-06, 'epoch': 0.11}
{'loss': 1.8724, 'grad_norm': 4.178533554077148, 'learning_rate': 4.943719849405347e-06, 'epoch': 0.11}
{'loss': 1.8097, 'grad_norm': 4.29365348815918, 'learning_rate': 4.939490956568589e-06, 'epoch': 0.12}
{'loss': 1.6509, 'grad_norm': 4.355252742767334, 'learning_rate': 4.9351108292151165e-06, 'epoch': 0.12}
{'loss': 1.9527, 'grad_norm': 4.1694560050964355, 'learning_rate': 4.930579738887827e-06, 'epoch': 0.12}
{'loss': 1.4586, 'grad_norm': 5.33303689956665, 'learning_rate': 4.9258979664884595e-06, 'epoch': 0.12}
{'loss': 1.1144, 'grad_norm': 4.91558313369751, 'learning_rate': 4.921065802260185e-06, 'epoch': 0.13}
