                                                                                                         
{'loss': 2.2417, 'grad_norm': 5.211205005645752, 'learning_rate': 2.3809523809523811e-07, 'epoch': 0.0}
{'loss': 2.0957, 'grad_norm': 8.196242332458496, 'learning_rate': 4.7619047619047623e-07, 'epoch': 0.0}
{'loss': 2.0618, 'grad_norm': 12.966552734375, 'learning_rate': 7.142857142857143e-07, 'epoch': 0.01}
{'loss': 2.1349, 'grad_norm': 5.345376968383789, 'learning_rate': 9.523809523809525e-07, 'epoch': 0.01}
{'loss': 2.2133, 'grad_norm': 6.672901630401611, 'learning_rate': 1.1904761904761906e-06, 'epoch': 0.01}
{'loss': 2.2041, 'grad_norm': 8.366296768188477, 'learning_rate': 1.4285714285714286e-06, 'epoch': 0.01}
{'loss': 2.2122, 'grad_norm': 20.325695037841797, 'learning_rate': 1.6666666666666667e-06, 'epoch': 0.02}
{'loss': 2.0392, 'grad_norm': 9.496173858642578, 'learning_rate': 1.904761904761905e-06, 'epoch': 0.02}
{'loss': 2.2142, 'grad_norm': 9.368535041809082, 'learning_rate': 2.1428571428571427e-06, 'epoch': 0.02}
{'loss': 2.1726, 'grad_norm': 6.3672194480896, 'learning_rate': 2.380952380952381e-06, 'epoch': 0.02}
{'loss': 2.1327, 'grad_norm': 6.285713195800781, 'learning_rate': 2.6190476190476192e-06, 'epoch': 0.03}
{'loss': 1.942, 'grad_norm': 5.743130207061768, 'learning_rate': 2.8571428571428573e-06, 'epoch': 0.03}
{'loss': 1.9264, 'grad_norm': 5.18770170211792, 'learning_rate': 3.0952380952380957e-06, 'epoch': 0.03}
{'loss': 2.2737, 'grad_norm': 4.976804256439209, 'learning_rate': 3.3333333333333333e-06, 'epoch': 0.03}
{'loss': 2.0696, 'grad_norm': 7.097139835357666, 'learning_rate': 3.5714285714285718e-06, 'epoch': 0.04}
{'loss': 1.9329, 'grad_norm': 9.874999046325684, 'learning_rate': 3.80952380952381e-06, 'epoch': 0.04}
{'loss': 2.0228, 'grad_norm': 6.643435955047607, 'learning_rate': 4.047619047619048e-06, 'epoch': 0.04}
{'loss': 2.0355, 'grad_norm': 4.9723801612854, 'learning_rate': 4.2857142857142855e-06, 'epoch': 0.04}
{'loss': 2.0055, 'grad_norm': 5.509413242340088, 'learning_rate': 4.523809523809524e-06, 'epoch': 0.05}
{'loss': 2.1151, 'grad_norm': 4.642192363739014, 'learning_rate': 4.761904761904762e-06, 'epoch': 0.05}
{'loss': 2.1095, 'grad_norm': 5.249177932739258, 'learning_rate': 5e-06, 'epoch': 0.05}
{'loss': 2.2572, 'grad_norm': 5.668726921081543, 'learning_rate': 4.999919714835816e-06, 'epoch': 0.05}
{'loss': 2.242, 'grad_norm': 4.516376495361328, 'learning_rate': 4.999678864499828e-06, 'epoch': 0.06}
{'loss': 1.8977, 'grad_norm': 5.445484161376953, 'learning_rate': 4.999277464461405e-06, 'epoch': 0.06}
{'loss': 1.9231, 'grad_norm': 4.798074245452881, 'learning_rate': 4.99871554050172e-06, 'epoch': 0.06}
{'loss': 2.0663, 'grad_norm': 4.667684555053711, 'learning_rate': 4.9979931287121e-06, 'epoch': 0.06}
{'loss': 1.9662, 'grad_norm': 8.821104049682617, 'learning_rate': 4.997110275491702e-06, 'epoch': 0.07}
{'loss': 1.837, 'grad_norm': 4.452920913696289, 'learning_rate': 4.996067037544542e-06, 'epoch': 0.07}
{'loss': 2.2359, 'grad_norm': 4.787158966064453, 'learning_rate': 4.994863481875842e-06, 'epoch': 0.07}
{'loss': 2.0218, 'grad_norm': 4.570707321166992, 'learning_rate': 4.993499685787732e-06, 'epoch': 0.07}
{'loss': 1.9637, 'grad_norm': 4.298503398895264, 'learning_rate': 4.9919757368742895e-06, 'epoch': 0.08}
{'loss': 2.0063, 'grad_norm': 4.34849214553833, 'learning_rate': 4.990291733015904e-06, 'epoch': 0.08}
{'loss': 2.057, 'grad_norm': 4.506171226501465, 'learning_rate': 4.988447782372996e-06, 'epoch': 0.08}
{'loss': 2.3498, 'grad_norm': 8.890018463134766, 'learning_rate': 4.98644400337907e-06, 'epoch': 0.08}
{'loss': 1.808, 'grad_norm': 4.41543436050415, 'learning_rate': 4.984280524733107e-06, 'epoch': 0.08}
{'loss': 1.9107, 'grad_norm': 5.2909417152404785, 'learning_rate': 4.981957485391297e-06, 'epoch': 0.09}
{'loss': 2.1305, 'grad_norm': 4.315186023712158, 'learning_rate': 4.979475034558115e-06, 'epoch': 0.09}
{'loss': 2.1627, 'grad_norm': 5.272334575653076, 'learning_rate': 4.976833331676742e-06, 'epoch': 0.09}
{'loss': 1.8881, 'grad_norm': 4.462223052978516, 'learning_rate': 4.974032546418816e-06, 'epoch': 0.09}
{'loss': 1.7979, 'grad_norm': 4.802730560302734, 'learning_rate': 4.971072858673539e-06, 'epoch': 0.1}
{'loss': 2.1351, 'grad_norm': 4.393764972686768, 'learning_rate': 4.967954458536126e-06, 'epoch': 0.1}
{'loss': 2.0323, 'grad_norm': 4.235826015472412, 'learning_rate': 4.96467754629559e-06, 'epoch': 0.1}
{'loss': 1.907, 'grad_norm': 5.27574348449707, 'learning_rate': 4.9612423324218816e-06, 'epoch': 0.1}
{'loss': 2.1454, 'grad_norm': 5.810551643371582, 'learning_rate': 4.957649037552368e-06, 'epoch': 0.11}
{'loss': 2.0158, 'grad_norm': 4.4442267417907715, 'learning_rate': 4.953897892477664e-06, 'epoch': 0.11}
{'loss': 2.1241, 'grad_norm': 4.6255717277526855, 'learning_rate': 4.949989138126809e-06, 'epoch': 0.11}
{'loss': 1.771, 'grad_norm': 4.0804877281188965, 'learning_rate': 4.945923025551789e-06, 'epoch': 0.11}
{'loss': 2.0461, 'grad_norm': 3.9467878341674805, 'learning_rate': 4.941699815911418e-06, 'epoch': 0.12}
{'loss': 1.7421, 'grad_norm': 4.1379313468933105, 'learning_rate': 4.937319780454559e-06, 'epoch': 0.12}
{'loss': 1.9745, 'grad_norm': 4.581811904907227, 'learning_rate': 4.932783200502705e-06, 'epoch': 0.12}
{'loss': 2.2391, 'grad_norm': 4.234686851501465, 'learning_rate': 4.92809036743191e-06, 'epoch': 0.12}
{'loss': 1.7475, 'grad_norm': 4.033213138580322, 'learning_rate': 4.923241582654071e-06, 'epoch': 0.13}
{'loss': 1.9236, 'grad_norm': 4.357614517211914, 'learning_rate': 4.918237157597574e-06, 'epoch': 0.13}
{'loss': 1.9504, 'grad_norm': 6.800673007965088, 'learning_rate': 4.913077413687289e-06, 'epoch': 0.13}
{'loss': 1.6631, 'grad_norm': 3.930110216140747, 'learning_rate': 4.907762682323926e-06, 'epoch': 0.13}
{'loss': 1.8656, 'grad_norm': 3.7871828079223633, 'learning_rate': 4.9022933048627496e-06, 'epoch': 0.14}
{'loss': 2.0287, 'grad_norm': 4.281845569610596, 'learning_rate': 4.896669632591652e-06, 'epoch': 0.14}
{'loss': 1.9699, 'grad_norm': 4.232154846191406, 'learning_rate': 4.890892026708596e-06, 'epoch': 0.14}
{'loss': 1.9482, 'grad_norm': 4.1299309730529785, 'learning_rate': 4.88496085829841e-06, 'epoch': 0.14}
{'loss': 1.779, 'grad_norm': 4.050929546356201, 'learning_rate': 4.8788765083089586e-06, 'epoch': 0.15}
{'loss': 2.0977, 'grad_norm': 4.414012432098389, 'learning_rate': 4.872639367526672e-06, 'epoch': 0.15}
{'loss': 1.8292, 'grad_norm': 4.2372846603393555, 'learning_rate': 4.866249836551447e-06, 'epoch': 0.15}
{'loss': 1.8319, 'grad_norm': 3.8421072959899902, 'learning_rate': 4.859708325770919e-06, 'epoch': 0.15}
{'loss': 1.7521, 'grad_norm': 4.115403652191162, 'learning_rate': 4.853015255334101e-06, 'epoch': 0.15}
{'loss': 1.8054, 'grad_norm': 4.097507476806641, 'learning_rate': 4.846171055124401e-06, 'epoch': 0.16}
{'loss': 1.7846, 'grad_norm': 4.312420845031738, 'learning_rate': 4.839176164732009e-06, 'epoch': 0.16}
{'loss': 1.6416, 'grad_norm': 4.530248165130615, 'learning_rate': 4.832031033425663e-06, 'epoch': 0.16}
{'loss': 1.9385, 'grad_norm': 3.972588300704956, 'learning_rate': 4.824736120123794e-06, 'epoch': 0.16}
{'loss': 1.989, 'grad_norm': 3.934866428375244, 'learning_rate': 4.817291893365055e-06, 'epoch': 0.17}
{'loss': 2.1739, 'grad_norm': 6.648118019104004, 'learning_rate': 4.809698831278217e-06, 'epoch': 0.17}
{'loss': 1.6689, 'grad_norm': 4.019467353820801, 'learning_rate': 4.8019574215514705e-06, 'epoch': 0.17}
{'loss': 1.8953, 'grad_norm': 5.588000774383545, 'learning_rate': 4.794068161401097e-06, 'epoch': 0.17}
{'loss': 2.1056, 'grad_norm': 4.575301170349121, 'learning_rate': 4.786031557539532e-06, 'epoch': 0.18}
{'loss': 2.2075, 'grad_norm': 4.776072025299072, 'learning_rate': 4.777848126142824e-06, 'epoch': 0.18}
{'loss': 1.7691, 'grad_norm': 4.7723002433776855, 'learning_rate': 4.7695183928174804e-06, 'epoch': 0.18}
{'loss': 1.7267, 'grad_norm': 4.164523601531982, 'learning_rate': 4.761042892566707e-06, 'epoch': 0.18}
{'loss': 1.9096, 'grad_norm': 4.589491844177246, 'learning_rate': 4.752422169756048e-06, 'epoch': 0.19}
{'loss': 1.8096, 'grad_norm': 4.149491786956787, 'learning_rate': 4.74365677807842e-06, 'epoch': 0.19}
{'loss': 1.8967, 'grad_norm': 4.2157182693481445, 'learning_rate': 4.734747280518549e-06, 'epoch': 0.19}
