                                                                                                                    
{'loss': 1.6659, 'grad_norm': 85.15895080566406, 'learning_rate': 1.0416666666666667e-07, 'epoch': 0.0}
{'loss': 1.5716, 'grad_norm': 103.57536315917969, 'learning_rate': 2.0833333333333333e-07, 'epoch': 0.0}
{'loss': 1.5611, 'grad_norm': 2552.6884765625, 'learning_rate': 3.125e-07, 'epoch': 0.0}
{'loss': 1.7867, 'grad_norm': 10055.39453125, 'learning_rate': 4.1666666666666667e-07, 'epoch': 0.0}
{'loss': 1.5969, 'grad_norm': 55.94285583496094, 'learning_rate': 5.208333333333334e-07, 'epoch': 0.01}
{'loss': 1.5568, 'grad_norm': 28.301530838012695, 'learning_rate': 6.25e-07, 'epoch': 0.01}
{'loss': 1.5592, 'grad_norm': 16728.04296875, 'learning_rate': 7.291666666666667e-07, 'epoch': 0.01}
{'loss': 1.5169, 'grad_norm': 44.6902961730957, 'learning_rate': 8.333333333333333e-07, 'epoch': 0.01}
{'loss': 1.5115, 'grad_norm': 9.131367683410645, 'learning_rate': 9.375000000000001e-07, 'epoch': 0.01}
{'loss': 1.4781, 'grad_norm': 7.56563138961792, 'learning_rate': 1.0416666666666667e-06, 'epoch': 0.01}
{'loss': 1.364, 'grad_norm': 64.41118621826172, 'learning_rate': 1.1458333333333333e-06, 'epoch': 0.01}
{'loss': 1.4868, 'grad_norm': 6.648562431335449, 'learning_rate': 1.25e-06, 'epoch': 0.01}
{'loss': 1.4524, 'grad_norm': 6.666819095611572, 'learning_rate': 1.3541666666666667e-06, 'epoch': 0.01}
{'loss': 1.3465, 'grad_norm': 4.1325883865356445, 'learning_rate': 1.4583333333333335e-06, 'epoch': 0.01}
{'loss': 1.4425, 'grad_norm': 1004.4393310546875, 'learning_rate': 1.5625e-06, 'epoch': 0.02}
{'loss': 1.3428, 'grad_norm': 4.260623455047607, 'learning_rate': 1.6666666666666667e-06, 'epoch': 0.02}
{'loss': 1.3606, 'grad_norm': 4.557271957397461, 'learning_rate': 1.7708333333333337e-06, 'epoch': 0.02}
