                                                                                                             
{'loss': 1.6176, 'grad_norm': 61.06793975830078, 'learning_rate': 1.0416666666666667e-07, 'epoch': 0.0}
{'loss': 1.5401, 'grad_norm': 80.43366241455078, 'learning_rate': 2.0833333333333333e-07, 'epoch': 0.0}
{'loss': 1.5232, 'grad_norm': 2634.210205078125, 'learning_rate': 3.125e-07, 'epoch': 0.0}
{'loss': 1.7344, 'grad_norm': 11868.1552734375, 'learning_rate': 4.1666666666666667e-07, 'epoch': 0.0}
{'loss': 1.579, 'grad_norm': 49.7557258605957, 'learning_rate': 5.208333333333334e-07, 'epoch': 0.01}
{'loss': 1.5352, 'grad_norm': 24.4146671295166, 'learning_rate': 6.25e-07, 'epoch': 0.01}
{'loss': 1.5538, 'grad_norm': 12324.626953125, 'learning_rate': 7.291666666666667e-07, 'epoch': 0.01}
{'loss': 1.4941, 'grad_norm': 488.6206359863281, 'learning_rate': 8.333333333333333e-07, 'epoch': 0.01}
{'loss': 1.4957, 'grad_norm': 7.376832485198975, 'learning_rate': 9.375000000000001e-07, 'epoch': 0.01}
{'loss': 1.4626, 'grad_norm': 6.737707614898682, 'learning_rate': 1.0416666666666667e-06, 'epoch': 0.01}
{'loss': 1.3523, 'grad_norm': 42.28580856323242, 'learning_rate': 1.1458333333333333e-06, 'epoch': 0.01}
{'loss': 1.4774, 'grad_norm': 8.078722953796387, 'learning_rate': 1.25e-06, 'epoch': 0.01}
{'loss': 1.4437, 'grad_norm': 7.466184139251709, 'learning_rate': 1.3541666666666667e-06, 'epoch': 0.01}
{'loss': 1.3409, 'grad_norm': 3.386199951171875, 'learning_rate': 1.4583333333333335e-06, 'epoch': 0.01}
{'loss': 1.4321, 'grad_norm': 5.736011028289795, 'learning_rate': 1.5625e-06, 'epoch': 0.02}
{'loss': 1.3298, 'grad_norm': 3.6367671489715576, 'learning_rate': 1.6666666666666667e-06, 'epoch': 0.02}
{'loss': 1.3485, 'grad_norm': 4.288784503936768, 'learning_rate': 1.7708333333333337e-06, 'epoch': 0.02}
{'loss': 1.296, 'grad_norm': 3.8931052684783936, 'learning_rate': 1.8750000000000003e-06, 'epoch': 0.02}
{'loss': 1.3639, 'grad_norm': 2.835845708847046, 'learning_rate': 1.9791666666666666e-06, 'epoch': 0.02}
{'loss': 1.258, 'grad_norm': 2.140035390853882, 'learning_rate': 2.0833333333333334e-06, 'epoch': 0.02}
{'loss': 1.2983, 'grad_norm': 2.9172444343566895, 'learning_rate': 2.1875000000000002e-06, 'epoch': 0.02}
{'loss': 1.2997, 'grad_norm': 3.0822622776031494, 'learning_rate': 2.2916666666666666e-06, 'epoch': 0.02}
{'loss': 1.3398, 'grad_norm': 1.9253891706466675, 'learning_rate': 2.395833333333334e-06, 'epoch': 0.02}
{'loss': 1.3017, 'grad_norm': 2.6957767009735107, 'learning_rate': 2.5e-06, 'epoch': 0.03}
{'loss': 1.3152, 'grad_norm': 597.7830810546875, 'learning_rate': 2.604166666666667e-06, 'epoch': 0.03}
{'loss': 1.2671, 'grad_norm': 2.768519163131714, 'learning_rate': 2.7083333333333334e-06, 'epoch': 0.03}
{'loss': 1.2267, 'grad_norm': 2.359943151473999, 'learning_rate': 2.8125e-06, 'epoch': 0.03}
