                                                                                                           
{'loss': 1.6176, 'grad_norm': 61.183616638183594, 'learning_rate': 2.083333333333333e-08, 'epoch': 0.0}
{'loss': 1.5401, 'grad_norm': 80.4459228515625, 'learning_rate': 4.166666666666666e-08, 'epoch': 0.0}
{'loss': 1.5307, 'grad_norm': 1218.11083984375, 'learning_rate': 6.25e-08, 'epoch': 0.0}
{'loss': 1.6303, 'grad_norm': 101099.703125, 'learning_rate': 8.333333333333333e-08, 'epoch': 0.0}
{'loss': 1.6098, 'grad_norm': 80.26720428466797, 'learning_rate': 1.0416666666666667e-07, 'epoch': 0.01}
{'loss': 1.5757, 'grad_norm': 57.148521423339844, 'learning_rate': 1.25e-07, 'epoch': 0.01}
{'loss': 1.5664, 'grad_norm': 3955.829345703125, 'learning_rate': 1.4583333333333335e-07, 'epoch': 0.01}
{'loss': 1.5967, 'grad_norm': 8275.9296875, 'learning_rate': 1.6666666666666665e-07, 'epoch': 0.01}
{'loss': 1.5613, 'grad_norm': 20.938032150268555, 'learning_rate': 1.875e-07, 'epoch': 0.01}
{'loss': 1.5398, 'grad_norm': 29.188648223876953, 'learning_rate': 2.0833333333333333e-07, 'epoch': 0.01}
{'loss': 1.4366, 'grad_norm': 107.58228302001953, 'learning_rate': 2.2916666666666663e-07, 'epoch': 0.01}
{'loss': 1.5626, 'grad_norm': 24.533533096313477, 'learning_rate': 2.5e-07, 'epoch': 0.01}
{'loss': 1.54, 'grad_norm': 17.21515464782715, 'learning_rate': 2.708333333333333e-07, 'epoch': 0.01}
{'loss': 1.4464, 'grad_norm': 20.872516632080078, 'learning_rate': 2.916666666666667e-07, 'epoch': 0.01}
{'loss': 1.5557, 'grad_norm': 2916.67236328125, 'learning_rate': 3.1249999999999997e-07, 'epoch': 0.02}
{'loss': 1.4534, 'grad_norm': 24.582683563232422, 'learning_rate': 3.333333333333333e-07, 'epoch': 0.02}
{'loss': 1.4769, 'grad_norm': 8.766458511352539, 'learning_rate': 3.541666666666667e-07, 'epoch': 0.02}
{'loss': 1.4242, 'grad_norm': 6.073850631713867, 'learning_rate': 3.75e-07, 'epoch': 0.02}
{'loss': 1.4961, 'grad_norm': 10.567342758178711, 'learning_rate': 3.958333333333333e-07, 'epoch': 0.02}
{'loss': 1.4798, 'grad_norm': 3371.6015625, 'learning_rate': 4.1666666666666667e-07, 'epoch': 0.02}
{'loss': 1.424, 'grad_norm': 4.52786111831665, 'learning_rate': 4.375e-07, 'epoch': 0.02}
{'loss': 1.4235, 'grad_norm': 4.488122940063477, 'learning_rate': 4.5833333333333327e-07, 'epoch': 0.02}
{'loss': 1.4583, 'grad_norm': 53.8022575378418, 'learning_rate': 4.791666666666667e-07, 'epoch': 0.02}
{'loss': 1.4242, 'grad_norm': 51.48683166503906, 'learning_rate': 5e-07, 'epoch': 0.03}
{'loss': 1.475, 'grad_norm': 9484.556640625, 'learning_rate': 5.208333333333334e-07, 'epoch': 0.03}
{'loss': 1.3788, 'grad_norm': 3.506537437438965, 'learning_rate': 5.416666666666666e-07, 'epoch': 0.03}
{'loss': 1.338, 'grad_norm': 8.389181137084961, 'learning_rate': 5.625e-07, 'epoch': 0.03}
{'loss': 1.34, 'grad_norm': 4.383243083953857, 'learning_rate': 5.833333333333334e-07, 'epoch': 0.03}
{'loss': 1.3633, 'grad_norm': 8.487872123718262, 'learning_rate': 6.041666666666666e-07, 'epoch': 0.03}
{'loss': 1.4359, 'grad_norm': 5.2827301025390625, 'learning_rate': 6.249999999999999e-07, 'epoch': 0.03}
{'loss': 1.4038, 'grad_norm': 7.197448253631592, 'learning_rate': 6.458333333333333e-07, 'epoch': 0.03}
{'loss': 1.3687, 'grad_norm': 7.401561260223389, 'learning_rate': 6.666666666666666e-07, 'epoch': 0.03}
{'loss': 1.3226, 'grad_norm': 2.9877283573150635, 'learning_rate': 6.875e-07, 'epoch': 0.03}
{'loss': 1.3664, 'grad_norm': 4.665536403656006, 'learning_rate': 7.083333333333334e-07, 'epoch': 0.04}
{'loss': 1.2708, 'grad_norm': 2.255082607269287, 'learning_rate': 7.291666666666666e-07, 'epoch': 0.04}
{'loss': 1.4131, 'grad_norm': 2.7479100227355957, 'learning_rate': 7.5e-07, 'epoch': 0.04}
{'loss': 1.3241, 'grad_norm': 10220.0810546875, 'learning_rate': 7.708333333333333e-07, 'epoch': 0.04}
{'loss': 1.3795, 'grad_norm': 2.429934024810791, 'learning_rate': 7.916666666666666e-07, 'epoch': 0.04}
{'loss': 1.3968, 'grad_norm': 2.943347692489624, 'learning_rate': 8.125e-07, 'epoch': 0.04}
{'loss': 1.2542, 'grad_norm': 2.4330265522003174, 'learning_rate': 8.333333333333333e-07, 'epoch': 0.04}
{'loss': 1.3333, 'grad_norm': 3.4888720512390137, 'learning_rate': 8.541666666666666e-07, 'epoch': 0.04}
{'loss': 1.3775, 'grad_norm': 3.1892635822296143, 'learning_rate': 8.75e-07, 'epoch': 0.04}
{'loss': 1.3736, 'grad_norm': 2.4098901748657227, 'learning_rate': 8.958333333333334e-07, 'epoch': 0.05}
{'loss': 1.2315, 'grad_norm': 27.758026123046875, 'learning_rate': 9.166666666666665e-07, 'epoch': 0.05}
{'loss': 1.274, 'grad_norm': 1.948381781578064, 'learning_rate': 9.374999999999999e-07, 'epoch': 0.05}
{'loss': 1.3958, 'grad_norm': 3492.74462890625, 'learning_rate': 9.583333333333334e-07, 'epoch': 0.05}
