                                                                                                            
{'loss': 2.2768, 'grad_norm': 7.791006088256836, 'learning_rate': 2.2727272727272729e-07, 'epoch': 0.0}
{'loss': 2.2817, 'grad_norm': 9.377754211425781, 'learning_rate': 4.5454545454545457e-07, 'epoch': 0.0}
{'loss': 2.0286, 'grad_norm': 6.995380401611328, 'learning_rate': 6.818181818181818e-07, 'epoch': 0.01}
{'loss': 2.0532, 'grad_norm': 6.614165306091309, 'learning_rate': 9.090909090909091e-07, 'epoch': 0.01}
{'loss': 2.2984, 'grad_norm': 6.885715484619141, 'learning_rate': 1.1363636363636364e-06, 'epoch': 0.01}
{'loss': 2.1808, 'grad_norm': 7.993419170379639, 'learning_rate': 1.3636363636363636e-06, 'epoch': 0.01}
{'loss': 2.1086, 'grad_norm': 18.7652645111084, 'learning_rate': 1.590909090909091e-06, 'epoch': 0.02}
{'loss': 1.9727, 'grad_norm': 6.4522809982299805, 'learning_rate': 1.8181818181818183e-06, 'epoch': 0.02}
{'loss': 2.0074, 'grad_norm': 6.874014854431152, 'learning_rate': 2.0454545454545457e-06, 'epoch': 0.02}
{'loss': 2.2056, 'grad_norm': 7.209036827087402, 'learning_rate': 2.2727272727272728e-06, 'epoch': 0.02}
{'loss': 2.0887, 'grad_norm': 5.958617210388184, 'learning_rate': 2.5e-06, 'epoch': 0.03}
{'loss': 2.2608, 'grad_norm': 4.776710510253906, 'learning_rate': 2.7272727272727272e-06, 'epoch': 0.03}
{'loss': 2.1722, 'grad_norm': 5.583291053771973, 'learning_rate': 2.954545454545455e-06, 'epoch': 0.03}
{'loss': 2.1508, 'grad_norm': 4.627882480621338, 'learning_rate': 3.181818181818182e-06, 'epoch': 0.03}
{'loss': 2.0966, 'grad_norm': 5.641805171966553, 'learning_rate': 3.409090909090909e-06, 'epoch': 0.04}
{'loss': 1.9548, 'grad_norm': 6.03036642074585, 'learning_rate': 3.6363636363636366e-06, 'epoch': 0.04}
{'loss': 2.0009, 'grad_norm': 7.149492263793945, 'learning_rate': 3.863636363636364e-06, 'epoch': 0.04}
{'loss': 1.965, 'grad_norm': 4.974099636077881, 'learning_rate': 4.0909090909090915e-06, 'epoch': 0.04}
{'loss': 1.9127, 'grad_norm': 5.350764274597168, 'learning_rate': 4.3181818181818185e-06, 'epoch': 0.04}
{'loss': 2.1304, 'grad_norm': 4.694402694702148, 'learning_rate': 4.5454545454545455e-06, 'epoch': 0.05}
{'loss': 1.9657, 'grad_norm': 4.3908796310424805, 'learning_rate': 4.772727272727273e-06, 'epoch': 0.05}
{'loss': 2.0241, 'grad_norm': 4.603488922119141, 'learning_rate': 5e-06, 'epoch': 0.05}
{'loss': 1.7688, 'grad_norm': 5.320505142211914, 'learning_rate': 4.999924413394926e-06, 'epoch': 0.05}
{'loss': 2.069, 'grad_norm': 4.371391773223877, 'learning_rate': 4.999697658150374e-06, 'epoch': 0.06}
{'loss': 1.8279, 'grad_norm': 4.4356279373168945, 'learning_rate': 4.99931974797807e-06, 'epoch': 0.06}
{'loss': 2.1806, 'grad_norm': 4.860446453094482, 'learning_rate': 4.99879070572997e-06, 'epoch': 0.06}
{'loss': 2.0667, 'grad_norm': 9.796022415161133, 'learning_rate': 4.998110563396883e-06, 'epoch': 0.06}
{'loss': 1.8172, 'grad_norm': 4.9233479499816895, 'learning_rate': 4.997279362106528e-06, 'epoch': 0.07}
{'loss': 2.1485, 'grad_norm': 4.236205577850342, 'learning_rate': 4.99629715212105e-06, 'epoch': 0.07}
{'loss': 1.9928, 'grad_norm': 4.6952972412109375, 'learning_rate': 4.995163992833986e-06, 'epoch': 0.07}
{'loss': 1.8957, 'grad_norm': 5.04429292678833, 'learning_rate': 4.993879952766666e-06, 'epoch': 0.07}
{'loss': 1.8061, 'grad_norm': 4.9673686027526855, 'learning_rate': 4.992445109564074e-06, 'epoch': 0.08}
{'loss': 2.0245, 'grad_norm': 4.458767890930176, 'learning_rate': 4.99085954999015e-06, 'epoch': 0.08}
{'loss': 2.1928, 'grad_norm': 8.721783638000488, 'learning_rate': 4.989123369922547e-06, 'epoch': 0.08}
{'loss': 1.5848, 'grad_norm': 5.346359729766846, 'learning_rate': 4.9872366743468305e-06, 'epoch': 0.08}
{'loss': 1.5396, 'grad_norm': 5.383403778076172, 'learning_rate': 4.985199577350132e-06, 'epoch': 0.08}
{'loss': 2.0884, 'grad_norm': 4.544562816619873, 'learning_rate': 4.983012202114247e-06, 'epoch': 0.09}
{'loss': 1.9987, 'grad_norm': 5.500206470489502, 'learning_rate': 4.980674680908192e-06, 'epoch': 0.09}
{'loss': 1.9753, 'grad_norm': 5.988759517669678, 'learning_rate': 4.978187155080199e-06, 'epoch': 0.09}
{'loss': 1.9022, 'grad_norm': 7.980542182922363, 'learning_rate': 4.975549775049174e-06, 'epoch': 0.09}
{'loss': 1.8834, 'grad_norm': 4.163474082946777, 'learning_rate': 4.9727627002956e-06, 'epoch': 0.1}
{'loss': 1.9583, 'grad_norm': 5.045177459716797, 'learning_rate': 4.969826099351892e-06, 'epoch': 0.1}
{'loss': 1.9371, 'grad_norm': 4.830442428588867, 'learning_rate': 4.966740149792206e-06, 'epoch': 0.1}
{'loss': 2.0543, 'grad_norm': 4.1458964347839355, 'learning_rate': 4.963505038221704e-06, 'epoch': 0.1}
{'loss': 1.9985, 'grad_norm': 4.727974891662598, 'learning_rate': 4.9601209602652644e-06, 'epoch': 0.11}
{'loss': 2.2053, 'grad_norm': 4.560730457305908, 'learning_rate': 4.95658812055566e-06, 'epoch': 0.11}
{'loss': 1.6775, 'grad_norm': 4.893285751342773, 'learning_rate': 4.952906732721177e-06, 'epoch': 0.11}
{'loss': 2.0503, 'grad_norm': 4.403242588043213, 'learning_rate': 4.949077019372704e-06, 'epoch': 0.11}
{'loss': 1.6935, 'grad_norm': 4.479062080383301, 'learning_rate': 4.945099212090265e-06, 'epoch': 0.12}
{'loss': 1.7118, 'grad_norm': 4.35625696182251, 'learning_rate': 4.940973551409018e-06, 'epoch': 0.12}
{'loss': 2.2481, 'grad_norm': 5.806067943572998, 'learning_rate': 4.936700286804711e-06, 'epoch': 0.12}
{'loss': 1.5983, 'grad_norm': 5.525676250457764, 'learning_rate': 4.932279676678594e-06, 'epoch': 0.12}
{'loss': 1.7486, 'grad_norm': 5.980740070343018, 'learning_rate': 4.927711988341798e-06, 'epoch': 0.12}
{'loss': 1.9321, 'grad_norm': 5.7245965003967285, 'learning_rate': 4.922997497999166e-06, 'epoch': 0.13}
{'loss': 1.663, 'grad_norm': 5.4981303215026855, 'learning_rate': 4.9181364907325535e-06, 'epoch': 0.13}
{'loss': 1.6929, 'grad_norm': 6.342588901519775, 'learning_rate': 4.913129260483589e-06, 'epoch': 0.13}
{'loss': 2.0644, 'grad_norm': 4.822617053985596, 'learning_rate': 4.907976110035903e-06, 'epoch': 0.13}
{'loss': 1.7678, 'grad_norm': 5.406828880310059, 'learning_rate': 4.902677350996812e-06, 'epoch': 0.14}
{'loss': 1.8243, 'grad_norm': 4.728133201599121, 'learning_rate': 4.897233303778481e-06, 'epoch': 0.14}
{'loss': 1.8416, 'grad_norm': 4.476499557495117, 'learning_rate': 4.89164429757855e-06, 'epoch': 0.14}
{'loss': 1.8133, 'grad_norm': 5.187626838684082, 'learning_rate': 4.88591067036022e-06, 'epoch': 0.14}
{'loss': 1.5625, 'grad_norm': 7.994002342224121, 'learning_rate': 4.880032768831825e-06, 'epoch': 0.15}
{'loss': 2.1656, 'grad_norm': 4.555225372314453, 'learning_rate': 4.8740109484258625e-06, 'epoch': 0.15}
{'loss': 1.5714, 'grad_norm': 9.896059036254883, 'learning_rate': 4.867845573277501e-06, 'epoch': 0.15}
{'loss': 1.3048, 'grad_norm': 4.830981731414795, 'learning_rate': 4.861537016202561e-06, 'epoch': 0.15}
{'loss': 2.2033, 'grad_norm': 5.284333229064941, 'learning_rate': 4.855085658674973e-06, 'epoch': 0.15}
{'loss': 1.5079, 'grad_norm': 5.389735698699951, 'learning_rate': 4.848491890803708e-06, 'epoch': 0.16}
{'loss': 1.7385, 'grad_norm': 5.237234115600586, 'learning_rate': 4.841756111309188e-06, 'epoch': 0.16}
{'loss': 1.451, 'grad_norm': 6.6476664543151855, 'learning_rate': 4.8348787274991765e-06, 'epoch': 0.16}
{'loss': 1.9795, 'grad_norm': 6.716739177703857, 'learning_rate': 4.827860155244149e-06, 'epoch': 0.16}
{'loss': 1.1762, 'grad_norm': 7.1920952796936035, 'learning_rate': 4.820700818952145e-06, 'epoch': 0.17}
{'loss': 2.0135, 'grad_norm': 5.860538482666016, 'learning_rate': 4.813401151543105e-06, 'epoch': 0.17}
{'loss': 1.8109, 'grad_norm': 5.469653129577637, 'learning_rate': 4.8059615944226885e-06, 'epoch': 0.17}
{'loss': 2.0826, 'grad_norm': 4.969586372375488, 'learning_rate': 4.798382597455591e-06, 'epoch': 0.17}
{'loss': 1.8205, 'grad_norm': 12.273900985717773, 'learning_rate': 4.790664618938332e-06, 'epoch': 0.18}
{'loss': 1.7417, 'grad_norm': 11.081132888793945, 'learning_rate': 4.782808125571547e-06, 'epoch': 0.18}
{'loss': 1.7988, 'grad_norm': 4.585958003997803, 'learning_rate': 4.7748135924317655e-06, 'epoch': 0.18}
{'loss': 1.8539, 'grad_norm': 5.5049872398376465, 'learning_rate': 4.766681502942681e-06, 'epoch': 0.18}
{'loss': 1.0137, 'grad_norm': 7.74893856048584, 'learning_rate': 4.758412348845925e-06, 'epoch': 0.19}
{'loss': 1.3866, 'grad_norm': 4.398989200592041, 'learning_rate': 4.750006630171325e-06, 'epoch': 0.19}
{'loss': 1.738, 'grad_norm': 4.770352363586426, 'learning_rate': 4.741464855206671e-06, 'epoch': 0.19}
{'loss': 1.4327, 'grad_norm': 5.8194499015808105, 'learning_rate': 4.732787540466979e-06, 'epoch': 0.19}
{'loss': 1.6228, 'grad_norm': 6.565329074859619, 'learning_rate': 4.72397521066326e-06, 'epoch': 0.19}
{'loss': 2.1708, 'grad_norm': 4.170774459838867, 'learning_rate': 4.715028398670787e-06, 'epoch': 0.2}
{'loss': 1.8178, 'grad_norm': 5.680785179138184, 'learning_rate': 4.705947645496877e-06, 'epoch': 0.2}
{'loss': 1.4863, 'grad_norm': 4.875799655914307, 'learning_rate': 4.6967335002481724e-06, 'epoch': 0.2}
{'loss': 1.9725, 'grad_norm': 4.852048873901367, 'learning_rate': 4.68738652009744e-06, 'epoch': 0.2}
{'loss': 0.9211, 'grad_norm': 4.9108734130859375, 'learning_rate': 4.6779072702498765e-06, 'epoch': 0.21}
{'loss': 2.3557, 'grad_norm': 5.441107273101807, 'learning_rate': 4.668296323908935e-06, 'epoch': 0.21}
{'loss': 1.0253, 'grad_norm': 8.58443832397461, 'learning_rate': 4.658554262241659e-06, 'epoch': 0.21}
{'loss': 2.0994, 'grad_norm': 4.067976474761963, 'learning_rate': 4.648681674343543e-06, 'epoch': 0.21}
{'loss': 1.8923, 'grad_norm': 5.178101062774658, 'learning_rate': 4.63867915720291e-06, 'epoch': 0.22}
{'loss': 1.8596, 'grad_norm': 4.691086292266846, 'learning_rate': 4.628547315664809e-06, 'epoch': 0.22}
{'loss': 2.2956, 'grad_norm': 4.26045036315918, 'learning_rate': 4.618286762394444e-06, 'epoch': 0.22}
{'loss': 2.0315, 'grad_norm': 4.2557830810546875, 'learning_rate': 4.6078981178401265e-06, 'epoch': 0.22}
{'loss': 0.6877, 'grad_norm': 6.940377235412598, 'learning_rate': 4.5973820101957535e-06, 'epoch': 0.23}
{'loss': 2.1636, 'grad_norm': 4.335299968719482, 'learning_rate': 4.586739075362826e-06, 'epoch': 0.23}
{'loss': 0.9783, 'grad_norm': 6.148834705352783, 'learning_rate': 4.575969956911994e-06, 'epoch': 0.23}
{'loss': 1.2634, 'grad_norm': 4.658623218536377, 'learning_rate': 4.56507530604414e-06, 'epoch': 0.23}
{'loss': 1.6324, 'grad_norm': 8.805438995361328, 'learning_rate': 4.554055781551002e-06, 'epoch': 0.23}
{'loss': 2.0913, 'grad_norm': 4.805643081665039, 'learning_rate': 4.542912049775337e-06, 'epoch': 0.24}
{'loss': 1.3086, 'grad_norm': 6.466114521026611, 'learning_rate': 4.5316447845706255e-06, 'epoch': 0.24}
{'loss': 1.0063, 'grad_norm': 6.635586738586426, 'learning_rate': 4.520254667260331e-06, 'epoch': 0.24}
{'loss': 2.1476, 'grad_norm': 4.5226054191589355, 'learning_rate': 4.50874238659669e-06, 'epoch': 0.24}
{'loss': 1.7807, 'grad_norm': 5.092918872833252, 'learning_rate': 4.497108638719072e-06, 'epoch': 0.25}
{'loss': 1.3929, 'grad_norm': 5.852137565612793, 'learning_rate': 4.485354127111884e-06, 'epoch': 0.25}
{'loss': 1.4445, 'grad_norm': 6.198091506958008, 'learning_rate': 4.4734795625620265e-06, 'epoch': 0.25}
{'loss': 1.2603, 'grad_norm': 8.014211654663086, 'learning_rate': 4.461485663115915e-06, 'epoch': 0.25}
{'loss': 2.1164, 'grad_norm': 7.375974655151367, 'learning_rate': 4.449373154036064e-06, 'epoch': 0.26}
{'loss': 2.1193, 'grad_norm': 4.79106330871582, 'learning_rate': 4.437142767757225e-06, 'epoch': 0.26}
{'loss': 2.1198, 'grad_norm': 4.7174072265625, 'learning_rate': 4.424795243842099e-06, 'epoch': 0.26}
{'loss': 1.8258, 'grad_norm': 7.149184703826904, 'learning_rate': 4.41233132893662e-06, 'epoch': 0.26}
{'loss': 0.8934, 'grad_norm': 10.514596939086914, 'learning_rate': 4.399751776724795e-06, 'epoch': 0.27}
{'loss': 1.2616, 'grad_norm': 5.5471296310424805, 'learning_rate': 4.387057347883143e-06, 'epoch': 0.27}
{'loss': 1.7563, 'grad_norm': 6.830005645751953, 'learning_rate': 4.374248810034686e-06, 'epoch': 0.27}
{'loss': 2.1441, 'grad_norm': 4.390210151672363, 'learning_rate': 4.361326937702538e-06, 'epoch': 0.27}
{'loss': 2.2525, 'grad_norm': 6.676402568817139, 'learning_rate': 4.348292512263068e-06, 'epoch': 0.27}
{'loss': 1.2339, 'grad_norm': 7.060420989990234, 'learning_rate': 4.335146321898651e-06, 'epoch': 0.28}
{'loss': 2.1977, 'grad_norm': 4.635913372039795, 'learning_rate': 4.321889161550005e-06, 'epoch': 0.28}
{'loss': 0.8147, 'grad_norm': 11.583312034606934, 'learning_rate': 4.308521832868125e-06, 'epoch': 0.28}
{'loss': 1.883, 'grad_norm': 5.017440319061279, 'learning_rate': 4.295045144165807e-06, 'epoch': 0.28}
{'loss': 1.1468, 'grad_norm': 6.5445475578308105, 'learning_rate': 4.2814599103687686e-06, 'epoch': 0.29}
{'loss': 2.119, 'grad_norm': 5.741231918334961, 'learning_rate': 4.267766952966369e-06, 'epoch': 0.29}
{'loss': 2.2922, 'grad_norm': 4.149036884307861, 'learning_rate': 4.253967099961942e-06, 'epoch': 0.29}
{'loss': 2.0655, 'grad_norm': 4.148070812225342, 'learning_rate': 4.240061185822717e-06, 'epoch': 0.29}
{'loss': 1.862, 'grad_norm': 6.803498268127441, 'learning_rate': 4.226050051429367e-06, 'epoch': 0.3}
{'loss': 1.1589, 'grad_norm': 7.959038734436035, 'learning_rate': 4.211934544025158e-06, 'epoch': 0.3}
{'loss': 2.0533, 'grad_norm': 4.453959941864014, 'learning_rate': 4.197715517164716e-06, 'epoch': 0.3}
{'loss': 1.2268, 'grad_norm': 8.43362808227539, 'learning_rate': 4.183393830662415e-06, 'epoch': 0.3}
{'loss': 1.3066, 'grad_norm': 4.567269802093506, 'learning_rate': 4.168970350540385e-06, 'epoch': 0.31}
{'loss': 1.2357, 'grad_norm': 4.865786075592041, 'learning_rate': 4.154445948976141e-06, 'epoch': 0.31}
{'loss': 1.2456, 'grad_norm': 4.099915981292725, 'learning_rate': 4.13982150424985e-06, 'epoch': 0.31}
{'loss': 1.2672, 'grad_norm': 6.992125988006592, 'learning_rate': 4.125097900691213e-06, 'epoch': 0.31}
{'loss': 2.1824, 'grad_norm': 4.103427886962891, 'learning_rate': 4.110276028625995e-06, 'epoch': 0.31}
{'loss': 0.7378, 'grad_norm': 9.019460678100586, 'learning_rate': 4.095356784322189e-06, 'epoch': 0.32}
{'loss': 2.0325, 'grad_norm': 6.462596416473389, 'learning_rate': 4.080341069935817e-06, 'epoch': 0.32}
{'loss': 0.7354, 'grad_norm': 7.318946361541748, 'learning_rate': 4.065229793456377e-06, 'epoch': 0.32}
{'loss': 2.0987, 'grad_norm': 4.700475215911865, 'learning_rate': 4.050023868651938e-06, 'epoch': 0.32}
{'loss': 1.5754, 'grad_norm': 8.140324592590332, 'learning_rate': 4.034724215013889e-06, 'epoch': 0.33}
{'loss': 1.2778, 'grad_norm': 4.855358600616455, 'learning_rate': 4.019331757701329e-06, 'epoch': 0.33}
{'loss': 1.5377, 'grad_norm': 4.488586902618408, 'learning_rate': 4.003847427485135e-06, 'epoch': 0.33}
{'loss': 0.9128, 'grad_norm': 5.331401348114014, 'learning_rate': 3.988272160691665e-06, 'epoch': 0.33}
{'loss': 2.0081, 'grad_norm': 4.664597988128662, 'learning_rate': 3.972606899146155e-06, 'epoch': 0.34}
