                                                                                                             
{'loss': 1.6659, 'grad_norm': 85.30655670166016, 'learning_rate': 2.083333333333333e-08, 'epoch': 0.0}
{'loss': 1.5716, 'grad_norm': 103.51853942871094, 'learning_rate': 4.166666666666666e-08, 'epoch': 0.0}
{'loss': 1.5701, 'grad_norm': 1536.354248046875, 'learning_rate': 6.25e-08, 'epoch': 0.0}
{'loss': 1.6898, 'grad_norm': 217659.3125, 'learning_rate': 8.333333333333333e-08, 'epoch': 0.0}
{'loss': 1.6347, 'grad_norm': 97.93560791015625, 'learning_rate': 1.0416666666666667e-07, 'epoch': 0.01}
{'loss': 1.6085, 'grad_norm': 79.5030517578125, 'learning_rate': 1.25e-07, 'epoch': 0.01}
{'loss': 1.5878, 'grad_norm': 3653.94970703125, 'learning_rate': 1.4583333333333335e-07, 'epoch': 0.01}
{'loss': 1.6409, 'grad_norm': 11646.72265625, 'learning_rate': 1.6666666666666665e-07, 'epoch': 0.01}
{'loss': 1.5865, 'grad_norm': 27.95757484436035, 'learning_rate': 1.875e-07, 'epoch': 0.01}
{'loss': 1.5661, 'grad_norm': 37.376953125, 'learning_rate': 2.0833333333333333e-07, 'epoch': 0.01}
{'loss': 1.4552, 'grad_norm': 75.16353607177734, 'learning_rate': 2.2916666666666663e-07, 'epoch': 0.01}
{'loss': 1.5809, 'grad_norm': 29.42692756652832, 'learning_rate': 2.5e-07, 'epoch': 0.01}
{'loss': 1.5586, 'grad_norm': 16.993408203125, 'learning_rate': 2.708333333333333e-07, 'epoch': 0.01}
{'loss': 1.4617, 'grad_norm': 24.645570755004883, 'learning_rate': 2.916666666666667e-07, 'epoch': 0.01}
{'loss': 1.5787, 'grad_norm': 4208.29296875, 'learning_rate': 3.1249999999999997e-07, 'epoch': 0.02}
{'loss': 1.4738, 'grad_norm': 22.012100219726562, 'learning_rate': 3.333333333333333e-07, 'epoch': 0.02}
{'loss': 1.4979, 'grad_norm': 10.789627075195312, 'learning_rate': 3.541666666666667e-07, 'epoch': 0.02}
{'loss': 1.4439, 'grad_norm': 7.108758926391602, 'learning_rate': 3.75e-07, 'epoch': 0.02}
{'loss': 1.5151, 'grad_norm': 11.604257583618164, 'learning_rate': 3.958333333333333e-07, 'epoch': 0.02}
{'loss': 1.5181, 'grad_norm': 5833.91650390625, 'learning_rate': 4.1666666666666667e-07, 'epoch': 0.02}
{'loss': 1.4388, 'grad_norm': 3.836153507232666, 'learning_rate': 4.375e-07, 'epoch': 0.02}
{'loss': 1.4379, 'grad_norm': 7.244412899017334, 'learning_rate': 4.5833333333333327e-07, 'epoch': 0.02}
{'loss': 1.4728, 'grad_norm': 50.984161376953125, 'learning_rate': 4.791666666666667e-07, 'epoch': 0.02}
{'loss': 1.4379, 'grad_norm': 34.107872009277344, 'learning_rate': 5e-07, 'epoch': 0.03}
{'loss': 1.4514, 'grad_norm': 495.6149597167969, 'learning_rate': 5.208333333333334e-07, 'epoch': 0.03}
{'loss': 1.3912, 'grad_norm': 4.806981563568115, 'learning_rate': 5.416666666666666e-07, 'epoch': 0.03}
{'loss': 1.3505, 'grad_norm': 5.142391204833984, 'learning_rate': 5.625e-07, 'epoch': 0.03}
{'loss': 1.3516, 'grad_norm': 5.543071746826172, 'learning_rate': 5.833333333333334e-07, 'epoch': 0.03}
{'loss': 1.3725, 'grad_norm': 9.860508918762207, 'learning_rate': 6.041666666666666e-07, 'epoch': 0.03}
{'loss': 1.4454, 'grad_norm': 5.167320728302002, 'learning_rate': 6.249999999999999e-07, 'epoch': 0.03}
{'loss': 1.4137, 'grad_norm': 6.808635711669922, 'learning_rate': 6.458333333333333e-07, 'epoch': 0.03}
{'loss': 1.3779, 'grad_norm': 5.755448341369629, 'learning_rate': 6.666666666666666e-07, 'epoch': 0.03}
{'loss': 1.3324, 'grad_norm': 3.059691905975342, 'learning_rate': 6.875e-07, 'epoch': 0.03}
{'loss': 1.3733, 'grad_norm': 2.511601448059082, 'learning_rate': 7.083333333333334e-07, 'epoch': 0.04}
{'loss': 1.2764, 'grad_norm': 2.6090691089630127, 'learning_rate': 7.291666666666666e-07, 'epoch': 0.04}
{'loss': 1.4186, 'grad_norm': 2.6481332778930664, 'learning_rate': 7.5e-07, 'epoch': 0.04}
{'loss': 1.3298, 'grad_norm': 3830.4580078125, 'learning_rate': 7.708333333333333e-07, 'epoch': 0.04}
{'loss': 1.3846, 'grad_norm': 2.603106737136841, 'learning_rate': 7.916666666666666e-07, 'epoch': 0.04}
{'loss': 1.399, 'grad_norm': 3.8722686767578125, 'learning_rate': 8.125e-07, 'epoch': 0.04}
{'loss': 1.2576, 'grad_norm': 3.0234787464141846, 'learning_rate': 8.333333333333333e-07, 'epoch': 0.04}
{'loss': 1.3374, 'grad_norm': 2.870999813079834, 'learning_rate': 8.541666666666666e-07, 'epoch': 0.04}
{'loss': 1.3794, 'grad_norm': 3.7443642616271973, 'learning_rate': 8.75e-07, 'epoch': 0.04}
{'loss': 1.3768, 'grad_norm': 3.3485636711120605, 'learning_rate': 8.958333333333334e-07, 'epoch': 0.05}
{'loss': 1.2384, 'grad_norm': 418.6193542480469, 'learning_rate': 9.166666666666665e-07, 'epoch': 0.05}
{'loss': 1.2761, 'grad_norm': 2.0317444801330566, 'learning_rate': 9.374999999999999e-07, 'epoch': 0.05}
{'loss': 1.3728, 'grad_norm': 1853.852294921875, 'learning_rate': 9.583333333333334e-07, 'epoch': 0.05}
{'loss': 1.192, 'grad_norm': 3.3510422706604004, 'learning_rate': 9.791666666666667e-07, 'epoch': 0.05}
{'loss': 1.396, 'grad_norm': 470.43609619140625, 'learning_rate': 1e-06, 'epoch': 0.05}
{'loss': 1.2338, 'grad_norm': 2.5518834590911865, 'learning_rate': 9.999969940418939e-07, 'epoch': 0.05}
{'loss': 1.2876, 'grad_norm': 23.71660614013672, 'learning_rate': 9.999879762037186e-07, 'epoch': 0.05}
{'loss': 1.2212, 'grad_norm': 2.318174123764038, 'learning_rate': 9.999729465939036e-07, 'epoch': 0.05}
{'loss': 1.278, 'grad_norm': 2.8522961139678955, 'learning_rate': 9.999519053931619e-07, 'epoch': 0.05}
{'loss': 1.316, 'grad_norm': 417.56439208984375, 'learning_rate': 9.999248528544893e-07, 'epoch': 0.06}
{'loss': 1.3298, 'grad_norm': 276.2769775390625, 'learning_rate': 9.998917893031615e-07, 'epoch': 0.06}
{'loss': 1.3711, 'grad_norm': 2.796945333480835, 'learning_rate': 9.998527151367287e-07, 'epoch': 0.06}
{'loss': 1.2482, 'grad_norm': 2.989373207092285, 'learning_rate': 9.99807630825012e-07, 'epoch': 0.06}
{'loss': 1.3037, 'grad_norm': 1.988405466079712, 'learning_rate': 9.997565369100982e-07, 'epoch': 0.06}
{'loss': 1.2252, 'grad_norm': 2.0469918251037598, 'learning_rate': 9.996994340063314e-07, 'epoch': 0.06}
{'loss': 1.2675, 'grad_norm': 2.40921950340271, 'learning_rate': 9.996363228003078e-07, 'epoch': 0.06}
{'loss': 1.282, 'grad_norm': 2.4588358402252197, 'learning_rate': 9.995672040508656e-07, 'epoch': 0.06}
{'loss': 1.2686, 'grad_norm': 2.4966561794281006, 'learning_rate': 9.99492078589077e-07, 'epoch': 0.06}
{'loss': 1.3726, 'grad_norm': 4.230606555938721, 'learning_rate': 9.994109473182385e-07, 'epoch': 0.06}
{'loss': 1.2632, 'grad_norm': 2.252743721008301, 'learning_rate': 9.993238112138582e-07, 'epoch': 0.07}
{'loss': 1.2901, 'grad_norm': 2.8456523418426514, 'learning_rate': 9.992306713236465e-07, 'epoch': 0.07}
{'loss': 1.221, 'grad_norm': 1.9100542068481445, 'learning_rate': 9.991315287675018e-07, 'epoch': 0.07}
{'loss': 1.2793, 'grad_norm': 3.821643829345703, 'learning_rate': 9.990263847374975e-07, 'epoch': 0.07}
{'loss': 1.2447, 'grad_norm': 3.035454511642456, 'learning_rate': 9.989152404978676e-07, 'epoch': 0.07}
{'loss': 1.2725, 'grad_norm': 2.456754446029663, 'learning_rate': 9.987980973849922e-07, 'epoch': 0.07}
{'loss': 1.2366, 'grad_norm': 2.332728862762451, 'learning_rate': 9.986749568073802e-07, 'epoch': 0.07}
{'loss': 1.2723, 'grad_norm': 3.9372003078460693, 'learning_rate': 9.985458202456534e-07, 'epoch': 0.07}
{'loss': 1.2405, 'grad_norm': 2.3239376544952393, 'learning_rate': 9.98410689252528e-07, 'epoch': 0.07}
{'loss': 1.2354, 'grad_norm': 1.8698511123657227, 'learning_rate': 9.982695654527964e-07, 'epoch': 0.08}
{'loss': 1.2577, 'grad_norm': 4.114017486572266, 'learning_rate': 9.981224505433078e-07, 'epoch': 0.08}
{'loss': 1.3038, 'grad_norm': 2.2195987701416016, 'learning_rate': 9.97969346292947e-07, 'epoch': 0.08}
{'loss': 1.276, 'grad_norm': 1.8387116193771362, 'learning_rate': 9.978102545426139e-07, 'epoch': 0.08}
{'loss': 1.3084, 'grad_norm': 2.007768154144287, 'learning_rate': 9.976451772052012e-07, 'epoch': 0.08}
{'loss': 1.2218, 'grad_norm': 1.875706672668457, 'learning_rate': 9.97474116265571e-07, 'epoch': 0.08}
{'loss': 1.1779, 'grad_norm': 8.753095626831055, 'learning_rate': 9.972970737805312e-07, 'epoch': 0.08}
{'loss': 1.2997, 'grad_norm': 2.008690357208252, 'learning_rate': 9.97114051878811e-07, 'epoch': 0.08}
{'loss': 1.2727, 'grad_norm': 2.002990245819092, 'learning_rate': 9.969250527610354e-07, 'epoch': 0.08}
