                                                                                                                       
{'loss': 2.2208, 'grad_norm': 5.8679304122924805, 'learning_rate': 6.493506493506495e-08, 'epoch': 0.0}
{'loss': 2.2424, 'grad_norm': 7.1070756912231445, 'learning_rate': 1.298701298701299e-07, 'epoch': 0.01}
{'loss': 2.3442, 'grad_norm': 11.164645195007324, 'learning_rate': 1.948051948051948e-07, 'epoch': 0.01}
{'loss': 2.3123, 'grad_norm': 7.716486930847168, 'learning_rate': 2.597402597402598e-07, 'epoch': 0.01}
{'loss': 2.1221, 'grad_norm': 8.4094820022583, 'learning_rate': 3.2467532467532465e-07, 'epoch': 0.02}
{'loss': 2.3346, 'grad_norm': 11.232285499572754, 'learning_rate': 3.896103896103896e-07, 'epoch': 0.02}
{'loss': 1.9869, 'grad_norm': 19.49614906311035, 'learning_rate': 4.5454545454545457e-07, 'epoch': 0.02}
{'loss': 2.2938, 'grad_norm': 9.78937816619873, 'learning_rate': 5.194805194805196e-07, 'epoch': 0.03}
{'loss': 2.0386, 'grad_norm': 7.774981498718262, 'learning_rate': 5.844155844155845e-07, 'epoch': 0.03}
{'loss': 2.1572, 'grad_norm': 8.070091247558594, 'learning_rate': 6.493506493506493e-07, 'epoch': 0.03}
{'loss': 2.1865, 'grad_norm': 6.380734920501709, 'learning_rate': 7.142857142857143e-07, 'epoch': 0.04}
{'loss': 2.1029, 'grad_norm': 7.042457103729248, 'learning_rate': 7.792207792207792e-07, 'epoch': 0.04}
{'loss': 1.992, 'grad_norm': 4.781947612762451, 'learning_rate': 8.441558441558442e-07, 'epoch': 0.04}
{'loss': 2.2005, 'grad_norm': 6.1144328117370605, 'learning_rate': 9.090909090909091e-07, 'epoch': 0.05}
{'loss': 2.2506, 'grad_norm': 7.105208396911621, 'learning_rate': 9.740259740259742e-07, 'epoch': 0.05}
{'loss': 2.3165, 'grad_norm': 6.3436479568481445, 'learning_rate': 1.0389610389610392e-06, 'epoch': 0.05}
{'loss': 2.0507, 'grad_norm': 7.134104251861572, 'learning_rate': 1.103896103896104e-06, 'epoch': 0.06}
{'loss': 2.3991, 'grad_norm': 5.813981533050537, 'learning_rate': 1.168831168831169e-06, 'epoch': 0.06}
{'loss': 2.0904, 'grad_norm': 5.31661319732666, 'learning_rate': 1.2337662337662338e-06, 'epoch': 0.06}
{'loss': 1.8503, 'grad_norm': 6.81292724609375, 'learning_rate': 1.2987012987012986e-06, 'epoch': 0.07}
{'loss': 1.9462, 'grad_norm': 6.665214538574219, 'learning_rate': 1.3636363636363636e-06, 'epoch': 0.07}
{'loss': 2.0956, 'grad_norm': 4.969236850738525, 'learning_rate': 1.4285714285714286e-06, 'epoch': 0.07}
{'loss': 1.9995, 'grad_norm': 6.199888706207275, 'learning_rate': 1.4935064935064936e-06, 'epoch': 0.07}
{'loss': 2.3424, 'grad_norm': 4.839603424072266, 'learning_rate': 1.5584415584415584e-06, 'epoch': 0.08}
{'loss': 2.2572, 'grad_norm': 6.144067764282227, 'learning_rate': 1.6233766233766235e-06, 'epoch': 0.08}
