                                                                                                                       
{'loss': 2.2321, 'grad_norm': 5.043130397796631, 'learning_rate': 6.493506493506495e-08, 'epoch': 0.0}
{'loss': 2.1764, 'grad_norm': 7.464451313018799, 'learning_rate': 1.298701298701299e-07, 'epoch': 0.01}
{'loss': 2.3491, 'grad_norm': 8.518851280212402, 'learning_rate': 1.948051948051948e-07, 'epoch': 0.01}
{'loss': 2.0743, 'grad_norm': 6.167868137359619, 'learning_rate': 2.597402597402598e-07, 'epoch': 0.01}
{'loss': 2.081, 'grad_norm': 7.698115825653076, 'learning_rate': 3.2467532467532465e-07, 'epoch': 0.02}
{'loss': 2.4068, 'grad_norm': 6.938081741333008, 'learning_rate': 3.896103896103896e-07, 'epoch': 0.02}
{'loss': 2.1466, 'grad_norm': 18.834196090698242, 'learning_rate': 4.5454545454545457e-07, 'epoch': 0.02}
{'loss': 2.0754, 'grad_norm': 6.154820442199707, 'learning_rate': 5.194805194805196e-07, 'epoch': 0.03}
{'loss': 2.1139, 'grad_norm': 8.186004638671875, 'learning_rate': 5.844155844155845e-07, 'epoch': 0.03}
{'loss': 2.246, 'grad_norm': 6.7653913497924805, 'learning_rate': 6.493506493506493e-07, 'epoch': 0.03}
{'loss': 2.1559, 'grad_norm': 8.234042167663574, 'learning_rate': 7.142857142857143e-07, 'epoch': 0.04}
{'loss': 2.1787, 'grad_norm': 6.532903671264648, 'learning_rate': 7.792207792207792e-07, 'epoch': 0.04}
{'loss': 2.1341, 'grad_norm': 5.227478504180908, 'learning_rate': 8.441558441558442e-07, 'epoch': 0.04}
{'loss': 1.9286, 'grad_norm': 7.061512470245361, 'learning_rate': 9.090909090909091e-07, 'epoch': 0.05}
{'loss': 2.3669, 'grad_norm': 9.254681587219238, 'learning_rate': 9.740259740259742e-07, 'epoch': 0.05}
{'loss': 2.1989, 'grad_norm': 5.743374347686768, 'learning_rate': 1.0389610389610392e-06, 'epoch': 0.05}
{'loss': 1.9336, 'grad_norm': 7.614198684692383, 'learning_rate': 1.103896103896104e-06, 'epoch': 0.06}
{'loss': 2.4065, 'grad_norm': 6.953857898712158, 'learning_rate': 1.168831168831169e-06, 'epoch': 0.06}
{'loss': 2.1961, 'grad_norm': 5.494584560394287, 'learning_rate': 1.2337662337662338e-06, 'epoch': 0.06}
{'loss': 2.0897, 'grad_norm': 7.7845845222473145, 'learning_rate': 1.2987012987012986e-06, 'epoch': 0.07}
{'loss': 2.0026, 'grad_norm': 5.523795127868652, 'learning_rate': 1.3636363636363636e-06, 'epoch': 0.07}
{'loss': 2.0551, 'grad_norm': 5.317439079284668, 'learning_rate': 1.4285714285714286e-06, 'epoch': 0.07}
{'loss': 2.0814, 'grad_norm': 6.431458473205566, 'learning_rate': 1.4935064935064936e-06, 'epoch': 0.07}
{'loss': 2.2342, 'grad_norm': 5.862038612365723, 'learning_rate': 1.5584415584415584e-06, 'epoch': 0.08}
{'loss': 2.4126, 'grad_norm': 5.163124084472656, 'learning_rate': 1.6233766233766235e-06, 'epoch': 0.08}
{'loss': 2.2734, 'grad_norm': 5.487282752990723, 'learning_rate': 1.6883116883116885e-06, 'epoch': 0.08}
{'loss': 2.3682, 'grad_norm': 9.662020683288574, 'learning_rate': 1.7532467532467535e-06, 'epoch': 0.09}
{'loss': 2.2551, 'grad_norm': 5.875816345214844, 'learning_rate': 1.8181818181818183e-06, 'epoch': 0.09}
{'loss': 2.3198, 'grad_norm': 4.999325275421143, 'learning_rate': 1.8831168831168833e-06, 'epoch': 0.09}
