                                                                                                                       
{'loss': 2.0904, 'grad_norm': 5.978314399719238, 'learning_rate': 6.493506493506495e-08, 'epoch': 0.0}
{'loss': 2.1626, 'grad_norm': 7.1188249588012695, 'learning_rate': 1.298701298701299e-07, 'epoch': 0.01}
{'loss': 2.3161, 'grad_norm': 6.440795421600342, 'learning_rate': 1.948051948051948e-07, 'epoch': 0.01}
{'loss': 2.3215, 'grad_norm': 7.5514020919799805, 'learning_rate': 2.597402597402598e-07, 'epoch': 0.01}
{'loss': 2.0471, 'grad_norm': 8.571693420410156, 'learning_rate': 3.2467532467532465e-07, 'epoch': 0.02}
{'loss': 2.114, 'grad_norm': 6.951985836029053, 'learning_rate': 3.896103896103896e-07, 'epoch': 0.02}
{'loss': 2.1832, 'grad_norm': 19.37176513671875, 'learning_rate': 4.5454545454545457e-07, 'epoch': 0.02}
{'loss': 2.2001, 'grad_norm': 6.370141983032227, 'learning_rate': 5.194805194805196e-07, 'epoch': 0.03}
{'loss': 2.2383, 'grad_norm': 6.440004825592041, 'learning_rate': 5.844155844155845e-07, 'epoch': 0.03}
{'loss': 2.2405, 'grad_norm': 6.621486663818359, 'learning_rate': 6.493506493506493e-07, 'epoch': 0.03}
{'loss': 2.0467, 'grad_norm': 7.120642185211182, 'learning_rate': 7.142857142857143e-07, 'epoch': 0.04}
{'loss': 2.0636, 'grad_norm': 7.751837253570557, 'learning_rate': 7.792207792207792e-07, 'epoch': 0.04}
{'loss': 2.159, 'grad_norm': 5.0996174812316895, 'learning_rate': 8.441558441558442e-07, 'epoch': 0.04}
{'loss': 2.2289, 'grad_norm': 7.560610771179199, 'learning_rate': 9.090909090909091e-07, 'epoch': 0.05}
{'loss': 2.2964, 'grad_norm': 7.6433916091918945, 'learning_rate': 9.740259740259742e-07, 'epoch': 0.05}
{'loss': 2.3643, 'grad_norm': 7.989260196685791, 'learning_rate': 1.0389610389610392e-06, 'epoch': 0.05}
{'loss': 2.0977, 'grad_norm': 7.4703545570373535, 'learning_rate': 1.103896103896104e-06, 'epoch': 0.06}
{'loss': 2.3382, 'grad_norm': 5.703851222991943, 'learning_rate': 1.168831168831169e-06, 'epoch': 0.06}
{'loss': 2.0311, 'grad_norm': 5.943813323974609, 'learning_rate': 1.2337662337662338e-06, 'epoch': 0.06}
{'loss': 1.8674, 'grad_norm': 5.679215431213379, 'learning_rate': 1.2987012987012986e-06, 'epoch': 0.07}
{'loss': 2.0502, 'grad_norm': 6.6809844970703125, 'learning_rate': 1.3636363636363636e-06, 'epoch': 0.07}
{'loss': 2.1668, 'grad_norm': 4.8297247886657715, 'learning_rate': 1.4285714285714286e-06, 'epoch': 0.07}
{'loss': 1.9439, 'grad_norm': 5.813909530639648, 'learning_rate': 1.4935064935064936e-06, 'epoch': 0.07}
{'loss': 2.0249, 'grad_norm': 5.924448490142822, 'learning_rate': 1.5584415584415584e-06, 'epoch': 0.08}
{'loss': 2.2505, 'grad_norm': 4.991515159606934, 'learning_rate': 1.6233766233766235e-06, 'epoch': 0.08}
{'loss': 2.1207, 'grad_norm': 4.870637893676758, 'learning_rate': 1.6883116883116885e-06, 'epoch': 0.08}
{'loss': 2.3422, 'grad_norm': 9.61605453491211, 'learning_rate': 1.7532467532467535e-06, 'epoch': 0.09}
{'loss': 2.2943, 'grad_norm': 5.503964424133301, 'learning_rate': 1.8181818181818183e-06, 'epoch': 0.09}
{'loss': 2.1616, 'grad_norm': 5.440230369567871, 'learning_rate': 1.8831168831168833e-06, 'epoch': 0.09}
{'loss': 1.7827, 'grad_norm': 5.6576128005981445, 'learning_rate': 1.9480519480519483e-06, 'epoch': 0.1}
{'loss': 2.1698, 'grad_norm': 5.690459728240967, 'learning_rate': 2.012987012987013e-06, 'epoch': 0.1}
{'loss': 2.3032, 'grad_norm': 4.97953462600708, 'learning_rate': 2.0779220779220784e-06, 'epoch': 0.1}
{'loss': 2.2897, 'grad_norm': 5.534580230712891, 'learning_rate': 2.1428571428571427e-06, 'epoch': 0.11}
{'loss': 2.1047, 'grad_norm': 8.328630447387695, 'learning_rate': 2.207792207792208e-06, 'epoch': 0.11}
{'loss': 2.3423, 'grad_norm': 6.633666515350342, 'learning_rate': 2.2727272727272728e-06, 'epoch': 0.11}
{'loss': 2.2202, 'grad_norm': 5.445370197296143, 'learning_rate': 2.337662337662338e-06, 'epoch': 0.12}
{'loss': 2.0582, 'grad_norm': 4.333261013031006, 'learning_rate': 2.402597402597403e-06, 'epoch': 0.12}
{'loss': 2.0628, 'grad_norm': 5.346296787261963, 'learning_rate': 2.4675324675324676e-06, 'epoch': 0.12}
{'loss': 2.1789, 'grad_norm': 4.89647912979126, 'learning_rate': 2.5324675324675324e-06, 'epoch': 0.13}
{'loss': 1.9048, 'grad_norm': 5.0763959884643555, 'learning_rate': 2.597402597402597e-06, 'epoch': 0.13}
{'loss': 2.1096, 'grad_norm': 4.504635810852051, 'learning_rate': 2.6623376623376624e-06, 'epoch': 0.13}
{'loss': 1.9548, 'grad_norm': 5.176344394683838, 'learning_rate': 2.7272727272727272e-06, 'epoch': 0.14}
{'loss': 1.965, 'grad_norm': 5.387057781219482, 'learning_rate': 2.7922077922077925e-06, 'epoch': 0.14}
{'loss': 2.0666, 'grad_norm': 4.5920186042785645, 'learning_rate': 2.8571428571428573e-06, 'epoch': 0.14}
{'loss': 1.9159, 'grad_norm': 3.831326723098755, 'learning_rate': 2.922077922077922e-06, 'epoch': 0.15}
{'loss': 2.0177, 'grad_norm': 4.144537925720215, 'learning_rate': 2.9870129870129873e-06, 'epoch': 0.15}
{'loss': 2.2993, 'grad_norm': 5.41235876083374, 'learning_rate': 3.051948051948052e-06, 'epoch': 0.15}
{'loss': 2.2377, 'grad_norm': 4.584701061248779, 'learning_rate': 3.116883116883117e-06, 'epoch': 0.16}
{'loss': 1.8843, 'grad_norm': 4.168668746948242, 'learning_rate': 3.181818181818182e-06, 'epoch': 0.16}
{'loss': 1.834, 'grad_norm': 5.072499752044678, 'learning_rate': 3.246753246753247e-06, 'epoch': 0.16}
{'loss': 2.2272, 'grad_norm': 4.52980899810791, 'learning_rate': 3.311688311688312e-06, 'epoch': 0.17}
