                                                                                                                                                 
{'loss': 1.5099, 'grad_norm': 122.63892364501953, 'learning_rate': 2.3809523809523807e-08, 'epoch': 0.0}
{'loss': 1.6535, 'grad_norm': 222.5477752685547, 'learning_rate': 4.7619047619047613e-08, 'epoch': 0.01}
{'loss': 1.4915, 'grad_norm': 84.69473266601562, 'learning_rate': 7.142857142857142e-08, 'epoch': 0.01}
{'loss': 1.538, 'grad_norm': 108.26719665527344, 'learning_rate': 9.523809523809523e-08, 'epoch': 0.01}
{'loss': 1.4565, 'grad_norm': 67.02912139892578, 'learning_rate': 1.1904761904761903e-07, 'epoch': 0.02}
{'loss': 1.8077, 'grad_norm': 303.4814758300781, 'learning_rate': 1.4285714285714285e-07, 'epoch': 0.02}
{'loss': 1.5884, 'grad_norm': 55.23858642578125, 'learning_rate': 1.6666666666666665e-07, 'epoch': 0.03}
{'loss': 1.6483, 'grad_norm': 28.095518112182617, 'learning_rate': 1.9047619047619045e-07, 'epoch': 0.03}
{'loss': 1.7607, 'grad_norm': 91.85456848144531, 'learning_rate': 2.1428571428571426e-07, 'epoch': 0.03}
{'loss': 1.4875, 'grad_norm': 41.28779983520508, 'learning_rate': 2.3809523809523806e-07, 'epoch': 0.04}
{'loss': 1.4858, 'grad_norm': 51.361000061035156, 'learning_rate': 2.619047619047619e-07, 'epoch': 0.04}
{'loss': 1.5391, 'grad_norm': 20.75189781188965, 'learning_rate': 2.857142857142857e-07, 'epoch': 0.04}
{'loss': 1.7484, 'grad_norm': 100.35220336914062, 'learning_rate': 3.095238095238095e-07, 'epoch': 0.05}
{'loss': 1.9961, 'grad_norm': 10.958874702453613, 'learning_rate': 3.333333333333333e-07, 'epoch': 0.05}
{'loss': 1.8797, 'grad_norm': 44.49702453613281, 'learning_rate': 3.5714285714285716e-07, 'epoch': 0.05}
{'loss': 1.6051, 'grad_norm': 18.513507843017578, 'learning_rate': 3.809523809523809e-07, 'epoch': 0.06}
{'loss': 1.4994, 'grad_norm': 21.826337814331055, 'learning_rate': 4.0476190476190476e-07, 'epoch': 0.06}
{'loss': 1.5314, 'grad_norm': 2448.500244140625, 'learning_rate': 4.285714285714285e-07, 'epoch': 0.06}
{'loss': 1.5218, 'grad_norm': 33.829063415527344, 'learning_rate': 4.5238095238095237e-07, 'epoch': 0.07}
{'loss': 1.7132, 'grad_norm': 13.555415153503418, 'learning_rate': 4.761904761904761e-07, 'epoch': 0.07}
{'loss': 1.555, 'grad_norm': 16.36539077758789, 'learning_rate': 5e-07, 'epoch': 0.07}
{'loss': 1.5996, 'grad_norm': 13.939653396606445, 'learning_rate': 5.238095238095238e-07, 'epoch': 0.08}
{'loss': 1.6091, 'grad_norm': 20.724857330322266, 'learning_rate': 5.476190476190477e-07, 'epoch': 0.08}
{'loss': 1.4492, 'grad_norm': 72.98579406738281, 'learning_rate': 5.714285714285714e-07, 'epoch': 0.09}
{'loss': 1.5236, 'grad_norm': 12.220723152160645, 'learning_rate': 5.952380952380952e-07, 'epoch': 0.09}
{'loss': 1.4372, 'grad_norm': 14.593412399291992, 'learning_rate': 6.19047619047619e-07, 'epoch': 0.09}
{'loss': 1.4105, 'grad_norm': 19.886707305908203, 'learning_rate': 6.428571428571429e-07, 'epoch': 0.1}
{'loss': 1.4573, 'grad_norm': 8.722746849060059, 'learning_rate': 6.666666666666666e-07, 'epoch': 0.1}
{'loss': 1.7523, 'grad_norm': 36.06306838989258, 'learning_rate': 6.904761904761904e-07, 'epoch': 0.1}
{'loss': 1.5089, 'grad_norm': 10.615669250488281, 'learning_rate': 7.142857142857143e-07, 'epoch': 0.11}
{'loss': 1.3221, 'grad_norm': 9.083320617675781, 'learning_rate': 7.380952380952381e-07, 'epoch': 0.11}
{'loss': 1.3969, 'grad_norm': 5.81210994720459, 'learning_rate': 7.619047619047618e-07, 'epoch': 0.11}
{'loss': 1.3612, 'grad_norm': 7.238002300262451, 'learning_rate': 7.857142857142856e-07, 'epoch': 0.12}
{'loss': 1.4903, 'grad_norm': 9.642679214477539, 'learning_rate': 8.095238095238095e-07, 'epoch': 0.12}
{'loss': 1.1062, 'grad_norm': 12.589400291442871, 'learning_rate': 8.333333333333333e-07, 'epoch': 0.12}
{'loss': 1.5141, 'grad_norm': 20.81104850769043, 'learning_rate': 8.57142857142857e-07, 'epoch': 0.13}
{'loss': 1.3243, 'grad_norm': 4.244444847106934, 'learning_rate': 8.809523809523809e-07, 'epoch': 0.13}
{'loss': 1.4443, 'grad_norm': 3.6606497764587402, 'learning_rate': 9.047619047619047e-07, 'epoch': 0.14}
