                                                
{'loss': 1.6221, 'grad_norm': 88.9676284790039, 'learning_rate': 6.25e-08, 'epoch': 0.0}
{'loss': 1.7343, 'grad_norm': 86.10255432128906, 'learning_rate': 1.25e-07, 'epoch': 0.01}
{'loss': 1.6457, 'grad_norm': 132.0984344482422, 'learning_rate': 1.875e-07, 'epoch': 0.01}
{'loss': 1.6196, 'grad_norm': 91.8897476196289, 'learning_rate': 2.5e-07, 'epoch': 0.01}
{'loss': 1.7787, 'grad_norm': 4924.9150390625, 'learning_rate': 3.1249999999999997e-07, 'epoch': 0.02}
{'loss': 1.5069, 'grad_norm': 35.86575698852539, 'learning_rate': 3.75e-07, 'epoch': 0.02}
{'loss': 1.4818, 'grad_norm': 14.75890064239502, 'learning_rate': 4.375e-07, 'epoch': 0.02}
{'loss': 1.4926, 'grad_norm': 20.840770721435547, 'learning_rate': 5e-07, 'epoch': 0.03}
{'loss': 1.4992, 'grad_norm': 21.985029220581055, 'learning_rate': 5.625e-07, 'epoch': 0.03}
{'loss': 1.5676, 'grad_norm': 15.651805877685547, 'learning_rate': 6.249999999999999e-07, 'epoch': 0.03}
{'loss': 1.4789, 'grad_norm': 10.878486633300781, 'learning_rate': 6.875e-07, 'epoch': 0.04}
{'loss': 1.473, 'grad_norm': 21.79714584350586, 'learning_rate': 7.5e-07, 'epoch': 0.04}
{'loss': 1.3459, 'grad_norm': 7.315750598907471, 'learning_rate': 8.125e-07, 'epoch': 0.04}
{'loss': 1.4687, 'grad_norm': 4.564352035522461, 'learning_rate': 8.75e-07, 'epoch': 0.05}
{'loss': 1.4746, 'grad_norm': 13.46090030670166, 'learning_rate': 9.374999999999999e-07, 'epoch': 0.05}
{'loss': 1.5057, 'grad_norm': 7.5931267738342285, 'learning_rate': 1e-06, 'epoch': 0.05}
{'loss': 1.4657, 'grad_norm': 6.575123310089111, 'learning_rate': 9.999704580069346e-07, 'epoch': 0.06}
{'loss': 1.5193, 'grad_norm': 11.999911308288574, 'learning_rate': 9.998818355186559e-07, 'epoch': 0.06}
{'loss': 1.3844, 'grad_norm': 7.913625240325928, 'learning_rate': 9.997341430075035e-07, 'epoch': 0.06}
{'loss': 1.246, 'grad_norm': 22.668254852294922, 'learning_rate': 9.995273979260021e-07, 'epoch': 0.07}
{'loss': 1.3858, 'grad_norm': 7.603207588195801, 'learning_rate': 9.99261624704799e-07, 'epoch': 0.07}
{'loss': 1.4271, 'grad_norm': 7.549336910247803, 'learning_rate': 9.989368547497761e-07, 'epoch': 0.07}
{'loss': 1.5183, 'grad_norm': 456.9930725097656, 'learning_rate': 9.98553126438341e-07, 'epoch': 0.08}
{'loss': 1.4519, 'grad_norm': 3.727799654006958, 'learning_rate': 9.981104851148903e-07, 'epoch': 0.08}
{'loss': 1.351, 'grad_norm': 254.8307647705078, 'learning_rate': 9.976089830854513e-07, 'epoch': 0.08}
{'loss': 1.3705, 'grad_norm': 5.449299335479736, 'learning_rate': 9.97048679611502e-07, 'epoch': 0.09}
{'loss': 1.1977, 'grad_norm': 3.9307961463928223, 'learning_rate': 9.964296409029675e-07, 'epoch': 0.09}
{'loss': 1.4137, 'grad_norm': 4.786599636077881, 'learning_rate': 9.957519401103972e-07, 'epoch': 0.09}
{'loss': 1.3966, 'grad_norm': 4.957669734954834, 'learning_rate': 9.95015657316319e-07, 'epoch': 0.09}
{'loss': 1.3357, 'grad_norm': 5.492462158203125, 'learning_rate': 9.942208795257785e-07, 'epoch': 0.1}
{'loss': 1.3812, 'grad_norm': 28.832321166992188, 'learning_rate': 9.93367700656055e-07, 'epoch': 0.1}
{'loss': 1.236, 'grad_norm': 6.272480487823486, 'learning_rate': 9.924562215255655e-07, 'epoch': 0.1}
{'loss': 1.3493, 'grad_norm': 3.404364585876465, 'learning_rate': 9.91486549841951e-07, 'epoch': 0.11}
{'loss': 1.3318, 'grad_norm': 5.221589088439941, 'learning_rate': 9.904588001893476e-07, 'epoch': 0.11}
{'loss': 1.2525, 'grad_norm': 3.8750810623168945, 'learning_rate': 9.89373094014848e-07, 'epoch': 0.11}
{'loss': 1.2841, 'grad_norm': 3.7918882369995117, 'learning_rate': 9.882295596141496e-07, 'epoch': 0.12}
{'loss': 1.2191, 'grad_norm': 5.993936061859131, 'learning_rate': 9.870283321163932e-07, 'epoch': 0.12}
{'loss': 1.4799, 'grad_norm': 4.503109931945801, 'learning_rate': 9.85769553468197e-07, 'epoch': 0.12}
{'loss': 1.4662, 'grad_norm': 3.90165376663208, 'learning_rate': 9.84453372416881e-07, 'epoch': 0.13}
{'loss': 1.4117, 'grad_norm': 5.7341413497924805, 'learning_rate': 9.83079944492891e-07, 'epoch': 0.13}
{'loss': 1.2379, 'grad_norm': 4.970424652099609, 'learning_rate': 9.816494319914202e-07, 'epoch': 0.13}
{'loss': 1.3239, 'grad_norm': 2.9411070346832275, 'learning_rate': 9.801620039532302e-07, 'epoch': 0.14}
{'loss': 1.3108, 'grad_norm': 3.469867467880249, 'learning_rate': 9.78617836144676e-07, 'epoch': 0.14}
{'loss': 1.5114, 'grad_norm': 3.438194513320923, 'learning_rate': 9.770171110369362e-07, 'epoch': 0.14}
{'loss': 1.3902, 'grad_norm': 8.766556739807129, 'learning_rate': 9.753600177844511e-07, 'epoch': 0.15}
{'loss': 1.3534, 'grad_norm': 4.6936235427856445, 'learning_rate': 9.736467522025703e-07, 'epoch': 0.15}
{'loss': 1.2511, 'grad_norm': 4.119572639465332, 'learning_rate': 9.718775167444138e-07, 'epoch': 0.15}
{'loss': 1.1712, 'grad_norm': 3.772188425064087, 'learning_rate': 9.700525204769475e-07, 'epoch': 0.16}
{'loss': 1.3401, 'grad_norm': 3.1074626445770264, 'learning_rate': 9.6817197905628e-07, 'epoch': 0.16}
{'loss': 1.2046, 'grad_norm': 3.666318416595459, 'learning_rate': 9.66236114702178e-07, 'epoch': 0.16}
{'loss': 1.1406, 'grad_norm': 3.7872936725616455, 'learning_rate': 9.642451561718062e-07, 'epoch': 0.17}
{'loss': 1.25, 'grad_norm': 3.487168073654175, 'learning_rate': 9.621993387326977e-07, 'epoch': 0.17}
{'loss': 1.0814, 'grad_norm': 159.5499725341797, 'learning_rate': 9.600989041349503e-07, 'epoch': 0.17}
{'loss': 1.3953, 'grad_norm': 3.00079083442688, 'learning_rate': 9.579441005826615e-07, 'epoch': 0.18}
{'loss': 1.3263, 'grad_norm': 3.3555872440338135, 'learning_rate': 9.55735182704598e-07, 'epoch': 0.18}
{'loss': 1.2632, 'grad_norm': 3.3123321533203125, 'learning_rate': 9.534724115241058e-07, 'epoch': 0.18}
{'loss': 1.21, 'grad_norm': 2.8883347511291504, 'learning_rate': 9.511560544282675e-07, 'epoch': 0.19}
{'loss': 1.3357, 'grad_norm': 21.758108139038086, 'learning_rate': 9.487863851363037e-07, 'epoch': 0.19}
{'loss': 1.3093, 'grad_norm': 3.2860519886016846, 'learning_rate': 9.463636836672298e-07, 'epoch': 0.19}
{'loss': 1.2884, 'grad_norm': 3.132796049118042, 'learning_rate': 9.43888236306766e-07, 'epoch': 0.2}
{'loss': 1.297, 'grad_norm': 4.936842441558838, 'learning_rate': 9.413603355735068e-07, 'epoch': 0.2}
{'loss': 1.2639, 'grad_norm': 6.743327617645264, 'learning_rate': 9.387802801843562e-07, 'epoch': 0.2}
{'loss': 1.3373, 'grad_norm': 4.432375907897949, 'learning_rate': 9.361483750192281e-07, 'epoch': 0.21}
{'loss': 1.2152, 'grad_norm': 9.154409408569336, 'learning_rate': 9.334649310850188e-07, 'epoch': 0.21}
{'loss': 1.2111, 'grad_norm': 3.8377082347869873, 'learning_rate': 9.307302654788567e-07, 'epoch': 0.21}
{'loss': 1.2803, 'grad_norm': 3.2665369510650635, 'learning_rate': 9.279447013506312e-07, 'epoch': 0.22}
{'loss': 1.2374, 'grad_norm': 1551.6571044921875, 'learning_rate': 9.251085678648071e-07, 'epoch': 0.22}
{'loss': 1.383, 'grad_norm': 3.17014741897583, 'learning_rate': 9.222222001615274e-07, 'epoch': 0.22}
{'loss': 1.2022, 'grad_norm': 3.3524298667907715, 'learning_rate': 9.192859393170107e-07, 'epoch': 0.23}
{'loss': 1.3562, 'grad_norm': 3.304042100906372, 'learning_rate': 9.163001323032473e-07, 'epoch': 0.23}
{'loss': 1.4634, 'grad_norm': 3.153726100921631, 'learning_rate': 9.132651319469974e-07, 'epoch': 0.23}
{'loss': 1.2881, 'grad_norm': 3.1488354206085205, 'learning_rate': 9.10181296888099e-07, 'epoch': 0.24}
{'loss': 1.1436, 'grad_norm': 2.8242347240448, 'learning_rate': 9.070489915370876e-07, 'epoch': 0.24}
{'loss': 1.2378, 'grad_norm': 3.4993669986724854, 'learning_rate': 9.038685860321354e-07, 'epoch': 0.24}
{'loss': 1.4373, 'grad_norm': 5.707894802093506, 'learning_rate': 9.006404561953114e-07, 'epoch': 0.25}
{'loss': 1.3769, 'grad_norm': 5.262243270874023, 'learning_rate': 8.973649834881729e-07, 'epoch': 0.25}
{'loss': 1.1709, 'grad_norm': 2.917733669281006, 'learning_rate': 8.94042554966688e-07, 'epoch': 0.25}
{'loss': 1.2083, 'grad_norm': 3.429962635040283, 'learning_rate': 8.906735632354978e-07, 'epoch': 0.26}
{'loss': 1.2763, 'grad_norm': 4.368435859680176, 'learning_rate': 8.872584064015241e-07, 'epoch': 0.26}
{'loss': 1.3179, 'grad_norm': 2.802886962890625, 'learning_rate': 8.837974880269245e-07, 'epoch': 0.26}
{'loss': 1.2801, 'grad_norm': 3.0150082111358643, 'learning_rate': 8.802912170814059e-07, 'epoch': 0.27}
{'loss': 1.2843, 'grad_norm': 3.0203053951263428, 'learning_rate': 8.767400078938958e-07, 'epoch': 0.27}
{'loss': 1.3298, 'grad_norm': 31.136253356933594, 'learning_rate': 8.731442801035831e-07, 'epoch': 0.27}
{'loss': 1.1598, 'grad_norm': 3.179616689682007, 'learning_rate': 8.695044586103295e-07, 'epoch': 0.27}
{'loss': 1.1532, 'grad_norm': 3.2885594367980957, 'learning_rate': 8.658209735244603e-07, 'epoch': 0.28}
{'loss': 1.179, 'grad_norm': 3.030484199523926, 'learning_rate': 8.620942601159393e-07, 'epoch': 0.28}
{'loss': 1.393, 'grad_norm': 5.559247016906738, 'learning_rate': 8.583247587629326e-07, 'epoch': 0.28}
{'loss': 1.3079, 'grad_norm': 3.4678030014038086, 'learning_rate': 8.545129148997718e-07, 'epoch': 0.29}
{'loss': 1.1873, 'grad_norm': 2.8527724742889404, 'learning_rate': 8.506591789643169e-07, 'epoch': 0.29}
{'loss': 1.1832, 'grad_norm': 32.62582778930664, 'learning_rate': 8.467640063447288e-07, 'epoch': 0.29}
{'loss': 1.3458, 'grad_norm': 4.008626937866211, 'learning_rate': 8.428278573256577e-07, 'epoch': 0.3}
{'loss': 1.1609, 'grad_norm': 2.9606289863586426, 'learning_rate': 8.388511970338517e-07, 'epoch': 0.3}
{'loss': 1.3254, 'grad_norm': 3.5670430660247803, 'learning_rate': 8.348344953831938e-07, 'epoch': 0.3}
{'loss': 1.4242, 'grad_norm': 3.294693946838379, 'learning_rate': 8.307782270191732e-07, 'epoch': 0.31}
