                                                                                                                                                      
{'loss': 1.6052, 'grad_norm': 102.79218292236328, 'learning_rate': 3.448275862068965e-08, 'epoch': 0.01}
{'loss': 1.7853, 'grad_norm': 319.0646057128906, 'learning_rate': 6.89655172413793e-08, 'epoch': 0.01}
{'loss': 1.6202, 'grad_norm': 86.2231216430664, 'learning_rate': 1.0344827586206897e-07, 'epoch': 0.02}
{'loss': 1.6446, 'grad_norm': 120.29524230957031, 'learning_rate': 1.379310344827586e-07, 'epoch': 0.02}
{'loss': 1.6211, 'grad_norm': 15803.275390625, 'learning_rate': 1.7241379310344828e-07, 'epoch': 0.03}
{'loss': 1.5635, 'grad_norm': 43.78204345703125, 'learning_rate': 2.0689655172413793e-07, 'epoch': 0.03}
{'loss': 1.601, 'grad_norm': 279.64410400390625, 'learning_rate': 2.413793103448276e-07, 'epoch': 0.04}
{'loss': 1.6519, 'grad_norm': 57.51458740234375, 'learning_rate': 2.758620689655172e-07, 'epoch': 0.04}
{'loss': 1.535, 'grad_norm': 30.487398147583008, 'learning_rate': 3.103448275862069e-07, 'epoch': 0.05}
{'loss': 1.7675, 'grad_norm': 95.6241455078125, 'learning_rate': 3.4482758620689656e-07, 'epoch': 0.05}
{'loss': 1.9806, 'grad_norm': 3720.310791015625, 'learning_rate': 3.793103448275862e-07, 'epoch': 0.06}
{'loss': 1.6098, 'grad_norm': 8.334023475646973, 'learning_rate': 4.1379310344827586e-07, 'epoch': 0.06}
{'loss': 1.8395, 'grad_norm': 60.747371673583984, 'learning_rate': 4.482758620689655e-07, 'epoch': 0.07}
{'loss': 1.9183, 'grad_norm': 101.61367797851562, 'learning_rate': 4.827586206896552e-07, 'epoch': 0.07}
{'loss': 1.6628, 'grad_norm': 14.349799156188965, 'learning_rate': 5.172413793103448e-07, 'epoch': 0.08}
{'loss': 1.4812, 'grad_norm': 8.159919738769531, 'learning_rate': 5.517241379310344e-07, 'epoch': 0.08}
{'loss': 1.5404, 'grad_norm': 32.51009750366211, 'learning_rate': 5.86206896551724e-07, 'epoch': 0.09}
{'loss': 1.4847, 'grad_norm': 7.451282024383545, 'learning_rate': 6.206896551724138e-07, 'epoch': 0.09}
{'loss': 1.445, 'grad_norm': 17.15509605407715, 'learning_rate': 6.551724137931034e-07, 'epoch': 0.1}
{'loss': 1.8347, 'grad_norm': 12.068665504455566, 'learning_rate': 6.896551724137931e-07, 'epoch': 0.1}
{'loss': 1.4871, 'grad_norm': 9.991559982299805, 'learning_rate': 7.241379310344827e-07, 'epoch': 0.11}
{'loss': 1.4759, 'grad_norm': 6.1815032958984375, 'learning_rate': 7.586206896551724e-07, 'epoch': 0.11}
{'loss': 1.5465, 'grad_norm': 9.267683982849121, 'learning_rate': 7.931034482758621e-07, 'epoch': 0.12}
{'loss': 1.5694, 'grad_norm': 12.974058151245117, 'learning_rate': 8.275862068965517e-07, 'epoch': 0.12}
{'loss': 1.5136, 'grad_norm': 13.33308219909668, 'learning_rate': 8.620689655172412e-07, 'epoch': 0.13}
{'loss': 1.6405, 'grad_norm': 132.35195922851562, 'learning_rate': 8.96551724137931e-07, 'epoch': 0.14}
{'loss': 1.4234, 'grad_norm': 10.307859420776367, 'learning_rate': 9.310344827586206e-07, 'epoch': 0.14}
{'loss': 1.4422, 'grad_norm': 7.25036096572876, 'learning_rate': 9.655172413793103e-07, 'epoch': 0.15}
{'loss': 1.5573, 'grad_norm': 5.166024684906006, 'learning_rate': 1e-06, 'epoch': 0.15}
{'loss': 1.3225, 'grad_norm': 9.11405086517334, 'learning_rate': 9.9999175360929e-07, 'epoch': 0.16}
{'loss': 1.3129, 'grad_norm': 4.1603007316589355, 'learning_rate': 9.999670147091728e-07, 'epoch': 0.16}
{'loss': 1.4293, 'grad_norm': 115.06037902832031, 'learning_rate': 9.99925784115674e-07, 'epoch': 0.17}
{'loss': 1.2635, 'grad_norm': 5.230789661407471, 'learning_rate': 9.998680631888088e-07, 'epoch': 0.17}
{'loss': 1.5255, 'grad_norm': 7.828071117401123, 'learning_rate': 9.997938538325338e-07, 'epoch': 0.18}
{'loss': 1.3525, 'grad_norm': 4.465182304382324, 'learning_rate': 9.997031584946869e-07, 'epoch': 0.18}
{'loss': 1.4927, 'grad_norm': 5.569939613342285, 'learning_rate': 9.995959801669042e-07, 'epoch': 0.19}
{'loss': 1.2515, 'grad_norm': 216.1123046875, 'learning_rate': 9.994723223845238e-07, 'epoch': 0.19}
{'loss': 1.2695, 'grad_norm': 6.303461074829102, 'learning_rate': 9.99332189226467e-07, 'epoch': 0.2}
{'loss': 1.3962, 'grad_norm': 4.199792861938477, 'learning_rate': 9.99175585315105e-07, 'epoch': 0.2}
{'loss': 1.4839, 'grad_norm': 47.37297821044922, 'learning_rate': 9.990025158161059e-07, 'epoch': 0.21}
{'loss': 1.2285, 'grad_norm': 3.2277753353118896, 'learning_rate': 9.988129864382643e-07, 'epoch': 0.21}
{'loss': 1.1991, 'grad_norm': 6.694594383239746, 'learning_rate': 9.986070034333138e-07, 'epoch': 0.22}
{'loss': 1.2012, 'grad_norm': 5.286780834197998, 'learning_rate': 9.983845735957194e-07, 'epoch': 0.22}
{'loss': 1.4496, 'grad_norm': 7.07742166519165, 'learning_rate': 9.981457042624549e-07, 'epoch': 0.23}
{'loss': 1.3301, 'grad_norm': 10.596612930297852, 'learning_rate': 9.978904033127591e-07, 'epoch': 0.23}
{'loss': 1.287, 'grad_norm': 3.6942999362945557, 'learning_rate': 9.976186791678782e-07, 'epoch': 0.24}
{'loss': 1.1838, 'grad_norm': 3.916740894317627, 'learning_rate': 9.973305407907855e-07, 'epoch': 0.24}
{'loss': 1.4477, 'grad_norm': 320.5010986328125, 'learning_rate': 9.97025997685888e-07, 'epoch': 0.25}
{'loss': 1.3116, 'grad_norm': 7.968719959259033, 'learning_rate': 9.96705059898711e-07, 'epoch': 0.25}
{'loss': 1.4019, 'grad_norm': 119.56977081298828, 'learning_rate': 9.963677380155682e-07, 'epoch': 0.26}
{'loss': 1.2182, 'grad_norm': 5.012618541717529, 'learning_rate': 9.960140431632121e-07, 'epoch': 0.26}
{'loss': 1.3484, 'grad_norm': 4.978724479675293, 'learning_rate': 9.95643987008466e-07, 'epoch': 0.27}
{'loss': 1.3943, 'grad_norm': 21.63007926940918, 'learning_rate': 9.952575817578406e-07, 'epoch': 0.28}
{'loss': 1.4789, 'grad_norm': 5.3744893074035645, 'learning_rate': 9.948548401571306e-07, 'epoch': 0.28}
{'loss': 1.1348, 'grad_norm': 3.164102792739868, 'learning_rate': 9.944357754909945e-07, 'epoch': 0.29}
{'loss': 1.29, 'grad_norm': 3.175567388534546, 'learning_rate': 9.940004015825158e-07, 'epoch': 0.29}
{'loss': 1.318, 'grad_norm': 4.950306415557861, 'learning_rate': 9.935487327927486e-07, 'epoch': 0.3}
{'loss': 1.3156, 'grad_norm': 5.51246976852417, 'learning_rate': 9.930807840202416e-07, 'epoch': 0.3}
{'loss': 1.1845, 'grad_norm': 5.7519989013671875, 'learning_rate': 9.925965707005484e-07, 'epoch': 0.31}
{'loss': 1.3279, 'grad_norm': 58.5655517578125, 'learning_rate': 9.920961088057183e-07, 'epoch': 0.31}
{'loss': 1.3118, 'grad_norm': 3.503225564956665, 'learning_rate': 9.91579414843768e-07, 'epoch': 0.32}
{'loss': 1.3186, 'grad_norm': 5.400946617126465, 'learning_rate': 9.910465058581394e-07, 'epoch': 0.32}
{'loss': 1.3841, 'grad_norm': 5.609443187713623, 'learning_rate': 9.904973994271347e-07, 'epoch': 0.33}
