                                                                                                                                                                                               
{'loss': 1.6363, 'grad_norm': 86.06877136230469, 'learning_rate': 3.448275862068965e-08, 'epoch': 0.01}
{'loss': 1.9135, 'grad_norm': 289.56072998046875, 'learning_rate': 6.89655172413793e-08, 'epoch': 0.01}
{'loss': 1.9123, 'grad_norm': 140534.171875, 'learning_rate': 1.0344827586206897e-07, 'epoch': 0.02}
{'loss': 1.6206, 'grad_norm': 89.80058288574219, 'learning_rate': 1.379310344827586e-07, 'epoch': 0.02}
{'loss': 1.8772, 'grad_norm': 25794.765625, 'learning_rate': 1.7241379310344828e-07, 'epoch': 0.03}
{'loss': 1.6493, 'grad_norm': 60.31624984741211, 'learning_rate': 2.0689655172413793e-07, 'epoch': 0.03}
{'loss': 1.9842, 'grad_norm': 20540.033203125, 'learning_rate': 2.413793103448276e-07, 'epoch': 0.04}
{'loss': 1.5518, 'grad_norm': 65.03086853027344, 'learning_rate': 2.758620689655172e-07, 'epoch': 0.04}
{'loss': 1.593, 'grad_norm': 38.14746856689453, 'learning_rate': 3.103448275862069e-07, 'epoch': 0.05}
{'loss': 1.6014, 'grad_norm': 108.12223052978516, 'learning_rate': 3.4482758620689656e-07, 'epoch': 0.05}
{'loss': 1.9148, 'grad_norm': 20785.45703125, 'learning_rate': 3.793103448275862e-07, 'epoch': 0.06}
{'loss': 1.7089, 'grad_norm': 17.796546936035156, 'learning_rate': 4.1379310344827586e-07, 'epoch': 0.06}
{'loss': 1.9105, 'grad_norm': 693.2757568359375, 'learning_rate': 4.482758620689655e-07, 'epoch': 0.07}
{'loss': 1.8247, 'grad_norm': 2592.135498046875, 'learning_rate': 4.827586206896552e-07, 'epoch': 0.07}
{'loss': 1.6398, 'grad_norm': 15.46496295928955, 'learning_rate': 5.172413793103448e-07, 'epoch': 0.08}
{'loss': 1.5116, 'grad_norm': 6.4672040939331055, 'learning_rate': 5.517241379310344e-07, 'epoch': 0.08}
{'loss': 1.4963, 'grad_norm': 1176.349365234375, 'learning_rate': 5.86206896551724e-07, 'epoch': 0.09}
{'loss': 1.5588, 'grad_norm': 18.112468719482422, 'learning_rate': 6.206896551724138e-07, 'epoch': 0.09}
{'loss': 1.3567, 'grad_norm': 8.297967910766602, 'learning_rate': 6.551724137931034e-07, 'epoch': 0.1}
{'loss': 1.7881, 'grad_norm': 21.321992874145508, 'learning_rate': 6.896551724137931e-07, 'epoch': 0.1}
{'loss': 1.5769, 'grad_norm': 12.485980033874512, 'learning_rate': 7.241379310344827e-07, 'epoch': 0.11}
{'loss': 1.333, 'grad_norm': 6.068640232086182, 'learning_rate': 7.586206896551724e-07, 'epoch': 0.11}
{'loss': 1.4492, 'grad_norm': 7.495642185211182, 'learning_rate': 7.931034482758621e-07, 'epoch': 0.12}
{'loss': 1.5029, 'grad_norm': 35.990352630615234, 'learning_rate': 8.275862068965517e-07, 'epoch': 0.12}
{'loss': 1.3471, 'grad_norm': 8.662744522094727, 'learning_rate': 8.620689655172412e-07, 'epoch': 0.13}
{'loss': 1.6202, 'grad_norm': 121.72834014892578, 'learning_rate': 8.96551724137931e-07, 'epoch': 0.14}
{'loss': 1.2644, 'grad_norm': 5.373439788818359, 'learning_rate': 9.310344827586206e-07, 'epoch': 0.14}
{'loss': 1.5555, 'grad_norm': 9.864956855773926, 'learning_rate': 9.655172413793103e-07, 'epoch': 0.15}
{'loss': 1.4184, 'grad_norm': 6.31303071975708, 'learning_rate': 1e-06, 'epoch': 0.15}
{'loss': 1.5417, 'grad_norm': 4.377779483795166, 'learning_rate': 9.9999175360929e-07, 'epoch': 0.16}
{'loss': 1.3433, 'grad_norm': 12.541275978088379, 'learning_rate': 9.999670147091728e-07, 'epoch': 0.16}
{'loss': 1.4185, 'grad_norm': 5.750135898590088, 'learning_rate': 9.99925784115674e-07, 'epoch': 0.17}
{'loss': 1.4426, 'grad_norm': 4.701195240020752, 'learning_rate': 9.998680631888088e-07, 'epoch': 0.17}
{'loss': 1.4866, 'grad_norm': 19.61929702758789, 'learning_rate': 9.997938538325338e-07, 'epoch': 0.18}
{'loss': 1.3816, 'grad_norm': 37.8394660949707, 'learning_rate': 9.997031584946869e-07, 'epoch': 0.18}
{'loss': 1.5224, 'grad_norm': 88.44841766357422, 'learning_rate': 9.995959801669042e-07, 'epoch': 0.19}
{'loss': 1.4451, 'grad_norm': 7.066860198974609, 'learning_rate': 9.994723223845238e-07, 'epoch': 0.19}
{'loss': 1.4515, 'grad_norm': 5.3919243812561035, 'learning_rate': 9.99332189226467e-07, 'epoch': 0.2}
{'loss': 1.3084, 'grad_norm': 4.031851291656494, 'learning_rate': 9.99175585315105e-07, 'epoch': 0.2}
{'loss': 1.3018, 'grad_norm': 14.150941848754883, 'learning_rate': 9.990025158161059e-07, 'epoch': 0.21}
{'loss': 1.4037, 'grad_norm': 8.274596214294434, 'learning_rate': 9.988129864382643e-07, 'epoch': 0.21}
{'loss': 1.392, 'grad_norm': 6.5410332679748535, 'learning_rate': 9.986070034333138e-07, 'epoch': 0.22}
{'loss': 1.284, 'grad_norm': 4.153669357299805, 'learning_rate': 9.983845735957194e-07, 'epoch': 0.22}
{'loss': 1.521, 'grad_norm': 28.99458885192871, 'learning_rate': 9.981457042624549e-07, 'epoch': 0.23}
{'loss': 1.3063, 'grad_norm': 7.728817462921143, 'learning_rate': 9.978904033127591e-07, 'epoch': 0.23}
{'loss': 1.2572, 'grad_norm': 3.599886178970337, 'learning_rate': 9.976186791678782e-07, 'epoch': 0.24}
{'loss': 1.1973, 'grad_norm': 3.012237548828125, 'learning_rate': 9.973305407907855e-07, 'epoch': 0.24}
{'loss': 1.4129, 'grad_norm': 6.254131317138672, 'learning_rate': 9.97025997685888e-07, 'epoch': 0.25}
{'loss': 1.3563, 'grad_norm': 4.7631683349609375, 'learning_rate': 9.96705059898711e-07, 'epoch': 0.25}
{'loss': 1.5672, 'grad_norm': 7.435479640960693, 'learning_rate': 9.963677380155682e-07, 'epoch': 0.26}
{'loss': 1.4958, 'grad_norm': 7.611259937286377, 'learning_rate': 9.960140431632121e-07, 'epoch': 0.26}
{'loss': 1.3695, 'grad_norm': 4.227647304534912, 'learning_rate': 9.95643987008466e-07, 'epoch': 0.27}
{'loss': 1.3388, 'grad_norm': 3.3894753456115723, 'learning_rate': 9.952575817578406e-07, 'epoch': 0.28}
{'loss': 1.3305, 'grad_norm': 3.1791632175445557, 'learning_rate': 9.948548401571306e-07, 'epoch': 0.28}
{'loss': 1.5076, 'grad_norm': 3.2395131587982178, 'learning_rate': 9.944357754909945e-07, 'epoch': 0.29}
{'loss': 1.3453, 'grad_norm': 6.124417781829834, 'learning_rate': 9.940004015825158e-07, 'epoch': 0.29}
{'loss': 1.5086, 'grad_norm': 4.454812526702881, 'learning_rate': 9.935487327927486e-07, 'epoch': 0.3}
{'loss': 1.1533, 'grad_norm': 3.588496685028076, 'learning_rate': 9.930807840202416e-07, 'epoch': 0.3}
{'loss': 1.423, 'grad_norm': 3.9131033420562744, 'learning_rate': 9.925965707005484e-07, 'epoch': 0.31}
{'loss': 1.4309, 'grad_norm': 4.221859931945801, 'learning_rate': 9.920961088057183e-07, 'epoch': 0.31}
{'loss': 1.3541, 'grad_norm': 3.606921434402466, 'learning_rate': 9.91579414843768e-07, 'epoch': 0.32}
{'loss': 1.4156, 'grad_norm': 4.012797832489014, 'learning_rate': 9.910465058581394e-07, 'epoch': 0.32}
{'loss': 1.5421, 'grad_norm': 4.419676303863525, 'learning_rate': 9.904973994271347e-07, 'epoch': 0.33}
{'loss': 1.2737, 'grad_norm': 2.8881471157073975, 'learning_rate': 9.899321136633388e-07, 'epoch': 0.33}
{'loss': 1.2874, 'grad_norm': 5568.611328125, 'learning_rate': 9.89350667213021e-07, 'epoch': 0.34}
{'loss': 1.3926, 'grad_norm': 3.951688051223755, 'learning_rate': 9.887530792555192e-07, 'epoch': 0.34}
{'loss': 1.4078, 'grad_norm': 7.691710472106934, 'learning_rate': 9.88139369502609e-07, 'epoch': 0.35}
