                                                                                                                                                                                               
{'loss': 1.6141, 'grad_norm': 6.456881046295166, 'learning_rate': 5.494505494505495e-08, 'epoch': 0.0}
{'loss': 2.158, 'grad_norm': 7.628268241882324, 'learning_rate': 1.098901098901099e-07, 'epoch': 0.01}
{'loss': 1.8845, 'grad_norm': 7.524852752685547, 'learning_rate': 1.6483516483516484e-07, 'epoch': 0.01}
{'loss': 2.0712, 'grad_norm': 6.333463191986084, 'learning_rate': 2.197802197802198e-07, 'epoch': 0.01}
{'loss': 1.9274, 'grad_norm': 5.88591194152832, 'learning_rate': 2.7472527472527475e-07, 'epoch': 0.01}
{'loss': 1.9768, 'grad_norm': 5.092035293579102, 'learning_rate': 3.296703296703297e-07, 'epoch': 0.02}
{'loss': 1.6227, 'grad_norm': 9.343673706054688, 'learning_rate': 3.846153846153847e-07, 'epoch': 0.02}
{'loss': 2.0298, 'grad_norm': 6.661189079284668, 'learning_rate': 4.395604395604396e-07, 'epoch': 0.02}
{'loss': 2.1411, 'grad_norm': 5.876357078552246, 'learning_rate': 4.945054945054946e-07, 'epoch': 0.02}
{'loss': 2.2145, 'grad_norm': 9.357769966125488, 'learning_rate': 5.494505494505495e-07, 'epoch': 0.03}
{'loss': 1.7349, 'grad_norm': 6.203343391418457, 'learning_rate': 6.043956043956044e-07, 'epoch': 0.03}
{'loss': 1.767, 'grad_norm': 9.193300247192383, 'learning_rate': 6.593406593406594e-07, 'epoch': 0.03}
{'loss': 1.9663, 'grad_norm': 7.023464202880859, 'learning_rate': 7.142857142857143e-07, 'epoch': 0.04}
{'loss': 1.8565, 'grad_norm': 5.1951680183410645, 'learning_rate': 7.692307692307694e-07, 'epoch': 0.04}
{'loss': 1.9089, 'grad_norm': 5.766462326049805, 'learning_rate': 8.241758241758242e-07, 'epoch': 0.04}
{'loss': 1.7894, 'grad_norm': 5.913111686706543, 'learning_rate': 8.791208791208792e-07, 'epoch': 0.04}
{'loss': 1.8972, 'grad_norm': 6.191865921020508, 'learning_rate': 9.340659340659342e-07, 'epoch': 0.05}
{'loss': 1.7622, 'grad_norm': 8.549398422241211, 'learning_rate': 9.890109890109891e-07, 'epoch': 0.05}
{'loss': 1.8964, 'grad_norm': 7.988301753997803, 'learning_rate': 1.0439560439560442e-06, 'epoch': 0.05}
{'loss': 1.943, 'grad_norm': 4.77277135848999, 'learning_rate': 1.098901098901099e-06, 'epoch': 0.06}
{'loss': 1.9309, 'grad_norm': 5.753592491149902, 'learning_rate': 1.153846153846154e-06, 'epoch': 0.06}
{'loss': 1.9165, 'grad_norm': 7.3129730224609375, 'learning_rate': 1.2087912087912089e-06, 'epoch': 0.06}
{'loss': 1.8861, 'grad_norm': 5.411045551300049, 'learning_rate': 1.2637362637362637e-06, 'epoch': 0.06}
{'loss': 1.6472, 'grad_norm': 5.508911609649658, 'learning_rate': 1.3186813186813187e-06, 'epoch': 0.07}
{'loss': 2.117, 'grad_norm': 7.090853214263916, 'learning_rate': 1.3736263736263738e-06, 'epoch': 0.07}
{'loss': 2.3046, 'grad_norm': 5.490157604217529, 'learning_rate': 1.4285714285714286e-06, 'epoch': 0.07}
{'loss': 1.6934, 'grad_norm': 6.027378559112549, 'learning_rate': 1.4835164835164837e-06, 'epoch': 0.07}
{'loss': 1.8739, 'grad_norm': 6.5828070640563965, 'learning_rate': 1.5384615384615387e-06, 'epoch': 0.08}
{'loss': 1.3803, 'grad_norm': 4.9932661056518555, 'learning_rate': 1.5934065934065933e-06, 'epoch': 0.08}
{'loss': 1.7153, 'grad_norm': 4.765887260437012, 'learning_rate': 1.6483516483516484e-06, 'epoch': 0.08}
{'loss': 1.8385, 'grad_norm': 5.1212849617004395, 'learning_rate': 1.7032967032967034e-06, 'epoch': 0.09}
{'loss': 1.7396, 'grad_norm': 7.56148624420166, 'learning_rate': 1.7582417582417585e-06, 'epoch': 0.09}
{'loss': 2.1615, 'grad_norm': 5.114405632019043, 'learning_rate': 1.8131868131868133e-06, 'epoch': 0.09}
{'loss': 1.8893, 'grad_norm': 5.575710296630859, 'learning_rate': 1.8681318681318684e-06, 'epoch': 0.09}
{'loss': 1.9497, 'grad_norm': 5.2203593254089355, 'learning_rate': 1.9230769230769234e-06, 'epoch': 0.1}
{'loss': 1.9782, 'grad_norm': 4.521755695343018, 'learning_rate': 1.9780219780219782e-06, 'epoch': 0.1}
{'loss': 1.9706, 'grad_norm': 4.573117733001709, 'learning_rate': 2.032967032967033e-06, 'epoch': 0.1}
{'loss': 1.4245, 'grad_norm': 4.58323335647583, 'learning_rate': 2.0879120879120883e-06, 'epoch': 0.1}
{'loss': 1.6, 'grad_norm': 4.619431495666504, 'learning_rate': 2.1428571428571427e-06, 'epoch': 0.11}
{'loss': 1.4037, 'grad_norm': 5.63790225982666, 'learning_rate': 2.197802197802198e-06, 'epoch': 0.11}
{'loss': 1.9304, 'grad_norm': 4.1956257820129395, 'learning_rate': 2.252747252747253e-06, 'epoch': 0.11}
{'loss': 1.7425, 'grad_norm': 5.114869117736816, 'learning_rate': 2.307692307692308e-06, 'epoch': 0.12}
