 25%|█████████████████████████████████████▊                                                                                                                    | 14/57 [00:30<01:29,  2.09s/it]
{'loss': 2.8522, 'grad_norm': 1541.4117431640625, 'learning_rate': 3.333333333333333e-07, 'epoch': 0.05}
{'loss': 2.9278, 'grad_norm': 1390.8526611328125, 'learning_rate': 6.666666666666666e-07, 'epoch': 0.1}
{'loss': 3.1634, 'grad_norm': 5596.51318359375, 'learning_rate': 1e-06, 'epoch': 0.16}
{'loss': 2.5816, 'grad_norm': 257.35760498046875, 'learning_rate': 9.991540791356342e-07, 'epoch': 0.21}
{'loss': 2.3222, 'grad_norm': 548.2476196289062, 'learning_rate': 9.966191788709714e-07, 'epoch': 0.26}
{'loss': 2.2713, 'grad_norm': 26.15535545349121, 'learning_rate': 9.92403876506104e-07, 'epoch': 0.31}
{'loss': 2.2127, 'grad_norm': 374.113037109375, 'learning_rate': 9.865224352899118e-07, 'epoch': 0.36}
{'loss': 2.2097, 'grad_norm': 74.57575988769531, 'learning_rate': 9.789947561577443e-07, 'epoch': 0.42}
{'loss': 2.2109, 'grad_norm': 48.68925094604492, 'learning_rate': 9.698463103929541e-07, 'epoch': 0.47}
{'loss': 2.0764, 'grad_norm': 30.02988052368164, 'learning_rate': 9.591080534401371e-07, 'epoch': 0.52}
{'loss': 2.0798, 'grad_norm': 34.44792938232422, 'learning_rate': 9.468163201617061e-07, 'epoch': 0.57}
{'loss': 2.0864, 'grad_norm': 157.24002075195312, 'learning_rate': 9.330127018922193e-07, 'epoch': 0.62}
{'loss': 2.0251, 'grad_norm': 45.75251007080078, 'learning_rate': 9.177439057064682e-07, 'epoch': 0.68}
{'loss': 1.9227, 'grad_norm': 13.128121376037598, 'learning_rate': 9.010615963775219e-07, 'epoch': 0.73}
