                                                                                                                                                                                               
{'loss': 1.6821, 'grad_norm': 46.57070541381836, 'learning_rate': 3.448275862068965e-08, 'epoch': 0.01}
{'loss': 1.9108, 'grad_norm': 256.8217468261719, 'learning_rate': 6.89655172413793e-08, 'epoch': 0.01}
{'loss': 1.6416, 'grad_norm': 58.550926208496094, 'learning_rate': 1.0344827586206897e-07, 'epoch': 0.02}
{'loss': 1.4557, 'grad_norm': 42.01811599731445, 'learning_rate': 1.379310344827586e-07, 'epoch': 0.02}
{'loss': 1.5728, 'grad_norm': 66.42259216308594, 'learning_rate': 1.7241379310344828e-07, 'epoch': 0.03}
{'loss': 1.5197, 'grad_norm': 49.94330596923828, 'learning_rate': 2.0689655172413793e-07, 'epoch': 0.03}
{'loss': 2.0179, 'grad_norm': 37911.58984375, 'learning_rate': 2.413793103448276e-07, 'epoch': 0.04}
{'loss': 1.6379, 'grad_norm': 30.134342193603516, 'learning_rate': 2.758620689655172e-07, 'epoch': 0.04}
{'loss': 1.6835, 'grad_norm': 23.49114990234375, 'learning_rate': 3.103448275862069e-07, 'epoch': 0.05}
{'loss': 1.5426, 'grad_norm': 101.90371704101562, 'learning_rate': 3.4482758620689656e-07, 'epoch': 0.05}
{'loss': 1.8327, 'grad_norm': 3826.79931640625, 'learning_rate': 3.793103448275862e-07, 'epoch': 0.06}
{'loss': 1.5456, 'grad_norm': 1552.74267578125, 'learning_rate': 4.1379310344827586e-07, 'epoch': 0.06}
{'loss': 1.8313, 'grad_norm': 83.5835189819336, 'learning_rate': 4.482758620689655e-07, 'epoch': 0.07}
{'loss': 1.7039, 'grad_norm': 72.2718734741211, 'learning_rate': 4.827586206896552e-07, 'epoch': 0.07}
{'loss': 1.6567, 'grad_norm': 10.258951187133789, 'learning_rate': 5.172413793103448e-07, 'epoch': 0.08}
{'loss': 1.6626, 'grad_norm': 12.08481502532959, 'learning_rate': 5.517241379310344e-07, 'epoch': 0.08}
{'loss': 1.8342, 'grad_norm': 31.093774795532227, 'learning_rate': 5.86206896551724e-07, 'epoch': 0.09}
{'loss': 1.3487, 'grad_norm': 25.613304138183594, 'learning_rate': 6.206896551724138e-07, 'epoch': 0.09}
{'loss': 1.374, 'grad_norm': 14.675816535949707, 'learning_rate': 6.551724137931034e-07, 'epoch': 0.1}
{'loss': 1.7792, 'grad_norm': 11.814454078674316, 'learning_rate': 6.896551724137931e-07, 'epoch': 0.1}
{'loss': 1.4544, 'grad_norm': 12.85847282409668, 'learning_rate': 7.241379310344827e-07, 'epoch': 0.11}
{'loss': 1.3954, 'grad_norm': 8.467046737670898, 'learning_rate': 7.586206896551724e-07, 'epoch': 0.11}
{'loss': 1.4521, 'grad_norm': 6.1080756187438965, 'learning_rate': 7.931034482758621e-07, 'epoch': 0.12}
{'loss': 1.6777, 'grad_norm': 7.779438018798828, 'learning_rate': 8.275862068965517e-07, 'epoch': 0.12}
{'loss': 1.5426, 'grad_norm': 6.9386887550354, 'learning_rate': 8.620689655172412e-07, 'epoch': 0.13}
{'loss': 1.6096, 'grad_norm': 12.281058311462402, 'learning_rate': 8.96551724137931e-07, 'epoch': 0.14}
{'loss': 1.4955, 'grad_norm': 7.840822696685791, 'learning_rate': 9.310344827586206e-07, 'epoch': 0.14}
{'loss': 1.4772, 'grad_norm': 7.4945149421691895, 'learning_rate': 9.655172413793103e-07, 'epoch': 0.15}
{'loss': 1.491, 'grad_norm': 7.427649021148682, 'learning_rate': 1e-06, 'epoch': 0.15}
