                                                                                                                                                                                               
{'loss': 1.9789, 'grad_norm': 6.524921894073486, 'learning_rate': 1.282051282051282e-07, 'epoch': 0.0}
{'loss': 2.1198, 'grad_norm': 6.036640167236328, 'learning_rate': 2.564102564102564e-07, 'epoch': 0.01}
{'loss': 2.2071, 'grad_norm': 9.602483749389648, 'learning_rate': 3.846153846153847e-07, 'epoch': 0.01}
{'loss': 2.2728, 'grad_norm': 5.350239276885986, 'learning_rate': 5.128205128205128e-07, 'epoch': 0.01}
{'loss': 2.3899, 'grad_norm': 10.200178146362305, 'learning_rate': 6.41025641025641e-07, 'epoch': 0.01}
{'loss': 2.4159, 'grad_norm': 8.074481010437012, 'learning_rate': 7.692307692307694e-07, 'epoch': 0.02}
{'loss': 2.2169, 'grad_norm': 7.369229793548584, 'learning_rate': 8.974358974358975e-07, 'epoch': 0.02}
{'loss': 2.4239, 'grad_norm': 5.7962799072265625, 'learning_rate': 1.0256410256410257e-06, 'epoch': 0.02}
{'loss': 2.3292, 'grad_norm': 5.998539924621582, 'learning_rate': 1.153846153846154e-06, 'epoch': 0.02}
{'loss': 2.2913, 'grad_norm': 6.552761077880859, 'learning_rate': 1.282051282051282e-06, 'epoch': 0.03}
{'loss': 2.3971, 'grad_norm': 6.814386367797852, 'learning_rate': 1.4102564102564104e-06, 'epoch': 0.03}
{'loss': 1.9678, 'grad_norm': 6.831084728240967, 'learning_rate': 1.5384615384615387e-06, 'epoch': 0.03}
{'loss': 2.3585, 'grad_norm': 4.622457027435303, 'learning_rate': 1.6666666666666667e-06, 'epoch': 0.03}
{'loss': 2.2411, 'grad_norm': 4.86958646774292, 'learning_rate': 1.794871794871795e-06, 'epoch': 0.04}
{'loss': 2.2267, 'grad_norm': 5.678382873535156, 'learning_rate': 1.9230769230769234e-06, 'epoch': 0.04}
{'loss': 2.304, 'grad_norm': 5.765560150146484, 'learning_rate': 2.0512820512820513e-06, 'epoch': 0.04}
{'loss': 2.4028, 'grad_norm': 7.12708044052124, 'learning_rate': 2.1794871794871797e-06, 'epoch': 0.04}
{'loss': 2.3845, 'grad_norm': 6.239994049072266, 'learning_rate': 2.307692307692308e-06, 'epoch': 0.05}
{'loss': 2.2126, 'grad_norm': 5.637786388397217, 'learning_rate': 2.435897435897436e-06, 'epoch': 0.05}
{'loss': 2.1219, 'grad_norm': 5.605285167694092, 'learning_rate': 2.564102564102564e-06, 'epoch': 0.05}
{'loss': 2.2951, 'grad_norm': 4.879502773284912, 'learning_rate': 2.6923076923076923e-06, 'epoch': 0.06}
{'loss': 2.2133, 'grad_norm': 7.082188606262207, 'learning_rate': 2.8205128205128207e-06, 'epoch': 0.06}
{'loss': 2.1944, 'grad_norm': 4.674441337585449, 'learning_rate': 2.948717948717949e-06, 'epoch': 0.06}
{'loss': 2.1486, 'grad_norm': 5.786587715148926, 'learning_rate': 3.0769230769230774e-06, 'epoch': 0.06}
{'loss': 2.2162, 'grad_norm': 5.4394636154174805, 'learning_rate': 3.205128205128206e-06, 'epoch': 0.07}
{'loss': 2.3056, 'grad_norm': 4.628190040588379, 'learning_rate': 3.3333333333333333e-06, 'epoch': 0.07}
{'loss': 1.9435, 'grad_norm': 5.012964725494385, 'learning_rate': 3.4615384615384617e-06, 'epoch': 0.07}
{'loss': 2.2535, 'grad_norm': 4.527824878692627, 'learning_rate': 3.58974358974359e-06, 'epoch': 0.07}
{'loss': 1.9857, 'grad_norm': 5.046090602874756, 'learning_rate': 3.7179487179487184e-06, 'epoch': 0.08}
{'loss': 2.2151, 'grad_norm': 5.231976509094238, 'learning_rate': 3.846153846153847e-06, 'epoch': 0.08}
{'loss': 2.0644, 'grad_norm': 4.223301410675049, 'learning_rate': 3.974358974358974e-06, 'epoch': 0.08}
{'loss': 1.7825, 'grad_norm': 5.354663372039795, 'learning_rate': 4.102564102564103e-06, 'epoch': 0.08}
{'loss': 1.9714, 'grad_norm': 4.270780086517334, 'learning_rate': 4.230769230769231e-06, 'epoch': 0.09}
{'loss': 2.0942, 'grad_norm': 4.0459136962890625, 'learning_rate': 4.358974358974359e-06, 'epoch': 0.09}
{'loss': 2.2235, 'grad_norm': 4.843112468719482, 'learning_rate': 4.487179487179488e-06, 'epoch': 0.09}
{'loss': 2.1568, 'grad_norm': 4.597027778625488, 'learning_rate': 4.615384615384616e-06, 'epoch': 0.09}
{'loss': 2.1397, 'grad_norm': 4.230221748352051, 'learning_rate': 4.743589743589744e-06, 'epoch': 0.1}
{'loss': 2.0045, 'grad_norm': 4.579563617706299, 'learning_rate': 4.871794871794872e-06, 'epoch': 0.1}
{'loss': 2.191, 'grad_norm': 4.215134620666504, 'learning_rate': 5e-06, 'epoch': 0.1}
{'loss': 1.9613, 'grad_norm': 4.393178462982178, 'learning_rate': 4.999976398887205e-06, 'epoch': 0.1}
{'loss': 2.1992, 'grad_norm': 4.117738723754883, 'learning_rate': 4.999905595994431e-06, 'epoch': 0.11}
{'loss': 2.2856, 'grad_norm': 7.504885673522949, 'learning_rate': 4.999787592658497e-06, 'epoch': 0.11}
{'loss': 2.1503, 'grad_norm': 4.289202690124512, 'learning_rate': 4.999622391107414e-06, 'epoch': 0.11}
{'loss': 2.1708, 'grad_norm': 4.038203239440918, 'learning_rate': 4.999409994460332e-06, 'epoch': 0.12}
{'loss': 2.0976, 'grad_norm': 4.930784702301025, 'learning_rate': 4.9991504067274906e-06, 'epoch': 0.12}
{'loss': 2.2168, 'grad_norm': 4.170870304107666, 'learning_rate': 4.998843632810137e-06, 'epoch': 0.12}
{'loss': 2.1988, 'grad_norm': 5.128873825073242, 'learning_rate': 4.998489678500434e-06, 'epoch': 0.12}
{'loss': 2.1127, 'grad_norm': 4.265923976898193, 'learning_rate': 4.998088550481357e-06, 'epoch': 0.13}
{'loss': 2.0782, 'grad_norm': 3.943098545074463, 'learning_rate': 4.997640256326558e-06, 'epoch': 0.13}
{'loss': 2.0798, 'grad_norm': 4.554254055023193, 'learning_rate': 4.99714480450023e-06, 'epoch': 0.13}
{'loss': 2.046, 'grad_norm': 5.829864025115967, 'learning_rate': 4.996602204356945e-06, 'epoch': 0.13}
{'loss': 2.0973, 'grad_norm': 4.383861541748047, 'learning_rate': 4.996012466141478e-06, 'epoch': 0.14}
{'loss': 1.816, 'grad_norm': 6.001798152923584, 'learning_rate': 4.995375600988609e-06, 'epoch': 0.14}
{'loss': 2.1677, 'grad_norm': 4.272823810577393, 'learning_rate': 4.99469162092292e-06, 'epoch': 0.14}
{'loss': 2.1971, 'grad_norm': 4.609196662902832, 'learning_rate': 4.993960538858563e-06, 'epoch': 0.14}
{'loss': 2.1627, 'grad_norm': 4.559449195861816, 'learning_rate': 4.99318236859902e-06, 'epoch': 0.15}
{'loss': 2.1796, 'grad_norm': 4.921781063079834, 'learning_rate': 4.992357124836838e-06, 'epoch': 0.15}
{'loss': 2.1574, 'grad_norm': 4.122486114501953, 'learning_rate': 4.991484823153352e-06, 'epoch': 0.15}
{'loss': 1.9841, 'grad_norm': 4.123078346252441, 'learning_rate': 4.990565480018395e-06, 'epoch': 0.15}
{'loss': 2.077, 'grad_norm': 4.322782516479492, 'learning_rate': 4.989599112789984e-06, 'epoch': 0.16}
{'loss': 1.9887, 'grad_norm': 4.190978050231934, 'learning_rate': 4.988585739713995e-06, 'epoch': 0.16}
{'loss': 2.0603, 'grad_norm': 4.267349720001221, 'learning_rate': 4.98752537992381e-06, 'epoch': 0.16}
{'loss': 2.0476, 'grad_norm': 3.9586095809936523, 'learning_rate': 4.986418053439968e-06, 'epoch': 0.17}
{'loss': 2.086, 'grad_norm': 4.417496204376221, 'learning_rate': 4.985263781169777e-06, 'epoch': 0.17}
{'loss': 2.1841, 'grad_norm': 4.32239294052124, 'learning_rate': 4.9840625849069276e-06, 'epoch': 0.17}
{'loss': 2.1097, 'grad_norm': 4.099215984344482, 'learning_rate': 4.982814487331073e-06, 'epoch': 0.17}
{'loss': 2.0981, 'grad_norm': 4.475305080413818, 'learning_rate': 4.981519512007406e-06, 'epoch': 0.18}
{'loss': 2.0492, 'grad_norm': 4.59881067276001, 'learning_rate': 4.980177683386215e-06, 'epoch': 0.18}
{'loss': 2.1902, 'grad_norm': 4.257471084594727, 'learning_rate': 4.978789026802418e-06, 'epoch': 0.18}
{'loss': 1.9837, 'grad_norm': 6.062203884124756, 'learning_rate': 4.977353568475088e-06, 'epoch': 0.18}
