                                                                                                                                                                                               
{'loss': 1.6901, 'grad_norm': 60.6494255065918, 'learning_rate': 3.448275862068965e-08, 'epoch': 0.01}
{'loss': 1.7851, 'grad_norm': 266.55999755859375, 'learning_rate': 6.89655172413793e-08, 'epoch': 0.01}
{'loss': 1.7813, 'grad_norm': 121680.046875, 'learning_rate': 1.0344827586206897e-07, 'epoch': 0.02}
{'loss': 1.5511, 'grad_norm': 52.21110916137695, 'learning_rate': 1.379310344827586e-07, 'epoch': 0.02}
{'loss': 1.6235, 'grad_norm': 50.899532318115234, 'learning_rate': 1.7241379310344828e-07, 'epoch': 0.03}
{'loss': 1.5522, 'grad_norm': 66.33465576171875, 'learning_rate': 2.0689655172413793e-07, 'epoch': 0.03}
{'loss': 1.6681, 'grad_norm': 194.95077514648438, 'learning_rate': 2.413793103448276e-07, 'epoch': 0.04}
{'loss': 1.4611, 'grad_norm': 14.457420349121094, 'learning_rate': 2.758620689655172e-07, 'epoch': 0.04}
{'loss': 1.4506, 'grad_norm': 44.432212829589844, 'learning_rate': 3.103448275862069e-07, 'epoch': 0.05}
{'loss': 1.7577, 'grad_norm': 100.57831573486328, 'learning_rate': 3.4482758620689656e-07, 'epoch': 0.05}
{'loss': 1.5468, 'grad_norm': 6686.1318359375, 'learning_rate': 3.793103448275862e-07, 'epoch': 0.06}
{'loss': 1.7543, 'grad_norm': 11.907800674438477, 'learning_rate': 4.1379310344827586e-07, 'epoch': 0.06}
{'loss': 1.7923, 'grad_norm': 87.53414154052734, 'learning_rate': 4.482758620689655e-07, 'epoch': 0.07}
{'loss': 1.8276, 'grad_norm': 72.32469177246094, 'learning_rate': 4.827586206896552e-07, 'epoch': 0.07}
{'loss': 1.3532, 'grad_norm': 11.136855125427246, 'learning_rate': 5.172413793103448e-07, 'epoch': 0.08}
{'loss': 1.544, 'grad_norm': 7.256572723388672, 'learning_rate': 5.517241379310344e-07, 'epoch': 0.08}
