  0%|▎                                                                                                                                                        | 2/1086 [00:03<34:12,  1.89s/it]The following columns in the training set don't have a corresponding argument in `LlamaForCausalLM.forward` and have been ignored: is_prior. If is_prior are not expected by `LlamaForCausalLM.forward`,  you can safely ignore this message.
{'loss': 1.6838, 'grad_norm': 7.03359842300415, 'learning_rate': 9.090909090909091e-08, 'epoch': 0.0}
{'loss': 1.9441, 'grad_norm': 7.546804428100586, 'learning_rate': 1.8181818181818183e-07, 'epoch': 0.01}
                                                                                                                                                                                               
{'loss': 1.9926, 'grad_norm': 8.45324993133545, 'learning_rate': 2.7272727272727274e-07, 'epoch': 0.01}
{'loss': 2.0714, 'grad_norm': 6.325521469116211, 'learning_rate': 3.6363636363636366e-07, 'epoch': 0.01}
{'loss': 1.8295, 'grad_norm': 5.25338077545166, 'learning_rate': 4.5454545454545457e-07, 'epoch': 0.01}
{'loss': 2.0028, 'grad_norm': 8.19144344329834, 'learning_rate': 5.454545454545455e-07, 'epoch': 0.02}
{'loss': 1.5768, 'grad_norm': 10.378421783447266, 'learning_rate': 6.363636363636364e-07, 'epoch': 0.02}
{'loss': 2.0705, 'grad_norm': 8.23484992980957, 'learning_rate': 7.272727272727273e-07, 'epoch': 0.02}
{'loss': 2.1394, 'grad_norm': 5.7951250076293945, 'learning_rate': 8.181818181818182e-07, 'epoch': 0.02}
{'loss': 2.211, 'grad_norm': 9.221456527709961, 'learning_rate': 9.090909090909091e-07, 'epoch': 0.03}
{'loss': 1.7786, 'grad_norm': 5.422420501708984, 'learning_rate': 1.0000000000000002e-06, 'epoch': 0.03}
{'loss': 1.7064, 'grad_norm': 4.621936798095703, 'learning_rate': 1.090909090909091e-06, 'epoch': 0.03}
{'loss': 1.8654, 'grad_norm': 6.227328300476074, 'learning_rate': 1.181818181818182e-06, 'epoch': 0.04}
{'loss': 1.6, 'grad_norm': 4.6261701583862305, 'learning_rate': 1.2727272727272728e-06, 'epoch': 0.04}
{'loss': 1.9138, 'grad_norm': 5.843430995941162, 'learning_rate': 1.3636363636363636e-06, 'epoch': 0.04}
{'loss': 1.6751, 'grad_norm': 7.107728004455566, 'learning_rate': 1.4545454545454546e-06, 'epoch': 0.04}
{'loss': 1.9693, 'grad_norm': 6.0185627937316895, 'learning_rate': 1.5454545454545454e-06, 'epoch': 0.05}
{'loss': 1.7833, 'grad_norm': 8.01065731048584, 'learning_rate': 1.6363636363636365e-06, 'epoch': 0.05}
{'loss': 1.9188, 'grad_norm': 6.286550998687744, 'learning_rate': 1.7272727272727275e-06, 'epoch': 0.05}
{'loss': 1.7118, 'grad_norm': 4.536202430725098, 'learning_rate': 1.8181818181818183e-06, 'epoch': 0.06}
{'loss': 1.864, 'grad_norm': 5.483277797698975, 'learning_rate': 1.9090909090909095e-06, 'epoch': 0.06}
{'loss': 1.7058, 'grad_norm': 4.698557376861572, 'learning_rate': 2.0000000000000003e-06, 'epoch': 0.06}
{'loss': 1.8728, 'grad_norm': 5.692556381225586, 'learning_rate': 2.090909090909091e-06, 'epoch': 0.06}
{'loss': 1.6447, 'grad_norm': 6.04038143157959, 'learning_rate': 2.181818181818182e-06, 'epoch': 0.07}
{'loss': 2.0996, 'grad_norm': 6.626589775085449, 'learning_rate': 2.2727272727272728e-06, 'epoch': 0.07}
{'loss': 2.2997, 'grad_norm': 6.0581159591674805, 'learning_rate': 2.363636363636364e-06, 'epoch': 0.07}
