  1%|▊                                                                                                                                                         | 2/362 [00:03<11:18,  1.88s/it]The following columns in the training set don't have a corresponding argument in `LlamaForCausalLM.forward` and have been ignored: is_prior. If is_prior are not expected by `LlamaForCausalLM.forward`,  you can safely ignore this message.
{'loss': 1.6838, 'grad_norm': 7.017646789550781, 'learning_rate': 2.6315789473684213e-07, 'epoch': 0.0}
{'loss': 2.079, 'grad_norm': 5.8174943923950195, 'learning_rate': 5.263157894736843e-07, 'epoch': 0.01}
                                                                                                                                                                                               
{'loss': 2.046, 'grad_norm': 6.495936393737793, 'learning_rate': 7.894736842105263e-07, 'epoch': 0.01}
{'loss': 2.0704, 'grad_norm': 6.327198505401611, 'learning_rate': 1.0526315789473685e-06, 'epoch': 0.01}
{'loss': 1.8293, 'grad_norm': 5.216815948486328, 'learning_rate': 1.3157894736842106e-06, 'epoch': 0.01}
{'loss': 1.815, 'grad_norm': 5.052907466888428, 'learning_rate': 1.5789473684210526e-06, 'epoch': 0.02}
{'loss': 1.5711, 'grad_norm': 10.143287658691406, 'learning_rate': 1.8421052631578948e-06, 'epoch': 0.02}
{'loss': 2.0588, 'grad_norm': 7.808226108551025, 'learning_rate': 2.105263157894737e-06, 'epoch': 0.02}
{'loss': 2.1327, 'grad_norm': 5.675586223602295, 'learning_rate': 2.368421052631579e-06, 'epoch': 0.02}
{'loss': 2.1898, 'grad_norm': 7.717752933502197, 'learning_rate': 2.631578947368421e-06, 'epoch': 0.03}
{'loss': 1.755, 'grad_norm': 4.954626560211182, 'learning_rate': 2.8947368421052634e-06, 'epoch': 0.03}
{'loss': 1.6898, 'grad_norm': 4.674513816833496, 'learning_rate': 3.157894736842105e-06, 'epoch': 0.03}
{'loss': 1.8379, 'grad_norm': 5.627302169799805, 'learning_rate': 3.421052631578948e-06, 'epoch': 0.04}
{'loss': 1.9389, 'grad_norm': 4.397485733032227, 'learning_rate': 3.6842105263157896e-06, 'epoch': 0.04}
{'loss': 1.8803, 'grad_norm': 5.990602493286133, 'learning_rate': 3.947368421052632e-06, 'epoch': 0.04}
{'loss': 1.98, 'grad_norm': 4.902895450592041, 'learning_rate': 4.210526315789474e-06, 'epoch': 0.04}
{'loss': 1.9214, 'grad_norm': 5.350922107696533, 'learning_rate': 4.473684210526316e-06, 'epoch': 0.05}
{'loss': 1.7316, 'grad_norm': 7.435084342956543, 'learning_rate': 4.736842105263158e-06, 'epoch': 0.05}
