                                                                                                                                                                                               
{'loss': 1.6838, 'grad_norm': 7.025143146514893, 'learning_rate': 9.090909090909091e-08, 'epoch': 0.0}
{'loss': 2.0298, 'grad_norm': 5.734877586364746, 'learning_rate': 1.8181818181818183e-07, 'epoch': 0.01}
{'loss': 2.1211, 'grad_norm': 6.271510601043701, 'learning_rate': 2.7272727272727274e-07, 'epoch': 0.01}
{'loss': 2.0711, 'grad_norm': 6.452484130859375, 'learning_rate': 3.6363636363636366e-07, 'epoch': 0.01}
{'loss': 1.8303, 'grad_norm': 5.267599105834961, 'learning_rate': 4.5454545454545457e-07, 'epoch': 0.01}
{'loss': 1.8415, 'grad_norm': 6.467846870422363, 'learning_rate': 5.454545454545455e-07, 'epoch': 0.02}
{'loss': 1.5771, 'grad_norm': 10.492889404296875, 'learning_rate': 6.363636363636364e-07, 'epoch': 0.02}
{'loss': 2.0704, 'grad_norm': 8.321512222290039, 'learning_rate': 7.272727272727273e-07, 'epoch': 0.02}
{'loss': 2.1401, 'grad_norm': 5.804505348205566, 'learning_rate': 8.181818181818182e-07, 'epoch': 0.02}
{'loss': 2.2113, 'grad_norm': 9.315616607666016, 'learning_rate': 9.090909090909091e-07, 'epoch': 0.03}
{'loss': 1.7788, 'grad_norm': 5.398990631103516, 'learning_rate': 1.0000000000000002e-06, 'epoch': 0.03}
{'loss': 1.3861, 'grad_norm': 4.342731952667236, 'learning_rate': 1.090909090909091e-06, 'epoch': 0.03}
{'loss': 1.8653, 'grad_norm': 6.270345211029053, 'learning_rate': 1.181818181818182e-06, 'epoch': 0.04}
{'loss': 1.8263, 'grad_norm': 5.188624382019043, 'learning_rate': 1.2727272727272728e-06, 'epoch': 0.04}
{'loss': 1.9138, 'grad_norm': 5.842740535736084, 'learning_rate': 1.3636363636363636e-06, 'epoch': 0.04}
{'loss': 1.9884, 'grad_norm': 7.081233024597168, 'learning_rate': 1.4545454545454546e-06, 'epoch': 0.04}
{'loss': 1.9706, 'grad_norm': 6.061370372772217, 'learning_rate': 1.5454545454545454e-06, 'epoch': 0.05}
{'loss': 1.7835, 'grad_norm': 8.318984031677246, 'learning_rate': 1.6363636363636365e-06, 'epoch': 0.05}
{'loss': 1.9195, 'grad_norm': 6.254120826721191, 'learning_rate': 1.7272727272727275e-06, 'epoch': 0.05}
{'loss': 1.7122, 'grad_norm': 5.000168800354004, 'learning_rate': 1.8181818181818183e-06, 'epoch': 0.06}
{'loss': 1.8647, 'grad_norm': 5.409664154052734, 'learning_rate': 1.9090909090909095e-06, 'epoch': 0.06}
{'loss': 1.7067, 'grad_norm': 4.680750846862793, 'learning_rate': 2.0000000000000003e-06, 'epoch': 0.06}
{'loss': 1.8733, 'grad_norm': 5.6609110832214355, 'learning_rate': 2.090909090909091e-06, 'epoch': 0.06}
{'loss': 1.6444, 'grad_norm': 6.025101661682129, 'learning_rate': 2.181818181818182e-06, 'epoch': 0.07}
{'loss': 2.0999, 'grad_norm': 6.83997106552124, 'learning_rate': 2.2727272727272728e-06, 'epoch': 0.07}
{'loss': 2.3005, 'grad_norm': 5.978796005249023, 'learning_rate': 2.363636363636364e-06, 'epoch': 0.07}
{'loss': 1.6332, 'grad_norm': 5.247916221618652, 'learning_rate': 2.454545454545455e-06, 'epoch': 0.07}
{'loss': 1.8565, 'grad_norm': 6.497747421264648, 'learning_rate': 2.5454545454545456e-06, 'epoch': 0.08}
{'loss': 1.531, 'grad_norm': 4.827963829040527, 'learning_rate': 2.6363636363636364e-06, 'epoch': 0.08}
{'loss': 1.6703, 'grad_norm': 4.60010290145874, 'learning_rate': 2.7272727272727272e-06, 'epoch': 0.08}
{'loss': 1.8473, 'grad_norm': 4.882079124450684, 'learning_rate': 2.818181818181818e-06, 'epoch': 0.09}
{'loss': 1.525, 'grad_norm': 5.328627586364746, 'learning_rate': 2.9090909090909093e-06, 'epoch': 0.09}
{'loss': 2.1468, 'grad_norm': 5.014680862426758, 'learning_rate': 3e-06, 'epoch': 0.09}
{'loss': 2.1905, 'grad_norm': 4.691343784332275, 'learning_rate': 3.090909090909091e-06, 'epoch': 0.09}
{'loss': 1.9578, 'grad_norm': 5.0539116859436035, 'learning_rate': 3.181818181818182e-06, 'epoch': 0.1}
{'loss': 2.0275, 'grad_norm': 4.873019695281982, 'learning_rate': 3.272727272727273e-06, 'epoch': 0.1}
{'loss': 1.9632, 'grad_norm': 4.71788215637207, 'learning_rate': 3.3636363636363637e-06, 'epoch': 0.1}
{'loss': 1.4481, 'grad_norm': 4.933315753936768, 'learning_rate': 3.454545454545455e-06, 'epoch': 0.1}
{'loss': 1.4492, 'grad_norm': 4.371129512786865, 'learning_rate': 3.5454545454545458e-06, 'epoch': 0.11}
{'loss': 1.3865, 'grad_norm': 4.604716777801514, 'learning_rate': 3.6363636363636366e-06, 'epoch': 0.11}
{'loss': 1.7984, 'grad_norm': 3.8226993083953857, 'learning_rate': 3.727272727272728e-06, 'epoch': 0.11}
{'loss': 1.7818, 'grad_norm': 4.759406566619873, 'learning_rate': 3.818181818181819e-06, 'epoch': 0.12}
{'loss': 1.6943, 'grad_norm': 4.128425598144531, 'learning_rate': 3.90909090909091e-06, 'epoch': 0.12}
{'loss': 2.1644, 'grad_norm': 4.485044002532959, 'learning_rate': 4.000000000000001e-06, 'epoch': 0.12}
{'loss': 2.1866, 'grad_norm': 5.318477630615234, 'learning_rate': 4.0909090909090915e-06, 'epoch': 0.12}
{'loss': 1.8833, 'grad_norm': 4.320405006408691, 'learning_rate': 4.181818181818182e-06, 'epoch': 0.13}
{'loss': 1.5764, 'grad_norm': 4.740253925323486, 'learning_rate': 4.272727272727273e-06, 'epoch': 0.13}
{'loss': 1.1213, 'grad_norm': 4.907602310180664, 'learning_rate': 4.363636363636364e-06, 'epoch': 0.13}
{'loss': 1.8063, 'grad_norm': 4.368892192840576, 'learning_rate': 4.454545454545455e-06, 'epoch': 0.14}
{'loss': 1.9507, 'grad_norm': 4.889492511749268, 'learning_rate': 4.5454545454545455e-06, 'epoch': 0.14}
{'loss': 2.177, 'grad_norm': 5.011336803436279, 'learning_rate': 4.636363636363636e-06, 'epoch': 0.14}
{'loss': 2.3366, 'grad_norm': 4.537990093231201, 'learning_rate': 4.727272727272728e-06, 'epoch': 0.14}
{'loss': 1.5084, 'grad_norm': 4.106133460998535, 'learning_rate': 4.818181818181819e-06, 'epoch': 0.15}
{'loss': 1.8314, 'grad_norm': 4.714498519897461, 'learning_rate': 4.90909090909091e-06, 'epoch': 0.15}
{'loss': 1.6057, 'grad_norm': 4.3448567390441895, 'learning_rate': 5e-06, 'epoch': 0.15}
{'loss': 1.9423, 'grad_norm': 4.72475004196167, 'learning_rate': 4.999988393745438e-06, 'epoch': 0.15}
{'loss': 2.3268, 'grad_norm': 4.11594820022583, 'learning_rate': 4.999953575089516e-06, 'epoch': 0.16}
{'loss': 1.5312, 'grad_norm': 4.972794532775879, 'learning_rate': 4.999895544355525e-06, 'epoch': 0.16}
{'loss': 1.7933, 'grad_norm': 4.4484333992004395, 'learning_rate': 4.999814302082281e-06, 'epoch': 0.16}
{'loss': 1.8766, 'grad_norm': 4.768570423126221, 'learning_rate': 4.999709849024118e-06, 'epoch': 0.17}
{'loss': 1.7119, 'grad_norm': 5.027021408081055, 'learning_rate': 4.9995821861508844e-06, 'epoch': 0.17}
{'loss': 1.1138, 'grad_norm': 3.2569570541381836, 'learning_rate': 4.999431314647929e-06, 'epoch': 0.17}
{'loss': 1.5141, 'grad_norm': 3.764420986175537, 'learning_rate': 4.999257235916096e-06, 'epoch': 0.17}
{'loss': 1.9801, 'grad_norm': 4.434059143066406, 'learning_rate': 4.999059951571705e-06, 'epoch': 0.18}
{'loss': 1.5064, 'grad_norm': 4.479262351989746, 'learning_rate': 4.998839463446543e-06, 'epoch': 0.18}
{'loss': 2.2654, 'grad_norm': 4.362911701202393, 'learning_rate': 4.998595773587844e-06, 'epoch': 0.18}
{'loss': 1.8985, 'grad_norm': 4.262335777282715, 'learning_rate': 4.9983288842582665e-06, 'epoch': 0.18}
{'loss': 1.6683, 'grad_norm': 4.146719455718994, 'learning_rate': 4.998038797935882e-06, 'epoch': 0.19}
{'loss': 1.9963, 'grad_norm': 4.554465293884277, 'learning_rate': 4.9977255173141405e-06, 'epoch': 0.19}
{'loss': 2.0843, 'grad_norm': 4.033185005187988, 'learning_rate': 4.997389045301856e-06, 'epoch': 0.19}
{'loss': 2.0852, 'grad_norm': 4.173673152923584, 'learning_rate': 4.99702938502317e-06, 'epoch': 0.2}
{'loss': 1.975, 'grad_norm': 3.8656303882598877, 'learning_rate': 4.996646539817531e-06, 'epoch': 0.2}
{'loss': 1.3931, 'grad_norm': 3.6385247707366943, 'learning_rate': 4.996240513239658e-06, 'epoch': 0.2}
{'loss': 2.0233, 'grad_norm': 4.041929244995117, 'learning_rate': 4.995811309059509e-06, 'epoch': 0.2}
{'loss': 1.6458, 'grad_norm': 4.11887264251709, 'learning_rate': 4.995358931262246e-06, 'epoch': 0.21}
{'loss': 1.5765, 'grad_norm': 3.8890585899353027, 'learning_rate': 4.9948833840482e-06, 'epoch': 0.21}
{'loss': 1.5948, 'grad_norm': 3.644437551498413, 'learning_rate': 4.994384671832827e-06, 'epoch': 0.21}
{'loss': 2.0409, 'grad_norm': 4.965526580810547, 'learning_rate': 4.993862799246672e-06, 'epoch': 0.22}
{'loss': 1.8413, 'grad_norm': 3.762665271759033, 'learning_rate': 4.993317771135324e-06, 'epoch': 0.22}
{'loss': 2.0008, 'grad_norm': 4.935986042022705, 'learning_rate': 4.992749592559372e-06, 'epoch': 0.22}
{'loss': 1.7445, 'grad_norm': 3.9681315422058105, 'learning_rate': 4.992158268794355e-06, 'epoch': 0.22}
{'loss': 2.0605, 'grad_norm': 4.361424446105957, 'learning_rate': 4.991543805330716e-06, 'epoch': 0.23}
{'loss': 1.9269, 'grad_norm': 3.7896718978881836, 'learning_rate': 4.990906207873753e-06, 'epoch': 0.23}
