                                                                                                                                                                                               
{'loss': 1.6838, 'grad_norm': 7.031524658203125, 'learning_rate': 9.090909090909091e-08, 'epoch': 0.0}
{'loss': 2.1757, 'grad_norm': 5.611627578735352, 'learning_rate': 1.8181818181818183e-07, 'epoch': 0.01}
{'loss': 2.0104, 'grad_norm': 6.325345993041992, 'learning_rate': 2.7272727272727274e-07, 'epoch': 0.01}
{'loss': 2.071, 'grad_norm': 6.402928352355957, 'learning_rate': 3.6363636363636366e-07, 'epoch': 0.01}
{'loss': 1.83, 'grad_norm': 5.25386905670166, 'learning_rate': 4.5454545454545457e-07, 'epoch': 0.01}
{'loss': 1.8976, 'grad_norm': 5.136725425720215, 'learning_rate': 5.454545454545455e-07, 'epoch': 0.02}
{'loss': 1.5779, 'grad_norm': 10.430068016052246, 'learning_rate': 6.363636363636364e-07, 'epoch': 0.02}
{'loss': 2.0707, 'grad_norm': 8.364078521728516, 'learning_rate': 7.272727272727273e-07, 'epoch': 0.02}
{'loss': 2.1403, 'grad_norm': 5.748398303985596, 'learning_rate': 8.181818181818182e-07, 'epoch': 0.02}
{'loss': 2.2114, 'grad_norm': 9.312409400939941, 'learning_rate': 9.090909090909091e-07, 'epoch': 0.03}
{'loss': 1.7787, 'grad_norm': 5.404339790344238, 'learning_rate': 1.0000000000000002e-06, 'epoch': 0.03}
{'loss': 1.6605, 'grad_norm': 6.276091575622559, 'learning_rate': 1.090909090909091e-06, 'epoch': 0.03}
{'loss': 1.8658, 'grad_norm': 6.243560314178467, 'learning_rate': 1.181818181818182e-06, 'epoch': 0.04}
{'loss': 1.4401, 'grad_norm': 4.115188121795654, 'learning_rate': 1.2727272727272728e-06, 'epoch': 0.04}
{'loss': 1.914, 'grad_norm': 5.910495281219482, 'learning_rate': 1.3636363636363636e-06, 'epoch': 0.04}
{'loss': 1.8919, 'grad_norm': 9.805572509765625, 'learning_rate': 1.4545454545454546e-06, 'epoch': 0.04}
{'loss': 1.9706, 'grad_norm': 6.04453706741333, 'learning_rate': 1.5454545454545454e-06, 'epoch': 0.05}
{'loss': 1.7833, 'grad_norm': 8.219287872314453, 'learning_rate': 1.6363636363636365e-06, 'epoch': 0.05}
{'loss': 1.92, 'grad_norm': 6.282165050506592, 'learning_rate': 1.7272727272727275e-06, 'epoch': 0.05}
