                                                                                                                                                      
{'loss': 2.2949, 'grad_norm': 2.515988349914551, 'learning_rate': 4.950495049504951e-08, 'epoch': 0.0}
{'loss': 2.2917, 'grad_norm': 2.3256399631500244, 'learning_rate': 9.900990099009901e-08, 'epoch': 0.0}
{'loss': 2.2074, 'grad_norm': 3.0084433555603027, 'learning_rate': 1.4851485148514852e-07, 'epoch': 0.0}
{'loss': 2.3008, 'grad_norm': 3.0414435863494873, 'learning_rate': 1.9801980198019803e-07, 'epoch': 0.0}
{'loss': 2.2722, 'grad_norm': 2.267566680908203, 'learning_rate': 2.4752475247524754e-07, 'epoch': 0.0}
{'loss': 2.2071, 'grad_norm': 2.8116872310638428, 'learning_rate': 2.9702970297029703e-07, 'epoch': 0.0}
{'loss': 2.3054, 'grad_norm': 2.5495755672454834, 'learning_rate': 3.4653465346534657e-07, 'epoch': 0.0}
{'loss': 2.2278, 'grad_norm': 2.9814093112945557, 'learning_rate': 3.9603960396039606e-07, 'epoch': 0.0}
{'loss': 2.3442, 'grad_norm': 2.904223680496216, 'learning_rate': 4.4554455445544555e-07, 'epoch': 0.0}
{'loss': 2.1313, 'grad_norm': 3.3450210094451904, 'learning_rate': 4.950495049504951e-07, 'epoch': 0.0}
{'loss': 2.3884, 'grad_norm': 2.5455379486083984, 'learning_rate': 5.445544554455446e-07, 'epoch': 0.01}
{'loss': 2.3412, 'grad_norm': 7.708242893218994, 'learning_rate': 5.940594059405941e-07, 'epoch': 0.01}
{'loss': 2.3097, 'grad_norm': 2.107757568359375, 'learning_rate': 6.435643564356436e-07, 'epoch': 0.01}
{'loss': 2.3629, 'grad_norm': 4.2091264724731445, 'learning_rate': 6.930693069306931e-07, 'epoch': 0.01}
{'loss': 2.2213, 'grad_norm': 2.7107832431793213, 'learning_rate': 7.425742574257426e-07, 'epoch': 0.01}
{'loss': 2.3553, 'grad_norm': 2.6740670204162598, 'learning_rate': 7.920792079207921e-07, 'epoch': 0.01}
{'loss': 2.2894, 'grad_norm': 2.5862131118774414, 'learning_rate': 8.415841584158417e-07, 'epoch': 0.01}
{'loss': 2.3366, 'grad_norm': 7.07706356048584, 'learning_rate': 8.910891089108911e-07, 'epoch': 0.01}
{'loss': 2.2147, 'grad_norm': 2.725792407989502, 'learning_rate': 9.405940594059406e-07, 'epoch': 0.01}
{'loss': 2.1978, 'grad_norm': 2.133237361907959, 'learning_rate': 9.900990099009902e-07, 'epoch': 0.01}
{'loss': 2.2621, 'grad_norm': 2.6087255477905273, 'learning_rate': 1.0396039603960397e-06, 'epoch': 0.01}
{'loss': 2.2055, 'grad_norm': 2.41713285446167, 'learning_rate': 1.0891089108910893e-06, 'epoch': 0.01}
{'loss': 2.3451, 'grad_norm': 2.423527479171753, 'learning_rate': 1.1386138613861388e-06, 'epoch': 0.01}
{'loss': 2.1769, 'grad_norm': 4.810542583465576, 'learning_rate': 1.1881188118811881e-06, 'epoch': 0.01}
