                                                                                                                                                      
{'loss': 2.2557, 'grad_norm': 4.519249439239502, 'learning_rate': 4.950495049504951e-08, 'epoch': 0.0}
{'loss': 2.2669, 'grad_norm': 5.363565921783447, 'learning_rate': 9.900990099009901e-08, 'epoch': 0.0}
{'loss': 2.0426, 'grad_norm': 5.570271968841553, 'learning_rate': 1.4851485148514852e-07, 'epoch': 0.0}
{'loss': 2.0874, 'grad_norm': 3.818392515182495, 'learning_rate': 1.9801980198019803e-07, 'epoch': 0.0}
{'loss': 2.0149, 'grad_norm': 5.004452228546143, 'learning_rate': 2.4752475247524754e-07, 'epoch': 0.0}
{'loss': 2.0691, 'grad_norm': 3.4746413230895996, 'learning_rate': 2.9702970297029703e-07, 'epoch': 0.0}
{'loss': 2.1727, 'grad_norm': 3.7161567211151123, 'learning_rate': 3.4653465346534657e-07, 'epoch': 0.0}
{'loss': 2.1034, 'grad_norm': 5.4348368644714355, 'learning_rate': 3.9603960396039606e-07, 'epoch': 0.0}
{'loss': 2.1708, 'grad_norm': 4.83528470993042, 'learning_rate': 4.4554455445544555e-07, 'epoch': 0.0}
{'loss': 1.9913, 'grad_norm': 4.450586795806885, 'learning_rate': 4.950495049504951e-07, 'epoch': 0.0}
{'loss': 2.1455, 'grad_norm': 5.411355495452881, 'learning_rate': 5.445544554455446e-07, 'epoch': 0.01}
{'loss': 2.0703, 'grad_norm': 5.221889495849609, 'learning_rate': 5.940594059405941e-07, 'epoch': 0.01}
{'loss': 2.0274, 'grad_norm': 5.024300575256348, 'learning_rate': 6.435643564356436e-07, 'epoch': 0.01}
{'loss': 2.1674, 'grad_norm': 3.90494966506958, 'learning_rate': 6.930693069306931e-07, 'epoch': 0.01}
{'loss': 2.0637, 'grad_norm': 4.144057750701904, 'learning_rate': 7.425742574257426e-07, 'epoch': 0.01}
{'loss': 2.1587, 'grad_norm': 5.199471950531006, 'learning_rate': 7.920792079207921e-07, 'epoch': 0.01}
{'loss': 2.2046, 'grad_norm': 4.229109764099121, 'learning_rate': 8.415841584158417e-07, 'epoch': 0.01}
{'loss': 2.2781, 'grad_norm': 3.529371976852417, 'learning_rate': 8.910891089108911e-07, 'epoch': 0.01}
{'loss': 2.0529, 'grad_norm': 3.565424680709839, 'learning_rate': 9.405940594059406e-07, 'epoch': 0.01}
{'loss': 2.0935, 'grad_norm': 2.965693712234497, 'learning_rate': 9.900990099009902e-07, 'epoch': 0.01}
{'loss': 2.131, 'grad_norm': 3.7405221462249756, 'learning_rate': 1.0396039603960397e-06, 'epoch': 0.01}
{'loss': 2.0778, 'grad_norm': 3.161259889602661, 'learning_rate': 1.0891089108910893e-06, 'epoch': 0.01}
{'loss': 2.1657, 'grad_norm': 2.8915040493011475, 'learning_rate': 1.1386138613861388e-06, 'epoch': 0.01}
{'loss': 2.1376, 'grad_norm': 3.2263360023498535, 'learning_rate': 1.1881188118811881e-06, 'epoch': 0.01}
{'loss': 2.2378, 'grad_norm': 2.778054714202881, 'learning_rate': 1.2376237623762377e-06, 'epoch': 0.01}
{'loss': 2.1085, 'grad_norm': 2.8299524784088135, 'learning_rate': 1.2871287128712872e-06, 'epoch': 0.01}
{'loss': 1.9641, 'grad_norm': 3.012343406677246, 'learning_rate': 1.3366336633663367e-06, 'epoch': 0.01}
{'loss': 2.0058, 'grad_norm': 2.5951316356658936, 'learning_rate': 1.3861386138613863e-06, 'epoch': 0.01}
{'loss': 2.1487, 'grad_norm': 2.7376670837402344, 'learning_rate': 1.4356435643564356e-06, 'epoch': 0.01}
{'loss': 2.1426, 'grad_norm': 3.04475736618042, 'learning_rate': 1.4851485148514852e-06, 'epoch': 0.01}
{'loss': 2.1857, 'grad_norm': 2.8720312118530273, 'learning_rate': 1.5346534653465347e-06, 'epoch': 0.02}
{'loss': 1.7999, 'grad_norm': 2.6404905319213867, 'learning_rate': 1.5841584158415842e-06, 'epoch': 0.02}
{'loss': 2.1858, 'grad_norm': 2.881528377532959, 'learning_rate': 1.6336633663366338e-06, 'epoch': 0.02}
{'loss': 2.1411, 'grad_norm': 2.6299796104431152, 'learning_rate': 1.6831683168316833e-06, 'epoch': 0.02}
{'loss': 2.0717, 'grad_norm': 2.7250843048095703, 'learning_rate': 1.7326732673267326e-06, 'epoch': 0.02}
{'loss': 1.9493, 'grad_norm': 2.7546193599700928, 'learning_rate': 1.7821782178217822e-06, 'epoch': 0.02}
{'loss': 1.9825, 'grad_norm': 3.1359572410583496, 'learning_rate': 1.8316831683168317e-06, 'epoch': 0.02}
{'loss': 2.2158, 'grad_norm': 2.45709228515625, 'learning_rate': 1.8811881188118813e-06, 'epoch': 0.02}
{'loss': 2.0994, 'grad_norm': 2.9555115699768066, 'learning_rate': 1.930693069306931e-06, 'epoch': 0.02}
{'loss': 2.0817, 'grad_norm': 2.9001381397247314, 'learning_rate': 1.9801980198019803e-06, 'epoch': 0.02}
{'loss': 1.9661, 'grad_norm': 2.724653959274292, 'learning_rate': 2.02970297029703e-06, 'epoch': 0.02}
{'loss': 1.9611, 'grad_norm': 2.7102744579315186, 'learning_rate': 2.0792079207920794e-06, 'epoch': 0.02}
{'loss': 2.0598, 'grad_norm': 2.69470477104187, 'learning_rate': 2.1287128712871288e-06, 'epoch': 0.02}
{'loss': 2.1307, 'grad_norm': 2.569380283355713, 'learning_rate': 2.1782178217821785e-06, 'epoch': 0.02}
{'loss': 1.9844, 'grad_norm': 2.4325387477874756, 'learning_rate': 2.227722772277228e-06, 'epoch': 0.02}
{'loss': 2.1665, 'grad_norm': 2.343520402908325, 'learning_rate': 2.2772277227722776e-06, 'epoch': 0.02}
{'loss': 2.0081, 'grad_norm': 2.3087894916534424, 'learning_rate': 2.326732673267327e-06, 'epoch': 0.02}
{'loss': 1.8414, 'grad_norm': 3.1247222423553467, 'learning_rate': 2.3762376237623762e-06, 'epoch': 0.02}
{'loss': 2.1195, 'grad_norm': 2.3469886779785156, 'learning_rate': 2.425742574257426e-06, 'epoch': 0.02}
{'loss': 2.1132, 'grad_norm': 2.092339515686035, 'learning_rate': 2.4752475247524753e-06, 'epoch': 0.02}
{'loss': 2.1157, 'grad_norm': 2.3589017391204834, 'learning_rate': 2.524752475247525e-06, 'epoch': 0.03}
{'loss': 1.9017, 'grad_norm': 2.81040358543396, 'learning_rate': 2.5742574257425744e-06, 'epoch': 0.03}
{'loss': 1.8818, 'grad_norm': 3.1176064014434814, 'learning_rate': 2.623762376237624e-06, 'epoch': 0.03}
{'loss': 2.1945, 'grad_norm': 2.3303775787353516, 'learning_rate': 2.6732673267326735e-06, 'epoch': 0.03}
