  0%|                                                                                                                        | 0/2370 [00:00<?, ?it/s]`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`...
/home/al2644/anaconda3/envs/nlp/lib/python3.12/site-packages/torch/_dynamo/eval_frame.py:600: UserWarning: torch.utils.checkpoint: the use_reentrant parameter should be passed explicitly. In version 2.4 we will raise an exception if use_reentrant is not passed. use_reentrant=False is recommended, but if you need to preserve the current default behavior, you can pass use_reentrant=True. Refer to docs for more details on the differences between the two variants.
  return fn(*args, **kwargs)
                                                                                                                                                      
{'loss': 1.8506, 'grad_norm': 8.355117797851562, 'learning_rate': 4.2016806722689076e-08, 'epoch': 0.0}
{'loss': 1.8512, 'grad_norm': 8.6399507522583, 'learning_rate': 8.403361344537815e-08, 'epoch': 0.0}
{'loss': 1.8193, 'grad_norm': 8.075472831726074, 'learning_rate': 1.2605042016806723e-07, 'epoch': 0.0}
{'loss': 1.8084, 'grad_norm': 10.347557067871094, 'learning_rate': 1.680672268907563e-07, 'epoch': 0.0}
{'loss': 1.7712, 'grad_norm': 7.999453544616699, 'learning_rate': 2.100840336134454e-07, 'epoch': 0.0}
{'loss': 1.9, 'grad_norm': 9.434463500976562, 'learning_rate': 2.5210084033613445e-07, 'epoch': 0.0}
{'loss': 1.8524, 'grad_norm': 8.009855270385742, 'learning_rate': 2.9411764705882356e-07, 'epoch': 0.0}
{'loss': 1.8494, 'grad_norm': 10.22187614440918, 'learning_rate': 3.361344537815126e-07, 'epoch': 0.0}
{'loss': 1.5843, 'grad_norm': 9.717340469360352, 'learning_rate': 3.781512605042017e-07, 'epoch': 0.0}
{'loss': 1.9117, 'grad_norm': 8.164510726928711, 'learning_rate': 4.201680672268908e-07, 'epoch': 0.0}
{'loss': 1.8374, 'grad_norm': 8.867342948913574, 'learning_rate': 4.621848739495799e-07, 'epoch': 0.0}
{'loss': 1.7687, 'grad_norm': 8.653862953186035, 'learning_rate': 5.042016806722689e-07, 'epoch': 0.01}
{'loss': 1.7902, 'grad_norm': 8.898929595947266, 'learning_rate': 5.46218487394958e-07, 'epoch': 0.01}
