  0%|                                                                                                                                                                 | 0/2176 [00:00<?, ?it/s]`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`...
/home/al2644/anaconda3/envs/nlp/lib/python3.12/site-packages/torch/_dynamo/eval_frame.py:600: UserWarning: torch.utils.checkpoint: the use_reentrant parameter should be passed explicitly. In version 2.4 we will raise an exception if use_reentrant is not passed. use_reentrant=False is recommended, but if you need to preserve the current default behavior, you can pass use_reentrant=True. Refer to docs for more details on the differences between the two variants.
  return fn(*args, **kwargs)
                                                                                                                                                                                               
{'loss': 1.8652, 'grad_norm': 10.31700325012207, 'learning_rate': 4.587155963302753e-08, 'epoch': 0.0}
{'loss': 1.8226, 'grad_norm': 10.097626686096191, 'learning_rate': 9.174311926605506e-08, 'epoch': 0.0}
{'loss': 1.8891, 'grad_norm': 9.715036392211914, 'learning_rate': 1.376146788990826e-07, 'epoch': 0.0}
{'loss': 1.8364, 'grad_norm': 9.599743843078613, 'learning_rate': 1.8348623853211012e-07, 'epoch': 0.0}
{'loss': 1.7074, 'grad_norm': 8.8517427444458, 'learning_rate': 2.2935779816513764e-07, 'epoch': 0.0}
{'loss': 1.7209, 'grad_norm': 9.970064163208008, 'learning_rate': 2.752293577981652e-07, 'epoch': 0.0}
{'loss': 1.6696, 'grad_norm': 8.702153205871582, 'learning_rate': 3.211009174311927e-07, 'epoch': 0.0}
{'loss': 1.9201, 'grad_norm': 8.367880821228027, 'learning_rate': 3.6697247706422023e-07, 'epoch': 0.0}
{'loss': 1.8939, 'grad_norm': 9.097314834594727, 'learning_rate': 4.128440366972478e-07, 'epoch': 0.0}
{'loss': 1.8169, 'grad_norm': 8.875548362731934, 'learning_rate': 4.587155963302753e-07, 'epoch': 0.0}
{'loss': 1.6545, 'grad_norm': 8.743446350097656, 'learning_rate': 5.045871559633028e-07, 'epoch': 0.01}
{'loss': 1.8526, 'grad_norm': 9.900251388549805, 'learning_rate': 5.504587155963304e-07, 'epoch': 0.01}
{'loss': 1.8184, 'grad_norm': 9.228574752807617, 'learning_rate': 5.963302752293579e-07, 'epoch': 0.01}
{'loss': 1.7389, 'grad_norm': 8.324373245239258, 'learning_rate': 6.422018348623854e-07, 'epoch': 0.01}
{'loss': 1.6084, 'grad_norm': 6.1843581199646, 'learning_rate': 6.880733944954129e-07, 'epoch': 0.01}
{'loss': 1.7722, 'grad_norm': 6.991539478302002, 'learning_rate': 7.339449541284405e-07, 'epoch': 0.01}
{'loss': 1.819, 'grad_norm': 7.093362331390381, 'learning_rate': 7.79816513761468e-07, 'epoch': 0.01}
{'loss': 1.884, 'grad_norm': 6.605123519897461, 'learning_rate': 8.256880733944956e-07, 'epoch': 0.01}
{'loss': 1.6574, 'grad_norm': 6.538611888885498, 'learning_rate': 8.71559633027523e-07, 'epoch': 0.01}
{'loss': 1.8327, 'grad_norm': 6.412744045257568, 'learning_rate': 9.174311926605506e-07, 'epoch': 0.01}
{'loss': 1.8155, 'grad_norm': 6.892157077789307, 'learning_rate': 9.633027522935782e-07, 'epoch': 0.01}
{'loss': 1.8196, 'grad_norm': 6.050735950469971, 'learning_rate': 1.0091743119266057e-06, 'epoch': 0.01}
{'loss': 1.7633, 'grad_norm': 6.0764665603637695, 'learning_rate': 1.055045871559633e-06, 'epoch': 0.01}
{'loss': 1.7592, 'grad_norm': 7.271948337554932, 'learning_rate': 1.1009174311926608e-06, 'epoch': 0.01}
{'loss': 1.7992, 'grad_norm': 5.851129055023193, 'learning_rate': 1.1467889908256882e-06, 'epoch': 0.01}
{'loss': 1.5902, 'grad_norm': 5.746072292327881, 'learning_rate': 1.1926605504587159e-06, 'epoch': 0.01}
{'loss': 1.7723, 'grad_norm': 6.0200300216674805, 'learning_rate': 1.2385321100917433e-06, 'epoch': 0.01}
{'loss': 1.8355, 'grad_norm': 6.187442302703857, 'learning_rate': 1.2844036697247707e-06, 'epoch': 0.01}
{'loss': 1.8199, 'grad_norm': 6.451343536376953, 'learning_rate': 1.3302752293577984e-06, 'epoch': 0.01}
{'loss': 1.84, 'grad_norm': 6.325713634490967, 'learning_rate': 1.3761467889908258e-06, 'epoch': 0.01}
{'loss': 1.7868, 'grad_norm': 5.873201370239258, 'learning_rate': 1.4220183486238535e-06, 'epoch': 0.01}
{'loss': 1.6843, 'grad_norm': 6.021242141723633, 'learning_rate': 1.467889908256881e-06, 'epoch': 0.01}
{'loss': 1.6817, 'grad_norm': 5.756621837615967, 'learning_rate': 1.5137614678899084e-06, 'epoch': 0.02}
{'loss': 1.6697, 'grad_norm': 5.726799488067627, 'learning_rate': 1.559633027522936e-06, 'epoch': 0.02}
{'loss': 1.8895, 'grad_norm': 5.781349182128906, 'learning_rate': 1.6055045871559635e-06, 'epoch': 0.02}
{'loss': 1.6925, 'grad_norm': 6.305107593536377, 'learning_rate': 1.6513761467889911e-06, 'epoch': 0.02}
{'loss': 1.6541, 'grad_norm': 5.780609130859375, 'learning_rate': 1.6972477064220186e-06, 'epoch': 0.02}
{'loss': 1.7578, 'grad_norm': 6.0391621589660645, 'learning_rate': 1.743119266055046e-06, 'epoch': 0.02}
{'loss': 1.7763, 'grad_norm': 6.062882423400879, 'learning_rate': 1.7889908256880737e-06, 'epoch': 0.02}
{'loss': 1.8798, 'grad_norm': 6.328739166259766, 'learning_rate': 1.8348623853211011e-06, 'epoch': 0.02}
{'loss': 1.8352, 'grad_norm': 6.000881671905518, 'learning_rate': 1.8807339449541288e-06, 'epoch': 0.02}
{'loss': 1.628, 'grad_norm': 5.904748916625977, 'learning_rate': 1.9266055045871564e-06, 'epoch': 0.02}
{'loss': 1.785, 'grad_norm': 6.205331802368164, 'learning_rate': 1.9724770642201837e-06, 'epoch': 0.02}
{'loss': 1.8345, 'grad_norm': 6.1721510887146, 'learning_rate': 2.0183486238532113e-06, 'epoch': 0.02}
{'loss': 1.6504, 'grad_norm': 5.593181133270264, 'learning_rate': 2.064220183486239e-06, 'epoch': 0.02}
{'loss': 1.6687, 'grad_norm': 5.629302501678467, 'learning_rate': 2.110091743119266e-06, 'epoch': 0.02}
{'loss': 1.7061, 'grad_norm': 5.8303327560424805, 'learning_rate': 2.155963302752294e-06, 'epoch': 0.02}
{'loss': 1.7069, 'grad_norm': 5.705264568328857, 'learning_rate': 2.2018348623853215e-06, 'epoch': 0.02}
{'loss': 1.6811, 'grad_norm': 6.090497016906738, 'learning_rate': 2.2477064220183487e-06, 'epoch': 0.02}
{'loss': 1.7694, 'grad_norm': 5.690995216369629, 'learning_rate': 2.2935779816513764e-06, 'epoch': 0.02}
{'loss': 1.7625, 'grad_norm': 6.276376247406006, 'learning_rate': 2.339449541284404e-06, 'epoch': 0.02}
{'loss': 1.7472, 'grad_norm': 5.90901517868042, 'learning_rate': 2.3853211009174317e-06, 'epoch': 0.02}
{'loss': 1.7025, 'grad_norm': 5.731802463531494, 'learning_rate': 2.431192660550459e-06, 'epoch': 0.02}
{'loss': 1.7991, 'grad_norm': 5.734258651733398, 'learning_rate': 2.4770642201834866e-06, 'epoch': 0.02}
{'loss': 1.7655, 'grad_norm': 5.717273235321045, 'learning_rate': 2.522935779816514e-06, 'epoch': 0.03}
{'loss': 1.8629, 'grad_norm': 5.622408866882324, 'learning_rate': 2.5688073394495415e-06, 'epoch': 0.03}
{'loss': 1.5644, 'grad_norm': 5.679276943206787, 'learning_rate': 2.6146788990825687e-06, 'epoch': 0.03}
{'loss': 1.7777, 'grad_norm': 5.7241997718811035, 'learning_rate': 2.6605504587155968e-06, 'epoch': 0.03}
{'loss': 1.771, 'grad_norm': 5.661975383758545, 'learning_rate': 2.706422018348624e-06, 'epoch': 0.03}
{'loss': 1.6856, 'grad_norm': 5.649317741394043, 'learning_rate': 2.7522935779816517e-06, 'epoch': 0.03}
{'loss': 1.6906, 'grad_norm': 5.5086989402771, 'learning_rate': 2.798165137614679e-06, 'epoch': 0.03}
{'loss': 1.6882, 'grad_norm': 5.9016804695129395, 'learning_rate': 2.844036697247707e-06, 'epoch': 0.03}
{'loss': 1.7768, 'grad_norm': 5.659499645233154, 'learning_rate': 2.8899082568807342e-06, 'epoch': 0.03}
{'loss': 1.8075, 'grad_norm': 5.675628185272217, 'learning_rate': 2.935779816513762e-06, 'epoch': 0.03}
{'loss': 1.7708, 'grad_norm': 5.420767784118652, 'learning_rate': 2.981651376146789e-06, 'epoch': 0.03}
{'loss': 1.7555, 'grad_norm': 6.198611259460449, 'learning_rate': 3.0275229357798168e-06, 'epoch': 0.03}
{'loss': 1.7412, 'grad_norm': 5.608963489532471, 'learning_rate': 3.073394495412844e-06, 'epoch': 0.03}
{'loss': 1.7298, 'grad_norm': 5.70541524887085, 'learning_rate': 3.119266055045872e-06, 'epoch': 0.03}
{'loss': 1.7431, 'grad_norm': 5.663434028625488, 'learning_rate': 3.1651376146788993e-06, 'epoch': 0.03}
{'loss': 1.7543, 'grad_norm': 5.376827716827393, 'learning_rate': 3.211009174311927e-06, 'epoch': 0.03}
{'loss': 1.8723, 'grad_norm': 5.72181510925293, 'learning_rate': 3.256880733944954e-06, 'epoch': 0.03}
{'loss': 1.7562, 'grad_norm': 5.711854457855225, 'learning_rate': 3.3027522935779823e-06, 'epoch': 0.03}
{'loss': 1.748, 'grad_norm': 5.433695316314697, 'learning_rate': 3.3486238532110095e-06, 'epoch': 0.03}
{'loss': 1.5499, 'grad_norm': 6.603555202484131, 'learning_rate': 3.394495412844037e-06, 'epoch': 0.03}
{'loss': 1.7487, 'grad_norm': 5.628332614898682, 'learning_rate': 3.4403669724770644e-06, 'epoch': 0.03}
{'loss': 1.7619, 'grad_norm': 6.027064800262451, 'learning_rate': 3.486238532110092e-06, 'epoch': 0.03}
{'loss': 1.605, 'grad_norm': 5.771978855133057, 'learning_rate': 3.5321100917431193e-06, 'epoch': 0.04}
{'loss': 1.7135, 'grad_norm': 5.456071853637695, 'learning_rate': 3.5779816513761473e-06, 'epoch': 0.04}
{'loss': 1.8165, 'grad_norm': 5.529294967651367, 'learning_rate': 3.6238532110091746e-06, 'epoch': 0.04}
{'loss': 1.7597, 'grad_norm': 5.948084354400635, 'learning_rate': 3.6697247706422022e-06, 'epoch': 0.04}
{'loss': 1.7125, 'grad_norm': 6.667673110961914, 'learning_rate': 3.7155963302752295e-06, 'epoch': 0.04}
{'loss': 1.5852, 'grad_norm': 6.062397003173828, 'learning_rate': 3.7614678899082575e-06, 'epoch': 0.04}
{'loss': 1.7354, 'grad_norm': 5.480494499206543, 'learning_rate': 3.8073394495412848e-06, 'epoch': 0.04}
{'loss': 1.6691, 'grad_norm': 6.502613067626953, 'learning_rate': 3.853211009174313e-06, 'epoch': 0.04}
{'loss': 1.8795, 'grad_norm': 5.900651931762695, 'learning_rate': 3.89908256880734e-06, 'epoch': 0.04}
{'loss': 1.6169, 'grad_norm': 5.569283962249756, 'learning_rate': 3.944954128440367e-06, 'epoch': 0.04}
{'loss': 1.7687, 'grad_norm': 6.722149848937988, 'learning_rate': 3.9908256880733945e-06, 'epoch': 0.04}
{'loss': 1.782, 'grad_norm': 6.176353931427002, 'learning_rate': 4.036697247706423e-06, 'epoch': 0.04}
{'loss': 1.7487, 'grad_norm': 5.802958011627197, 'learning_rate': 4.08256880733945e-06, 'epoch': 0.04}
{'loss': 1.7538, 'grad_norm': 5.4637885093688965, 'learning_rate': 4.128440366972478e-06, 'epoch': 0.04}
