  0%|                                                                                                                        | 0/1851 [00:00<?, ?it/s]`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
/home/al2644/anaconda3/envs/nlp/lib/python3.12/site-packages/torch/_dynamo/eval_frame.py:600: UserWarning: torch.utils.checkpoint: the use_reentrant parameter should be passed explicitly. In version 2.4 we will raise an exception if use_reentrant is not passed. use_reentrant=False is recommended, but if you need to preserve the current default behavior, you can pass use_reentrant=True. Refer to docs for more details on the differences between the two variants.
  return fn(*args, **kwargs)
                                                                                                                                                      
{'loss': 2.0324, 'grad_norm': 4.497809410095215, 'learning_rate': 5.376344086021506e-08, 'epoch': 0.0}
{'loss': 2.0411, 'grad_norm': 3.803539991378784, 'learning_rate': 1.0752688172043012e-07, 'epoch': 0.0}
{'loss': 2.1839, 'grad_norm': 5.4316277503967285, 'learning_rate': 1.6129032258064518e-07, 'epoch': 0.0}
{'loss': 2.0852, 'grad_norm': 3.4900944232940674, 'learning_rate': 2.1505376344086024e-07, 'epoch': 0.0}
{'loss': 2.2052, 'grad_norm': 4.585058689117432, 'learning_rate': 2.688172043010753e-07, 'epoch': 0.0}
{'loss': 2.2138, 'grad_norm': 4.8534135818481445, 'learning_rate': 3.2258064516129035e-07, 'epoch': 0.0}
{'loss': 2.1023, 'grad_norm': 3.99941349029541, 'learning_rate': 3.763440860215054e-07, 'epoch': 0.0}
{'loss': 2.0588, 'grad_norm': 4.247867584228516, 'learning_rate': 4.301075268817205e-07, 'epoch': 0.0}
{'loss': 2.0207, 'grad_norm': 4.531627178192139, 'learning_rate': 4.838709677419355e-07, 'epoch': 0.0}
{'loss': 2.1233, 'grad_norm': 5.7720112800598145, 'learning_rate': 5.376344086021506e-07, 'epoch': 0.01}
{'loss': 2.1619, 'grad_norm': 5.178320407867432, 'learning_rate': 5.913978494623656e-07, 'epoch': 0.01}
{'loss': 1.9924, 'grad_norm': 4.327650547027588, 'learning_rate': 6.451612903225807e-07, 'epoch': 0.01}
{'loss': 2.0185, 'grad_norm': 3.5931804180145264, 'learning_rate': 6.989247311827957e-07, 'epoch': 0.01}
{'loss': 2.1027, 'grad_norm': 4.677616119384766, 'learning_rate': 7.526881720430108e-07, 'epoch': 0.01}
{'loss': 2.0727, 'grad_norm': 3.9255220890045166, 'learning_rate': 8.064516129032258e-07, 'epoch': 0.01}
{'loss': 2.1508, 'grad_norm': 3.592024326324463, 'learning_rate': 8.60215053763441e-07, 'epoch': 0.01}
{'loss': 2.1233, 'grad_norm': 4.206073760986328, 'learning_rate': 9.13978494623656e-07, 'epoch': 0.01}
{'loss': 2.106, 'grad_norm': 5.28316593170166, 'learning_rate': 9.67741935483871e-07, 'epoch': 0.01}
{'loss': 2.2344, 'grad_norm': 3.1559433937072754, 'learning_rate': 1.021505376344086e-06, 'epoch': 0.01}
{'loss': 2.1237, 'grad_norm': 4.095994472503662, 'learning_rate': 1.0752688172043011e-06, 'epoch': 0.01}
{'loss': 2.1291, 'grad_norm': 3.2397327423095703, 'learning_rate': 1.1290322580645162e-06, 'epoch': 0.01}
{'loss': 2.0153, 'grad_norm': 3.2238874435424805, 'learning_rate': 1.1827956989247313e-06, 'epoch': 0.01}
{'loss': 2.1656, 'grad_norm': 3.371818780899048, 'learning_rate': 1.2365591397849463e-06, 'epoch': 0.01}
{'loss': 2.0228, 'grad_norm': 2.9614768028259277, 'learning_rate': 1.2903225806451614e-06, 'epoch': 0.01}
{'loss': 2.0374, 'grad_norm': 3.656002998352051, 'learning_rate': 1.3440860215053765e-06, 'epoch': 0.01}
{'loss': 2.0461, 'grad_norm': 2.9951839447021484, 'learning_rate': 1.3978494623655913e-06, 'epoch': 0.01}
{'loss': 2.0752, 'grad_norm': 2.9337990283966064, 'learning_rate': 1.4516129032258066e-06, 'epoch': 0.01}
{'loss': 2.0042, 'grad_norm': 2.8436739444732666, 'learning_rate': 1.5053763440860217e-06, 'epoch': 0.02}
{'loss': 2.1822, 'grad_norm': 3.422642946243286, 'learning_rate': 1.5591397849462367e-06, 'epoch': 0.02}
{'loss': 2.1827, 'grad_norm': 2.956954002380371, 'learning_rate': 1.6129032258064516e-06, 'epoch': 0.02}
{'loss': 1.9259, 'grad_norm': 3.0979228019714355, 'learning_rate': 1.6666666666666667e-06, 'epoch': 0.02}
{'loss': 2.0342, 'grad_norm': 3.4815735816955566, 'learning_rate': 1.720430107526882e-06, 'epoch': 0.02}
{'loss': 2.0657, 'grad_norm': 2.8110227584838867, 'learning_rate': 1.774193548387097e-06, 'epoch': 0.02}
{'loss': 2.0963, 'grad_norm': 2.7401328086853027, 'learning_rate': 1.827956989247312e-06, 'epoch': 0.02}
{'loss': 2.233, 'grad_norm': 2.45953631401062, 'learning_rate': 1.881720430107527e-06, 'epoch': 0.02}
{'loss': 2.0734, 'grad_norm': 2.5247325897216797, 'learning_rate': 1.935483870967742e-06, 'epoch': 0.02}
{'loss': 2.0175, 'grad_norm': 2.7128090858459473, 'learning_rate': 1.989247311827957e-06, 'epoch': 0.02}
{'loss': 1.9636, 'grad_norm': 2.685774564743042, 'learning_rate': 2.043010752688172e-06, 'epoch': 0.02}
{'loss': 2.0366, 'grad_norm': 2.4616856575012207, 'learning_rate': 2.096774193548387e-06, 'epoch': 0.02}
{'loss': 1.9575, 'grad_norm': 2.7714779376983643, 'learning_rate': 2.1505376344086023e-06, 'epoch': 0.02}
{'loss': 2.1684, 'grad_norm': 2.2737436294555664, 'learning_rate': 2.2043010752688173e-06, 'epoch': 0.02}
{'loss': 2.0366, 'grad_norm': 2.5989649295806885, 'learning_rate': 2.2580645161290324e-06, 'epoch': 0.02}
{'loss': 2.0857, 'grad_norm': 2.952131986618042, 'learning_rate': 2.3118279569892475e-06, 'epoch': 0.02}
{'loss': 1.8977, 'grad_norm': 2.5515296459198, 'learning_rate': 2.3655913978494625e-06, 'epoch': 0.02}
{'loss': 2.1072, 'grad_norm': 2.412505865097046, 'learning_rate': 2.4193548387096776e-06, 'epoch': 0.02}
{'loss': 2.0529, 'grad_norm': 2.538546323776245, 'learning_rate': 2.4731182795698927e-06, 'epoch': 0.02}
{'loss': 2.0902, 'grad_norm': 2.335925340652466, 'learning_rate': 2.5268817204301077e-06, 'epoch': 0.03}
{'loss': 2.0861, 'grad_norm': 2.3044910430908203, 'learning_rate': 2.580645161290323e-06, 'epoch': 0.03}
{'loss': 2.0162, 'grad_norm': 2.3868110179901123, 'learning_rate': 2.634408602150538e-06, 'epoch': 0.03}
{'loss': 2.0854, 'grad_norm': 2.5540993213653564, 'learning_rate': 2.688172043010753e-06, 'epoch': 0.03}
{'loss': 1.9931, 'grad_norm': 2.295673370361328, 'learning_rate': 2.7419354838709676e-06, 'epoch': 0.03}
{'loss': 2.0984, 'grad_norm': 2.323334217071533, 'learning_rate': 2.7956989247311827e-06, 'epoch': 0.03}
{'loss': 2.02, 'grad_norm': 2.2900617122650146, 'learning_rate': 2.849462365591398e-06, 'epoch': 0.03}
{'loss': 2.0797, 'grad_norm': 2.252213954925537, 'learning_rate': 2.903225806451613e-06, 'epoch': 0.03}
