                                                                                                                                                                                               
{'loss': 2.2725, 'grad_norm': 2.368551254272461, 'learning_rate': 5.376344086021506e-08, 'epoch': 0.0}
{'loss': 2.2717, 'grad_norm': 3.481259346008301, 'learning_rate': 1.0752688172043012e-07, 'epoch': 0.0}
{'loss': 2.2837, 'grad_norm': 3.0441648960113525, 'learning_rate': 1.6129032258064518e-07, 'epoch': 0.0}
{'loss': 2.3147, 'grad_norm': 3.8505067825317383, 'learning_rate': 2.1505376344086024e-07, 'epoch': 0.0}
{'loss': 2.2934, 'grad_norm': 2.563951015472412, 'learning_rate': 2.688172043010753e-07, 'epoch': 0.0}
{'loss': 2.245, 'grad_norm': 2.971358060836792, 'learning_rate': 3.2258064516129035e-07, 'epoch': 0.0}
{'loss': 2.17, 'grad_norm': 2.175025463104248, 'learning_rate': 3.763440860215054e-07, 'epoch': 0.0}
{'loss': 2.2554, 'grad_norm': 2.441763401031494, 'learning_rate': 4.301075268817205e-07, 'epoch': 0.0}
{'loss': 2.1253, 'grad_norm': 3.1061558723449707, 'learning_rate': 4.838709677419355e-07, 'epoch': 0.0}
{'loss': 2.3315, 'grad_norm': 2.7358274459838867, 'learning_rate': 5.376344086021506e-07, 'epoch': 0.01}
{'loss': 2.2523, 'grad_norm': 2.869032144546509, 'learning_rate': 5.913978494623656e-07, 'epoch': 0.01}
{'loss': 2.0549, 'grad_norm': 2.6568350791931152, 'learning_rate': 6.451612903225807e-07, 'epoch': 0.01}
{'loss': 2.3806, 'grad_norm': 2.7694895267486572, 'learning_rate': 6.989247311827957e-07, 'epoch': 0.01}
{'loss': 2.2314, 'grad_norm': 3.1291117668151855, 'learning_rate': 7.526881720430108e-07, 'epoch': 0.01}
{'loss': 2.2273, 'grad_norm': 3.170583724975586, 'learning_rate': 8.064516129032258e-07, 'epoch': 0.01}
{'loss': 2.2515, 'grad_norm': 2.799126148223877, 'learning_rate': 8.60215053763441e-07, 'epoch': 0.01}
{'loss': 2.2519, 'grad_norm': 2.37300181388855, 'learning_rate': 9.13978494623656e-07, 'epoch': 0.01}
{'loss': 2.2595, 'grad_norm': 2.9782135486602783, 'learning_rate': 9.67741935483871e-07, 'epoch': 0.01}
{'loss': 2.0978, 'grad_norm': 2.667306423187256, 'learning_rate': 1.021505376344086e-06, 'epoch': 0.01}
{'loss': 2.2254, 'grad_norm': 2.784897565841675, 'learning_rate': 1.0752688172043011e-06, 'epoch': 0.01}
{'loss': 2.2591, 'grad_norm': 2.953583002090454, 'learning_rate': 1.1290322580645162e-06, 'epoch': 0.01}
{'loss': 2.3004, 'grad_norm': 2.5157787799835205, 'learning_rate': 1.1827956989247313e-06, 'epoch': 0.01}
{'loss': 2.2194, 'grad_norm': 2.2025673389434814, 'learning_rate': 1.2365591397849463e-06, 'epoch': 0.01}
