                                                                                                                                                                                               
{'loss': 1.6804, 'grad_norm': 3.580439567565918, 'learning_rate': 4.1666666666666667e-07, 'epoch': 0.0}
{'loss': 1.6625, 'grad_norm': 3.6325414180755615, 'learning_rate': 8.333333333333333e-07, 'epoch': 0.01}
{'loss': 1.6854, 'grad_norm': 3.233186721801758, 'learning_rate': 1.25e-06, 'epoch': 0.01}
{'loss': 1.6043, 'grad_norm': 2.5930728912353516, 'learning_rate': 1.6666666666666667e-06, 'epoch': 0.02}
{'loss': 1.6461, 'grad_norm': 2.30074143409729, 'learning_rate': 2.0833333333333334e-06, 'epoch': 0.02}
{'loss': 1.5455, 'grad_norm': 1.8585872650146484, 'learning_rate': 2.5e-06, 'epoch': 0.03}
{'loss': 1.5398, 'grad_norm': 1.793717622756958, 'learning_rate': 2.916666666666667e-06, 'epoch': 0.03}
{'loss': 1.5096, 'grad_norm': 1.8073781728744507, 'learning_rate': 3.3333333333333333e-06, 'epoch': 0.03}
{'loss': 1.5294, 'grad_norm': 1.7063407897949219, 'learning_rate': 3.7500000000000005e-06, 'epoch': 0.04}
{'loss': 1.551, 'grad_norm': 1.5964677333831787, 'learning_rate': 4.166666666666667e-06, 'epoch': 0.04}
{'loss': 1.5186, 'grad_norm': 1.7158888578414917, 'learning_rate': 4.583333333333333e-06, 'epoch': 0.05}
{'loss': 1.5151, 'grad_norm': 1.629500150680542, 'learning_rate': 5e-06, 'epoch': 0.05}
{'loss': 1.4671, 'grad_norm': 1.5226365327835083, 'learning_rate': 4.999756310023261e-06, 'epoch': 0.05}
{'loss': 1.4209, 'grad_norm': 1.3532841205596924, 'learning_rate': 4.999025287600886e-06, 'epoch': 0.06}
{'loss': 1.4095, 'grad_norm': 1.367358922958374, 'learning_rate': 4.997807075247147e-06, 'epoch': 0.06}
{'loss': 1.4218, 'grad_norm': 1.2419277429580688, 'learning_rate': 4.996101910454953e-06, 'epoch': 0.07}
{'loss': 1.4468, 'grad_norm': 1.477824330329895, 'learning_rate': 4.993910125649561e-06, 'epoch': 0.07}
{'loss': 1.4227, 'grad_norm': 1.3507577180862427, 'learning_rate': 4.9912321481237616e-06, 'epoch': 0.08}
{'loss': 1.4297, 'grad_norm': 1.436799168586731, 'learning_rate': 4.988068499954578e-06, 'epoch': 0.08}
{'loss': 1.4408, 'grad_norm': 1.319087028503418, 'learning_rate': 4.984419797901491e-06, 'epoch': 0.08}
{'loss': 1.4461, 'grad_norm': 1.345274567604065, 'learning_rate': 4.980286753286196e-06, 'epoch': 0.09}
{'loss': 1.4085, 'grad_norm': 1.2946195602416992, 'learning_rate': 4.975670171853926e-06, 'epoch': 0.09}
{'loss': 1.4049, 'grad_norm': 1.2181646823883057, 'learning_rate': 4.970570953616383e-06, 'epoch': 0.1}
{'loss': 1.3401, 'grad_norm': 1.2025647163391113, 'learning_rate': 4.964990092676263e-06, 'epoch': 0.1}
{'loss': 1.3861, 'grad_norm': 1.5620359182357788, 'learning_rate': 4.958928677033465e-06, 'epoch': 0.11}
{'loss': 1.3853, 'grad_norm': 1.2505115270614624, 'learning_rate': 4.9523878883729794e-06, 'epoch': 0.11}
{'loss': 1.3753, 'grad_norm': 1.1831276416778564, 'learning_rate': 4.9453690018345144e-06, 'epoch': 0.11}
{'loss': 1.3755, 'grad_norm': 1.1943389177322388, 'learning_rate': 4.937873385763909e-06, 'epoch': 0.12}
{'loss': 1.3676, 'grad_norm': 1.3229190111160278, 'learning_rate': 4.9299025014463665e-06, 'epoch': 0.12}
{'loss': 1.3853, 'grad_norm': 1.2292873859405518, 'learning_rate': 4.921457902821578e-06, 'epoch': 0.13}
{'loss': 1.3828, 'grad_norm': 1.214578628540039, 'learning_rate': 4.912541236180779e-06, 'epoch': 0.13}
{'loss': 1.3417, 'grad_norm': 1.3074393272399902, 'learning_rate': 4.903154239845798e-06, 'epoch': 0.13}
{'loss': 1.349, 'grad_norm': 1.2022653818130493, 'learning_rate': 4.893298743830168e-06, 'epoch': 0.14}
{'loss': 1.3844, 'grad_norm': 1.3223826885223389, 'learning_rate': 4.882976669482368e-06, 'epoch': 0.14}
{'loss': 1.3499, 'grad_norm': 1.2087572813034058, 'learning_rate': 4.8721900291112415e-06, 'epoch': 0.15}
{'loss': 1.3778, 'grad_norm': 1.2476469278335571, 'learning_rate': 4.860940925593703e-06, 'epoch': 0.15}
{'loss': 1.3534, 'grad_norm': 1.2257747650146484, 'learning_rate': 4.849231551964771e-06, 'epoch': 0.16}
{'loss': 1.3588, 'grad_norm': 1.39149010181427, 'learning_rate': 4.837064190990036e-06, 'epoch': 0.16}
{'loss': 1.3599, 'grad_norm': 1.3129463195800781, 'learning_rate': 4.824441214720629e-06, 'epoch': 0.16}
{'loss': 1.3575, 'grad_norm': 1.3251028060913086, 'learning_rate': 4.811365084030784e-06, 'epoch': 0.17}
{'loss': 1.3377, 'grad_norm': 1.219985842704773, 'learning_rate': 4.7978383481380865e-06, 'epoch': 0.17}
{'loss': 1.3248, 'grad_norm': 1.1743946075439453, 'learning_rate': 4.783863644106502e-06, 'epoch': 0.18}
{'loss': 1.3162, 'grad_norm': 1.355588674545288, 'learning_rate': 4.769443696332272e-06, 'epoch': 0.18}
{'loss': 1.3687, 'grad_norm': 1.272261619567871, 'learning_rate': 4.754581316012785e-06, 'epoch': 0.19}
{'loss': 1.3746, 'grad_norm': 1.2618796825408936, 'learning_rate': 4.7392794005985324e-06, 'epoch': 0.19}
