                                                                                                                                                                                               
{'loss': 1.3945, 'grad_norm': 52.85323715209961, 'learning_rate': 4.1666666666666667e-07, 'epoch': 0.0}
{'loss': 1.3664, 'grad_norm': 55.95201110839844, 'learning_rate': 8.333333333333333e-07, 'epoch': 0.01}
{'loss': 1.2934, 'grad_norm': 64.48426055908203, 'learning_rate': 1.25e-06, 'epoch': 0.01}
{'loss': 1.2144, 'grad_norm': 12.097537994384766, 'learning_rate': 1.6666666666666667e-06, 'epoch': 0.02}
{'loss': 1.2168, 'grad_norm': 9.458962440490723, 'learning_rate': 2.0833333333333334e-06, 'epoch': 0.02}
{'loss': 1.2167, 'grad_norm': 5.478335857391357, 'learning_rate': 2.5e-06, 'epoch': 0.03}
{'loss': 1.2009, 'grad_norm': 3.562006950378418, 'learning_rate': 2.916666666666667e-06, 'epoch': 0.03}
{'loss': 1.1687, 'grad_norm': 2.9826438426971436, 'learning_rate': 3.3333333333333333e-06, 'epoch': 0.03}
{'loss': 1.1754, 'grad_norm': 3.315894365310669, 'learning_rate': 3.7500000000000005e-06, 'epoch': 0.04}
{'loss': 1.162, 'grad_norm': 3.4591116905212402, 'learning_rate': 4.166666666666667e-06, 'epoch': 0.04}
{'loss': 1.1824, 'grad_norm': 3.2525320053100586, 'learning_rate': 4.583333333333333e-06, 'epoch': 0.05}
{'loss': 1.1556, 'grad_norm': 2.788987874984741, 'learning_rate': 5e-06, 'epoch': 0.05}
{'loss': 1.0939, 'grad_norm': 2.5825889110565186, 'learning_rate': 4.999747408985249e-06, 'epoch': 0.06}
{'loss': 1.151, 'grad_norm': 3.094693660736084, 'learning_rate': 4.998989686982771e-06, 'epoch': 0.06}
{'loss': 1.13, 'grad_norm': 2.5597286224365234, 'learning_rate': 4.997726987107582e-06, 'epoch': 0.06}
{'loss': 1.1476, 'grad_norm': 3.1989479064941406, 'learning_rate': 4.995959564516997e-06, 'epoch': 0.07}
{'loss': 1.0923, 'grad_norm': 2.6097280979156494, 'learning_rate': 4.9936877763590664e-06, 'epoch': 0.07}
{'loss': 1.1164, 'grad_norm': 2.6453683376312256, 'learning_rate': 4.990912081700413e-06, 'epoch': 0.08}
{'loss': 1.134, 'grad_norm': 2.530766725540161, 'learning_rate': 4.987633041433462e-06, 'epoch': 0.08}
{'loss': 1.1122, 'grad_norm': 2.7206454277038574, 'learning_rate': 4.9838513181630975e-06, 'epoch': 0.09}
{'loss': 1.0952, 'grad_norm': 2.4691543579101562, 'learning_rate': 4.979567676072776e-06, 'epoch': 0.09}
{'loss': 1.1343, 'grad_norm': 2.3631184101104736, 'learning_rate': 4.9747829807701e-06, 'epoch': 0.09}
{'loss': 1.117, 'grad_norm': 2.6545016765594482, 'learning_rate': 4.969498199111901e-06, 'epoch': 0.1}
{'loss': 1.0905, 'grad_norm': 2.3989715576171875, 'learning_rate': 4.963714399008869e-06, 'epoch': 0.1}
{'loss': 1.088, 'grad_norm': 2.521949291229248, 'learning_rate': 4.957432749209755e-06, 'epoch': 0.11}
{'loss': 1.1144, 'grad_norm': 2.450061559677124, 'learning_rate': 4.950654519065196e-06, 'epoch': 0.11}
{'loss': 1.0896, 'grad_norm': 2.4955453872680664, 'learning_rate': 4.943381078271214e-06, 'epoch': 0.12}
{'loss': 1.0532, 'grad_norm': 2.280857563018799, 'learning_rate': 4.935613896592446e-06, 'epoch': 0.12}
{'loss': 1.0898, 'grad_norm': 2.639737129211426, 'learning_rate': 4.927354543565131e-06, 'epoch': 0.12}
{'loss': 1.0518, 'grad_norm': 2.754055976867676, 'learning_rate': 4.918604688179959e-06, 'epoch': 0.13}
{'loss': 1.0505, 'grad_norm': 2.4075233936309814, 'learning_rate': 4.90936609854481e-06, 'epoch': 0.13}
{'loss': 1.0717, 'grad_norm': 2.7427432537078857, 'learning_rate': 4.89964064152747e-06, 'epoch': 0.14}
{'loss': 1.0993, 'grad_norm': 2.4505531787872314, 'learning_rate': 4.8894302823783845e-06, 'epoch': 0.14}
{'loss': 1.068, 'grad_norm': 2.302452325820923, 'learning_rate': 4.878737084333536e-06, 'epoch': 0.15}
{'loss': 1.1071, 'grad_norm': 2.359266757965088, 'learning_rate': 4.86756320819752e-06, 'epoch': 0.15}
{'loss': 1.0066, 'grad_norm': 2.0681040287017822, 'learning_rate': 4.855910911906906e-06, 'epoch': 0.15}
{'loss': 1.047, 'grad_norm': 2.1440072059631348, 'learning_rate': 4.84378255007397e-06, 'epoch': 0.16}
{'loss': 1.1089, 'grad_norm': 2.1425063610076904, 'learning_rate': 4.83118057351089e-06, 'epoch': 0.16}
{'loss': 1.07, 'grad_norm': 2.0668437480926514, 'learning_rate': 4.8181075287345045e-06, 'epoch': 0.17}
{'loss': 1.0651, 'grad_norm': 2.0455758571624756, 'learning_rate': 4.804566057451729e-06, 'epoch': 0.17}
{'loss': 1.0436, 'grad_norm': 2.0228970050811768, 'learning_rate': 4.790558896025743e-06, 'epoch': 0.18}
{'loss': 1.0869, 'grad_norm': 1.9099831581115723, 'learning_rate': 4.7760888749230414e-06, 'epoch': 0.18}
{'loss': 1.0569, 'grad_norm': 1.973311424255371, 'learning_rate': 4.7611589181414745e-06, 'epoch': 0.18}
{'loss': 1.0813, 'grad_norm': 2.0166845321655273, 'learning_rate': 4.745772042619389e-06, 'epoch': 0.19}
{'loss': 1.0654, 'grad_norm': 1.9635004997253418, 'learning_rate': 4.7299313576259865e-06, 'epoch': 0.19}
{'loss': 1.0427, 'grad_norm': 2.130506992340088, 'learning_rate': 4.7136400641330245e-06, 'epoch': 0.2}
{'loss': 1.0744, 'grad_norm': 2.0119404792785645, 'learning_rate': 4.696901454167989e-06, 'epoch': 0.2}
{'loss': 1.0259, 'grad_norm': 1.8842874765396118, 'learning_rate': 4.679718910148858e-06, 'epoch': 0.21}
{'loss': 1.0559, 'grad_norm': 1.916935920715332, 'learning_rate': 4.662095904200617e-06, 'epoch': 0.21}
{'loss': 1.0505, 'grad_norm': 1.8043620586395264, 'learning_rate': 4.644035997453631e-06, 'epoch': 0.21}
{'loss': 1.0683, 'grad_norm': 1.8739588260650635, 'learning_rate': 4.625542839324036e-06, 'epoch': 0.22}
