                                                                                                                                                                                               
{'loss': 1.6466, 'grad_norm': inf, 'learning_rate': 4.1666666666666667e-07, 'epoch': 0.0}
{'loss': 1.6357, 'grad_norm': inf, 'learning_rate': 8.333333333333333e-07, 'epoch': 0.01}
{'loss': 1.6442, 'grad_norm': inf, 'learning_rate': 1.25e-06, 'epoch': 0.01}
{'loss': 1.6762, 'grad_norm': inf, 'learning_rate': 1.6666666666666667e-06, 'epoch': 0.02}
{'loss': 1.6953, 'grad_norm': inf, 'learning_rate': 2.0833333333333334e-06, 'epoch': 0.02}
{'loss': 1.6577, 'grad_norm': inf, 'learning_rate': 2.5e-06, 'epoch': 0.03}
{'loss': 1.622, 'grad_norm': inf, 'learning_rate': 2.916666666666667e-06, 'epoch': 0.03}
{'loss': 1.709, 'grad_norm': inf, 'learning_rate': 3.3333333333333333e-06, 'epoch': 0.03}
{'loss': 1.6793, 'grad_norm': inf, 'learning_rate': 3.7500000000000005e-06, 'epoch': 0.04}
{'loss': 1.679, 'grad_norm': 1.0069755197195813e+19, 'learning_rate': 4.166666666666667e-06, 'epoch': 0.04}
{'loss': 1.7977, 'grad_norm': 783870066688.0, 'learning_rate': 4.583333333333333e-06, 'epoch': 0.05}
{'loss': 1.6723, 'grad_norm': 1247.2960205078125, 'learning_rate': 5e-06, 'epoch': 0.05}
{'loss': 1.6243, 'grad_norm': 1371.9892578125, 'learning_rate': 4.999756310023261e-06, 'epoch': 0.05}
{'loss': 1.526, 'grad_norm': 53.969093322753906, 'learning_rate': 4.999025287600886e-06, 'epoch': 0.06}
{'loss': 1.5, 'grad_norm': 8.11705207824707, 'learning_rate': 4.997807075247147e-06, 'epoch': 0.06}
{'loss': 1.4415, 'grad_norm': 4.400618553161621, 'learning_rate': 4.996101910454953e-06, 'epoch': 0.07}
{'loss': 1.4393, 'grad_norm': 4.260615348815918, 'learning_rate': 4.993910125649561e-06, 'epoch': 0.07}
{'loss': 1.3946, 'grad_norm': 4.034206867218018, 'learning_rate': 4.9912321481237616e-06, 'epoch': 0.08}
{'loss': 1.3832, 'grad_norm': 2.8446872234344482, 'learning_rate': 4.988068499954578e-06, 'epoch': 0.08}
{'loss': 1.3558, 'grad_norm': 2.1964778900146484, 'learning_rate': 4.984419797901491e-06, 'epoch': 0.08}
{'loss': 1.3373, 'grad_norm': 2.9769909381866455, 'learning_rate': 4.980286753286196e-06, 'epoch': 0.09}
{'loss': 1.3064, 'grad_norm': 2.2710630893707275, 'learning_rate': 4.975670171853926e-06, 'epoch': 0.09}
{'loss': 1.3192, 'grad_norm': 2.9077069759368896, 'learning_rate': 4.970570953616383e-06, 'epoch': 0.1}
{'loss': 1.2719, 'grad_norm': 2.325042247772217, 'learning_rate': 4.964990092676263e-06, 'epoch': 0.1}
{'loss': 1.349, 'grad_norm': 2.745089530944824, 'learning_rate': 4.958928677033465e-06, 'epoch': 0.11}
{'loss': 1.2791, 'grad_norm': 2.127318859100342, 'learning_rate': 4.9523878883729794e-06, 'epoch': 0.11}
{'loss': 1.2879, 'grad_norm': 2.3043148517608643, 'learning_rate': 4.9453690018345144e-06, 'epoch': 0.11}
{'loss': 1.2793, 'grad_norm': 2.076058864593506, 'learning_rate': 4.937873385763909e-06, 'epoch': 0.12}
{'loss': 1.283, 'grad_norm': 2.9001874923706055, 'learning_rate': 4.9299025014463665e-06, 'epoch': 0.12}
{'loss': 1.2687, 'grad_norm': 2.19838285446167, 'learning_rate': 4.921457902821578e-06, 'epoch': 0.13}
{'loss': 1.2878, 'grad_norm': 2.2281365394592285, 'learning_rate': 4.912541236180779e-06, 'epoch': 0.13}
{'loss': 1.2692, 'grad_norm': 3.435526132583618, 'learning_rate': 4.903154239845798e-06, 'epoch': 0.13}
{'loss': 1.2615, 'grad_norm': 2.0059499740600586, 'learning_rate': 4.893298743830168e-06, 'epoch': 0.14}
{'loss': 1.2577, 'grad_norm': 2.350717067718506, 'learning_rate': 4.882976669482368e-06, 'epoch': 0.14}
{'loss': 1.2349, 'grad_norm': 2.7287001609802246, 'learning_rate': 4.8721900291112415e-06, 'epoch': 0.15}
{'loss': 1.2874, 'grad_norm': 2.5679197311401367, 'learning_rate': 4.860940925593703e-06, 'epoch': 0.15}
{'loss': 1.2451, 'grad_norm': 1.9375518560409546, 'learning_rate': 4.849231551964771e-06, 'epoch': 0.16}
{'loss': 1.2613, 'grad_norm': 2.663053274154663, 'learning_rate': 4.837064190990036e-06, 'epoch': 0.16}
{'loss': 1.2472, 'grad_norm': 2.2778127193450928, 'learning_rate': 4.824441214720629e-06, 'epoch': 0.16}
{'loss': 1.1895, 'grad_norm': 2.495462417602539, 'learning_rate': 4.811365084030784e-06, 'epoch': 0.17}
{'loss': 1.2362, 'grad_norm': 2.290713310241699, 'learning_rate': 4.7978383481380865e-06, 'epoch': 0.17}
{'loss': 1.2207, 'grad_norm': 1.9527405500411987, 'learning_rate': 4.783863644106502e-06, 'epoch': 0.18}
{'loss': 1.2315, 'grad_norm': 2.1588518619537354, 'learning_rate': 4.769443696332272e-06, 'epoch': 0.18}
{'loss': 1.2557, 'grad_norm': 2.005657911300659, 'learning_rate': 4.754581316012785e-06, 'epoch': 0.19}
{'loss': 1.255, 'grad_norm': 2.085891008377075, 'learning_rate': 4.7392794005985324e-06, 'epoch': 0.19}
{'loss': 1.2122, 'grad_norm': 2.307488203048706, 'learning_rate': 4.723540933228245e-06, 'epoch': 0.19}
{'loss': 1.2629, 'grad_norm': 2.25571608543396, 'learning_rate': 4.707368982147318e-06, 'epoch': 0.2}
{'loss': 1.1989, 'grad_norm': 2.0906805992126465, 'learning_rate': 4.690766700109659e-06, 'epoch': 0.2}
{'loss': 1.1719, 'grad_norm': 1.999198317527771, 'learning_rate': 4.673737323763048e-06, 'epoch': 0.21}
{'loss': 1.2657, 'grad_norm': 2.8223085403442383, 'learning_rate': 4.656284173018144e-06, 'epoch': 0.21}
{'loss': 1.1891, 'grad_norm': 2.2694153785705566, 'learning_rate': 4.638410650401267e-06, 'epoch': 0.22}
{'loss': 1.1893, 'grad_norm': 1.9358912706375122, 'learning_rate': 4.620120240391065e-06, 'epoch': 0.22}
{'loss': 1.1955, 'grad_norm': 2.05210542678833, 'learning_rate': 4.601416508739211e-06, 'epoch': 0.22}
{'loss': 1.2056, 'grad_norm': 2.2399868965148926, 'learning_rate': 4.582303101775249e-06, 'epoch': 0.23}
{'loss': 1.1686, 'grad_norm': 2.0117530822753906, 'learning_rate': 4.562783745695738e-06, 'epoch': 0.23}
{'loss': 1.2061, 'grad_norm': 2.0346367359161377, 'learning_rate': 4.542862245837821e-06, 'epoch': 0.24}
{'loss': 1.2165, 'grad_norm': 2.215557813644409, 'learning_rate': 4.522542485937369e-06, 'epoch': 0.24}
{'loss': 1.2354, 'grad_norm': 2.425588846206665, 'learning_rate': 4.501828427371834e-06, 'epoch': 0.24}
{'loss': 1.1997, 'grad_norm': 2.399212121963501, 'learning_rate': 4.4807241083879774e-06, 'epoch': 0.25}
{'loss': 1.1918, 'grad_norm': 2.056297540664673, 'learning_rate': 4.4592336433146e-06, 'epoch': 0.25}
{'loss': 1.1655, 'grad_norm': 2.0663061141967773, 'learning_rate': 4.437361221760449e-06, 'epoch': 0.26}
{'loss': 1.1719, 'grad_norm': 1.920897364616394, 'learning_rate': 4.415111107797445e-06, 'epoch': 0.26}
{'loss': 1.1591, 'grad_norm': 1.660469889640808, 'learning_rate': 4.3924876391293915e-06, 'epoch': 0.27}
{'loss': 1.1931, 'grad_norm': 1.8066507577896118, 'learning_rate': 4.36949522624633e-06, 'epoch': 0.27}
{'loss': 1.1674, 'grad_norm': 1.812313437461853, 'learning_rate': 4.346138351564711e-06, 'epoch': 0.27}
{'loss': 1.1368, 'grad_norm': 1.6713639497756958, 'learning_rate': 4.322421568553529e-06, 'epoch': 0.28}
{'loss': 1.1467, 'grad_norm': 1.4867336750030518, 'learning_rate': 4.2983495008466285e-06, 'epoch': 0.28}
