                                                                                                                                                                                               
{'loss': 2.1728, 'grad_norm': 17.00710105895996, 'learning_rate': 5.1546391752577325e-08, 'epoch': 0.0}
{'loss': 2.0972, 'grad_norm': 10.557132720947266, 'learning_rate': 1.0309278350515465e-07, 'epoch': 0.0}
{'loss': 2.1173, 'grad_norm': 11.533563613891602, 'learning_rate': 1.5463917525773197e-07, 'epoch': 0.0}
{'loss': 2.1462, 'grad_norm': 3.9151949882507324, 'learning_rate': 2.061855670103093e-07, 'epoch': 0.0}
{'loss': 2.0127, 'grad_norm': 6.526871681213379, 'learning_rate': 2.577319587628866e-07, 'epoch': 0.0}
{'loss': 2.1447, 'grad_norm': 13.452544212341309, 'learning_rate': 3.0927835051546394e-07, 'epoch': 0.0}
{'loss': 2.1288, 'grad_norm': 3.7575294971466064, 'learning_rate': 3.608247422680412e-07, 'epoch': 0.0}
{'loss': 2.1246, 'grad_norm': 4.783523082733154, 'learning_rate': 4.123711340206186e-07, 'epoch': 0.0}
{'loss': 2.1522, 'grad_norm': 8.864880561828613, 'learning_rate': 4.6391752577319593e-07, 'epoch': 0.0}
{'loss': 2.0539, 'grad_norm': 8.82024097442627, 'learning_rate': 5.154639175257732e-07, 'epoch': 0.01}
{'loss': 2.1859, 'grad_norm': 6.950554847717285, 'learning_rate': 5.670103092783505e-07, 'epoch': 0.01}
{'loss': 2.151, 'grad_norm': 11.77515983581543, 'learning_rate': 6.185567010309279e-07, 'epoch': 0.01}
{'loss': 2.1336, 'grad_norm': 10.49091911315918, 'learning_rate': 6.701030927835052e-07, 'epoch': 0.01}
{'loss': 2.1445, 'grad_norm': 4.96121883392334, 'learning_rate': 7.216494845360824e-07, 'epoch': 0.01}
{'loss': 2.0922, 'grad_norm': 5.144829750061035, 'learning_rate': 7.731958762886599e-07, 'epoch': 0.01}
{'loss': 2.1705, 'grad_norm': 7.958956241607666, 'learning_rate': 8.247422680412372e-07, 'epoch': 0.01}
{'loss': 2.1349, 'grad_norm': 9.001429557800293, 'learning_rate': 8.762886597938144e-07, 'epoch': 0.01}
{'loss': 2.1858, 'grad_norm': 7.384515762329102, 'learning_rate': 9.278350515463919e-07, 'epoch': 0.01}
{'loss': 2.0806, 'grad_norm': 5.073106288909912, 'learning_rate': 9.793814432989692e-07, 'epoch': 0.01}
{'loss': 2.1611, 'grad_norm': 11.440293312072754, 'learning_rate': 1.0309278350515464e-06, 'epoch': 0.01}
{'loss': 2.0938, 'grad_norm': 10.088205337524414, 'learning_rate': 1.0824742268041239e-06, 'epoch': 0.01}
{'loss': 2.0039, 'grad_norm': 9.837163925170898, 'learning_rate': 1.134020618556701e-06, 'epoch': 0.01}
{'loss': 2.1471, 'grad_norm': 6.78681755065918, 'learning_rate': 1.1855670103092783e-06, 'epoch': 0.01}
