                                                                                                                                                                                               
{'loss': 2.1252, 'grad_norm': 6.653786659240723, 'learning_rate': 5.1546391752577325e-08, 'epoch': 0.0}
{'loss': 2.1004, 'grad_norm': 4.594754695892334, 'learning_rate': 1.0309278350515465e-07, 'epoch': 0.0}
{'loss': 2.1231, 'grad_norm': 4.3740434646606445, 'learning_rate': 1.5463917525773197e-07, 'epoch': 0.0}
{'loss': 2.0836, 'grad_norm': 8.996356964111328, 'learning_rate': 2.061855670103093e-07, 'epoch': 0.0}
{'loss': 2.1891, 'grad_norm': 4.186975002288818, 'learning_rate': 2.577319587628866e-07, 'epoch': 0.0}
{'loss': 2.1165, 'grad_norm': 5.547034740447998, 'learning_rate': 3.0927835051546394e-07, 'epoch': 0.0}
{'loss': 2.1196, 'grad_norm': 4.231327533721924, 'learning_rate': 3.608247422680412e-07, 'epoch': 0.0}
{'loss': 2.1374, 'grad_norm': 4.791496276855469, 'learning_rate': 4.123711340206186e-07, 'epoch': 0.0}
{'loss': 2.0867, 'grad_norm': 4.452575206756592, 'learning_rate': 4.6391752577319593e-07, 'epoch': 0.0}
{'loss': 2.1046, 'grad_norm': 8.228084564208984, 'learning_rate': 5.154639175257732e-07, 'epoch': 0.01}
{'loss': 2.1892, 'grad_norm': 7.511123180389404, 'learning_rate': 5.670103092783505e-07, 'epoch': 0.01}
{'loss': 2.1915, 'grad_norm': 6.384002208709717, 'learning_rate': 6.185567010309279e-07, 'epoch': 0.01}
{'loss': 2.1607, 'grad_norm': 5.11520528793335, 'learning_rate': 6.701030927835052e-07, 'epoch': 0.01}
{'loss': 2.0778, 'grad_norm': 6.446731090545654, 'learning_rate': 7.216494845360824e-07, 'epoch': 0.01}
{'loss': 2.1225, 'grad_norm': 7.328120231628418, 'learning_rate': 7.731958762886599e-07, 'epoch': 0.01}
{'loss': 2.143, 'grad_norm': 3.6884334087371826, 'learning_rate': 8.247422680412372e-07, 'epoch': 0.01}
{'loss': 2.0423, 'grad_norm': 5.007658958435059, 'learning_rate': 8.762886597938144e-07, 'epoch': 0.01}
{'loss': 2.2439, 'grad_norm': 3.810272216796875, 'learning_rate': 9.278350515463919e-07, 'epoch': 0.01}
{'loss': 2.1613, 'grad_norm': 6.4874067306518555, 'learning_rate': 9.793814432989692e-07, 'epoch': 0.01}
{'loss': 2.1929, 'grad_norm': 4.28721809387207, 'learning_rate': 1.0309278350515464e-06, 'epoch': 0.01}
{'loss': 2.0947, 'grad_norm': 8.476848602294922, 'learning_rate': 1.0824742268041239e-06, 'epoch': 0.01}
{'loss': 2.1628, 'grad_norm': 3.2231385707855225, 'learning_rate': 1.134020618556701e-06, 'epoch': 0.01}
{'loss': 2.1407, 'grad_norm': 3.6375064849853516, 'learning_rate': 1.1855670103092783e-06, 'epoch': 0.01}
{'loss': 2.1117, 'grad_norm': 2.795867919921875, 'learning_rate': 1.2371134020618557e-06, 'epoch': 0.01}
{'loss': 2.12, 'grad_norm': 6.011662483215332, 'learning_rate': 1.288659793814433e-06, 'epoch': 0.01}
{'loss': 2.1834, 'grad_norm': 8.54466438293457, 'learning_rate': 1.3402061855670104e-06, 'epoch': 0.01}
{'loss': 2.239, 'grad_norm': 6.192963123321533, 'learning_rate': 1.3917525773195878e-06, 'epoch': 0.01}
{'loss': 2.2057, 'grad_norm': 4.862457752227783, 'learning_rate': 1.4432989690721649e-06, 'epoch': 0.01}
{'loss': 2.1245, 'grad_norm': 5.670740127563477, 'learning_rate': 1.4948453608247423e-06, 'epoch': 0.01}
{'loss': 2.1479, 'grad_norm': 3.217024326324463, 'learning_rate': 1.5463917525773197e-06, 'epoch': 0.02}
{'loss': 2.0308, 'grad_norm': 3.1908907890319824, 'learning_rate': 1.597938144329897e-06, 'epoch': 0.02}
{'loss': 2.0529, 'grad_norm': 3.8890764713287354, 'learning_rate': 1.6494845360824744e-06, 'epoch': 0.02}
{'loss': 1.9912, 'grad_norm': 7.008242130279541, 'learning_rate': 1.7010309278350518e-06, 'epoch': 0.02}
{'loss': 2.1419, 'grad_norm': 6.358667373657227, 'learning_rate': 1.7525773195876288e-06, 'epoch': 0.02}
{'loss': 2.1658, 'grad_norm': 3.0478248596191406, 'learning_rate': 1.8041237113402063e-06, 'epoch': 0.02}
{'loss': 2.0105, 'grad_norm': 2.3904600143432617, 'learning_rate': 1.8556701030927837e-06, 'epoch': 0.02}
{'loss': 2.0672, 'grad_norm': 3.277254819869995, 'learning_rate': 1.907216494845361e-06, 'epoch': 0.02}
{'loss': 2.0898, 'grad_norm': 3.2457940578460693, 'learning_rate': 1.9587628865979384e-06, 'epoch': 0.02}
{'loss': 1.9712, 'grad_norm': 3.4988853931427, 'learning_rate': 2.010309278350516e-06, 'epoch': 0.02}
{'loss': 2.083, 'grad_norm': 2.888524055480957, 'learning_rate': 2.061855670103093e-06, 'epoch': 0.02}
{'loss': 1.8908, 'grad_norm': 2.9897751808166504, 'learning_rate': 2.1134020618556703e-06, 'epoch': 0.02}
{'loss': 2.1024, 'grad_norm': 2.996178150177002, 'learning_rate': 2.1649484536082477e-06, 'epoch': 0.02}
{'loss': 2.0738, 'grad_norm': 2.396965503692627, 'learning_rate': 2.2164948453608247e-06, 'epoch': 0.02}
{'loss': 2.1006, 'grad_norm': 2.7028861045837402, 'learning_rate': 2.268041237113402e-06, 'epoch': 0.02}
{'loss': 1.9394, 'grad_norm': 2.5074105262756348, 'learning_rate': 2.3195876288659796e-06, 'epoch': 0.02}
