                                                                                                                                                      
{'loss': 2.1577, 'grad_norm': 3.651660919189453, 'learning_rate': 1.0309278350515465e-07, 'epoch': 0.0}
{'loss': 2.0883, 'grad_norm': 5.028200149536133, 'learning_rate': 2.061855670103093e-07, 'epoch': 0.0}
{'loss': 2.0476, 'grad_norm': 5.862509727478027, 'learning_rate': 3.0927835051546394e-07, 'epoch': 0.0}
{'loss': 2.1796, 'grad_norm': 5.667613506317139, 'learning_rate': 4.123711340206186e-07, 'epoch': 0.0}
{'loss': 2.3028, 'grad_norm': 4.470151901245117, 'learning_rate': 5.154639175257732e-07, 'epoch': 0.0}
{'loss': 2.2141, 'grad_norm': 5.322467803955078, 'learning_rate': 6.185567010309279e-07, 'epoch': 0.0}
{'loss': 2.1058, 'grad_norm': 4.725509166717529, 'learning_rate': 7.216494845360824e-07, 'epoch': 0.0}
{'loss': 2.1784, 'grad_norm': 4.750789642333984, 'learning_rate': 8.247422680412372e-07, 'epoch': 0.0}
{'loss': 2.1748, 'grad_norm': 4.640056133270264, 'learning_rate': 9.278350515463919e-07, 'epoch': 0.0}
{'loss': 2.2753, 'grad_norm': 4.477511405944824, 'learning_rate': 1.0309278350515464e-06, 'epoch': 0.01}
{'loss': 2.0705, 'grad_norm': 6.047506332397461, 'learning_rate': 1.134020618556701e-06, 'epoch': 0.01}
{'loss': 2.1906, 'grad_norm': 7.144472599029541, 'learning_rate': 1.2371134020618557e-06, 'epoch': 0.01}
{'loss': 1.9075, 'grad_norm': 4.155629634857178, 'learning_rate': 1.3402061855670104e-06, 'epoch': 0.01}
{'loss': 2.1639, 'grad_norm': 4.4797515869140625, 'learning_rate': 1.4432989690721649e-06, 'epoch': 0.01}
{'loss': 2.0076, 'grad_norm': 3.397744655609131, 'learning_rate': 1.5463917525773197e-06, 'epoch': 0.01}
{'loss': 1.9793, 'grad_norm': 4.175375938415527, 'learning_rate': 1.6494845360824744e-06, 'epoch': 0.01}
{'loss': 2.2009, 'grad_norm': 5.980474948883057, 'learning_rate': 1.7525773195876288e-06, 'epoch': 0.01}
{'loss': 2.1507, 'grad_norm': 5.159570217132568, 'learning_rate': 1.8556701030927837e-06, 'epoch': 0.01}
{'loss': 2.1734, 'grad_norm': 3.2319469451904297, 'learning_rate': 1.9587628865979384e-06, 'epoch': 0.01}
{'loss': 2.0108, 'grad_norm': 4.014079570770264, 'learning_rate': 2.061855670103093e-06, 'epoch': 0.01}
{'loss': 2.1389, 'grad_norm': 4.463852882385254, 'learning_rate': 2.1649484536082477e-06, 'epoch': 0.01}
{'loss': 2.2893, 'grad_norm': 3.7019267082214355, 'learning_rate': 2.268041237113402e-06, 'epoch': 0.01}
{'loss': 2.2037, 'grad_norm': 3.1942806243896484, 'learning_rate': 2.3711340206185566e-06, 'epoch': 0.01}
{'loss': 2.1116, 'grad_norm': 3.1400868892669678, 'learning_rate': 2.4742268041237115e-06, 'epoch': 0.01}
{'loss': 2.0925, 'grad_norm': 3.248419761657715, 'learning_rate': 2.577319587628866e-06, 'epoch': 0.01}
{'loss': 2.0512, 'grad_norm': 4.508918285369873, 'learning_rate': 2.680412371134021e-06, 'epoch': 0.01}
