                                                                                                                                                      
{'loss': 2.054, 'grad_norm': 4.747939109802246, 'learning_rate': 1.0752688172043012e-07, 'epoch': 0.0}
{'loss': 2.0951, 'grad_norm': 3.7584762573242188, 'learning_rate': 2.1505376344086024e-07, 'epoch': 0.0}
{'loss': 2.1356, 'grad_norm': 5.413768291473389, 'learning_rate': 3.2258064516129035e-07, 'epoch': 0.0}
{'loss': 2.0852, 'grad_norm': 3.4924840927124023, 'learning_rate': 4.301075268817205e-07, 'epoch': 0.0}
{'loss': 2.2048, 'grad_norm': 4.596553325653076, 'learning_rate': 5.376344086021506e-07, 'epoch': 0.0}
{'loss': 2.2136, 'grad_norm': 4.83612060546875, 'learning_rate': 6.451612903225807e-07, 'epoch': 0.0}
{'loss': 2.1019, 'grad_norm': 4.013718128204346, 'learning_rate': 7.526881720430108e-07, 'epoch': 0.0}
{'loss': 2.0575, 'grad_norm': 4.1146697998046875, 'learning_rate': 8.60215053763441e-07, 'epoch': 0.0}
{'loss': 2.0186, 'grad_norm': 4.393880844116211, 'learning_rate': 9.67741935483871e-07, 'epoch': 0.0}
{'loss': 2.1068, 'grad_norm': 5.567285060882568, 'learning_rate': 1.0752688172043011e-06, 'epoch': 0.01}
{'loss': 2.1555, 'grad_norm': 4.762713432312012, 'learning_rate': 1.1827956989247313e-06, 'epoch': 0.01}
{'loss': 1.9857, 'grad_norm': 3.941319465637207, 'learning_rate': 1.2903225806451614e-06, 'epoch': 0.01}
{'loss': 2.0593, 'grad_norm': 3.2659525871276855, 'learning_rate': 1.3978494623655913e-06, 'epoch': 0.01}
{'loss': 2.084, 'grad_norm': 3.5967438220977783, 'learning_rate': 1.5053763440860217e-06, 'epoch': 0.01}
{'loss': 2.06, 'grad_norm': 3.379002332687378, 'learning_rate': 1.6129032258064516e-06, 'epoch': 0.01}
{'loss': 2.1411, 'grad_norm': 3.1789424419403076, 'learning_rate': 1.720430107526882e-06, 'epoch': 0.01}
{'loss': 2.0632, 'grad_norm': 3.1271562576293945, 'learning_rate': 1.827956989247312e-06, 'epoch': 0.01}
{'loss': 2.1165, 'grad_norm': 3.729867935180664, 'learning_rate': 1.935483870967742e-06, 'epoch': 0.01}
{'loss': 2.2232, 'grad_norm': 2.640509843826294, 'learning_rate': 2.043010752688172e-06, 'epoch': 0.01}
{'loss': 2.1081, 'grad_norm': 2.8452131748199463, 'learning_rate': 2.1505376344086023e-06, 'epoch': 0.01}
{'loss': 2.1112, 'grad_norm': 3.124600887298584, 'learning_rate': 2.2580645161290324e-06, 'epoch': 0.01}
{'loss': 2.0216, 'grad_norm': 2.7416141033172607, 'learning_rate': 2.3655913978494625e-06, 'epoch': 0.01}
{'loss': 2.1452, 'grad_norm': 4.828543186187744, 'learning_rate': 2.4731182795698927e-06, 'epoch': 0.01}
{'loss': 2.0092, 'grad_norm': 2.594944477081299, 'learning_rate': 2.580645161290323e-06, 'epoch': 0.01}
{'loss': 2.0221, 'grad_norm': 2.96053147315979, 'learning_rate': 2.688172043010753e-06, 'epoch': 0.01}
{'loss': 2.0273, 'grad_norm': 2.508261203765869, 'learning_rate': 2.7956989247311827e-06, 'epoch': 0.01}
{'loss': 2.0589, 'grad_norm': 2.823532819747925, 'learning_rate': 2.903225806451613e-06, 'epoch': 0.01}
{'loss': 1.9881, 'grad_norm': 2.4864771366119385, 'learning_rate': 3.0107526881720433e-06, 'epoch': 0.02}
{'loss': 2.1554, 'grad_norm': 2.375181198120117, 'learning_rate': 3.1182795698924735e-06, 'epoch': 0.02}
{'loss': 2.0686, 'grad_norm': 3.260436773300171, 'learning_rate': 3.225806451612903e-06, 'epoch': 0.02}
{'loss': 1.912, 'grad_norm': 2.4390602111816406, 'learning_rate': 3.3333333333333333e-06, 'epoch': 0.02}
{'loss': 2.0436, 'grad_norm': 3.0769991874694824, 'learning_rate': 3.440860215053764e-06, 'epoch': 0.02}
{'loss': 2.052, 'grad_norm': 2.4574477672576904, 'learning_rate': 3.548387096774194e-06, 'epoch': 0.02}
{'loss': 2.0792, 'grad_norm': 2.3500313758850098, 'learning_rate': 3.655913978494624e-06, 'epoch': 0.02}
{'loss': 2.2162, 'grad_norm': 2.2114932537078857, 'learning_rate': 3.763440860215054e-06, 'epoch': 0.02}
{'loss': 2.0513, 'grad_norm': 2.218554973602295, 'learning_rate': 3.870967741935484e-06, 'epoch': 0.02}
{'loss': 2.0091, 'grad_norm': 2.438554525375366, 'learning_rate': 3.978494623655914e-06, 'epoch': 0.02}
{'loss': 1.9476, 'grad_norm': 2.3637754917144775, 'learning_rate': 4.086021505376344e-06, 'epoch': 0.02}
{'loss': 2.0242, 'grad_norm': 2.3344080448150635, 'learning_rate': 4.193548387096774e-06, 'epoch': 0.02}
{'loss': 1.9495, 'grad_norm': 2.7185518741607666, 'learning_rate': 4.3010752688172045e-06, 'epoch': 0.02}
{'loss': 2.1555, 'grad_norm': 2.290832281112671, 'learning_rate': 4.408602150537635e-06, 'epoch': 0.02}
{'loss': 2.0177, 'grad_norm': 2.5469064712524414, 'learning_rate': 4.516129032258065e-06, 'epoch': 0.02}
{'loss': 2.0687, 'grad_norm': 2.7529633045196533, 'learning_rate': 4.623655913978495e-06, 'epoch': 0.02}
{'loss': 1.885, 'grad_norm': 2.446413278579712, 'learning_rate': 4.731182795698925e-06, 'epoch': 0.02}
{'loss': 2.0943, 'grad_norm': 2.322101593017578, 'learning_rate': 4.838709677419355e-06, 'epoch': 0.02}
{'loss': 2.0426, 'grad_norm': 2.4519848823547363, 'learning_rate': 4.946236559139785e-06, 'epoch': 0.02}
{'loss': 2.081, 'grad_norm': 2.2864108085632324, 'learning_rate': 5.0537634408602155e-06, 'epoch': 0.03}
{'loss': 2.0717, 'grad_norm': 2.2539002895355225, 'learning_rate': 5.161290322580646e-06, 'epoch': 0.03}
