                                                                                                                                                                                               
{'loss': 2.1554, 'grad_norm': 5.060894012451172, 'learning_rate': 1.0869565217391305e-07, 'epoch': 0.0}
{'loss': 2.0965, 'grad_norm': 4.635460376739502, 'learning_rate': 2.173913043478261e-07, 'epoch': 0.0}
{'loss': 2.2263, 'grad_norm': 3.5882976055145264, 'learning_rate': 3.2608695652173915e-07, 'epoch': 0.0}
{'loss': 2.1559, 'grad_norm': 4.33584451675415, 'learning_rate': 4.347826086956522e-07, 'epoch': 0.0}
{'loss': 2.084, 'grad_norm': 3.5293655395507812, 'learning_rate': 5.434782608695653e-07, 'epoch': 0.0}
{'loss': 2.1582, 'grad_norm': 4.560349941253662, 'learning_rate': 6.521739130434783e-07, 'epoch': 0.0}
{'loss': 2.2175, 'grad_norm': 3.942967176437378, 'learning_rate': 7.608695652173914e-07, 'epoch': 0.0}
{'loss': 2.0542, 'grad_norm': 5.309722423553467, 'learning_rate': 8.695652173913044e-07, 'epoch': 0.0}
{'loss': 2.1927, 'grad_norm': 4.540585041046143, 'learning_rate': 9.782608695652175e-07, 'epoch': 0.0}
{'loss': 2.0426, 'grad_norm': 3.3549416065216064, 'learning_rate': 1.0869565217391306e-06, 'epoch': 0.01}
{'loss': 2.1215, 'grad_norm': 3.5985357761383057, 'learning_rate': 1.1956521739130436e-06, 'epoch': 0.01}
{'loss': 2.1052, 'grad_norm': 3.453289270401001, 'learning_rate': 1.3043478260869566e-06, 'epoch': 0.01}
{'loss': 2.1752, 'grad_norm': 4.204588890075684, 'learning_rate': 1.4130434782608697e-06, 'epoch': 0.01}
{'loss': 2.1589, 'grad_norm': 4.33683443069458, 'learning_rate': 1.521739130434783e-06, 'epoch': 0.01}
{'loss': 2.1202, 'grad_norm': 3.479111671447754, 'learning_rate': 1.6304347826086957e-06, 'epoch': 0.01}
{'loss': 2.0682, 'grad_norm': 2.6212828159332275, 'learning_rate': 1.7391304347826088e-06, 'epoch': 0.01}
{'loss': 2.0599, 'grad_norm': 3.146855592727661, 'learning_rate': 1.8478260869565218e-06, 'epoch': 0.01}
{'loss': 2.1426, 'grad_norm': 3.379693031311035, 'learning_rate': 1.956521739130435e-06, 'epoch': 0.01}
{'loss': 2.1491, 'grad_norm': 3.1661410331726074, 'learning_rate': 2.065217391304348e-06, 'epoch': 0.01}
{'loss': 2.115, 'grad_norm': 3.2736215591430664, 'learning_rate': 2.173913043478261e-06, 'epoch': 0.01}
{'loss': 2.147, 'grad_norm': 2.8975892066955566, 'learning_rate': 2.282608695652174e-06, 'epoch': 0.01}
{'loss': 2.1051, 'grad_norm': 2.781411647796631, 'learning_rate': 2.391304347826087e-06, 'epoch': 0.01}
{'loss': 2.1276, 'grad_norm': 3.0190441608428955, 'learning_rate': 2.5e-06, 'epoch': 0.01}
{'loss': 2.122, 'grad_norm': 2.6042025089263916, 'learning_rate': 2.6086956521739132e-06, 'epoch': 0.01}
{'loss': 2.0447, 'grad_norm': 2.680415153503418, 'learning_rate': 2.7173913043478263e-06, 'epoch': 0.01}
{'loss': 2.1663, 'grad_norm': 2.4709088802337646, 'learning_rate': 2.8260869565217393e-06, 'epoch': 0.01}
{'loss': 2.0662, 'grad_norm': 2.667010545730591, 'learning_rate': 2.9347826086956528e-06, 'epoch': 0.01}
{'loss': 2.0329, 'grad_norm': 2.4165282249450684, 'learning_rate': 3.043478260869566e-06, 'epoch': 0.02}
{'loss': 2.1097, 'grad_norm': 2.8752458095550537, 'learning_rate': 3.152173913043479e-06, 'epoch': 0.02}
{'loss': 2.1324, 'grad_norm': 2.313969135284424, 'learning_rate': 3.2608695652173914e-06, 'epoch': 0.02}
{'loss': 2.1921, 'grad_norm': 2.3077855110168457, 'learning_rate': 3.3695652173913045e-06, 'epoch': 0.02}
{'loss': 2.037, 'grad_norm': 2.310739755630493, 'learning_rate': 3.4782608695652175e-06, 'epoch': 0.02}
{'loss': 1.8704, 'grad_norm': 2.53731107711792, 'learning_rate': 3.5869565217391305e-06, 'epoch': 0.02}
{'loss': 2.013, 'grad_norm': 2.3692007064819336, 'learning_rate': 3.6956521739130436e-06, 'epoch': 0.02}
{'loss': 2.0655, 'grad_norm': 2.38581919670105, 'learning_rate': 3.804347826086957e-06, 'epoch': 0.02}
{'loss': 2.0441, 'grad_norm': 2.296870231628418, 'learning_rate': 3.91304347826087e-06, 'epoch': 0.02}
{'loss': 2.1064, 'grad_norm': 2.333547592163086, 'learning_rate': 4.021739130434783e-06, 'epoch': 0.02}
{'loss': 2.0764, 'grad_norm': 2.1644365787506104, 'learning_rate': 4.130434782608696e-06, 'epoch': 0.02}
{'loss': 1.9553, 'grad_norm': 2.439223051071167, 'learning_rate': 4.239130434782609e-06, 'epoch': 0.02}
{'loss': 2.0475, 'grad_norm': 2.3201351165771484, 'learning_rate': 4.347826086956522e-06, 'epoch': 0.02}
{'loss': 2.0292, 'grad_norm': 2.253354549407959, 'learning_rate': 4.456521739130435e-06, 'epoch': 0.02}
{'loss': 1.9621, 'grad_norm': 2.2902798652648926, 'learning_rate': 4.565217391304348e-06, 'epoch': 0.02}
{'loss': 2.0786, 'grad_norm': 2.1682639122009277, 'learning_rate': 4.673913043478261e-06, 'epoch': 0.02}
{'loss': 1.8726, 'grad_norm': 2.413893222808838, 'learning_rate': 4.782608695652174e-06, 'epoch': 0.02}
{'loss': 2.0578, 'grad_norm': 2.114126682281494, 'learning_rate': 4.891304347826087e-06, 'epoch': 0.02}
{'loss': 2.076, 'grad_norm': 3.5260114669799805, 'learning_rate': 5e-06, 'epoch': 0.03}
{'loss': 2.0267, 'grad_norm': 2.4772756099700928, 'learning_rate': 5.108695652173914e-06, 'epoch': 0.03}
{'loss': 2.0202, 'grad_norm': 2.2203733921051025, 'learning_rate': 5.2173913043478265e-06, 'epoch': 0.03}
{'loss': 2.1184, 'grad_norm': 2.460439920425415, 'learning_rate': 5.3260869565217395e-06, 'epoch': 0.03}
{'loss': 2.0952, 'grad_norm': 2.0925021171569824, 'learning_rate': 5.4347826086956525e-06, 'epoch': 0.03}
{'loss': 1.9961, 'grad_norm': 2.169224739074707, 'learning_rate': 5.543478260869566e-06, 'epoch': 0.03}
{'loss': 2.0426, 'grad_norm': 2.6336350440979004, 'learning_rate': 5.652173913043479e-06, 'epoch': 0.03}
{'loss': 2.0385, 'grad_norm': 2.1468663215637207, 'learning_rate': 5.760869565217392e-06, 'epoch': 0.03}
{'loss': 1.9441, 'grad_norm': 2.2104079723358154, 'learning_rate': 5.8695652173913055e-06, 'epoch': 0.03}
{'loss': 2.0404, 'grad_norm': 2.3016839027404785, 'learning_rate': 5.978260869565218e-06, 'epoch': 0.03}
{'loss': 2.131, 'grad_norm': 2.072390079498291, 'learning_rate': 6.086956521739132e-06, 'epoch': 0.03}
{'loss': 2.0696, 'grad_norm': 2.2070436477661133, 'learning_rate': 6.195652173913044e-06, 'epoch': 0.03}
{'loss': 2.0327, 'grad_norm': 2.1740691661834717, 'learning_rate': 6.304347826086958e-06, 'epoch': 0.03}
{'loss': 2.0926, 'grad_norm': 2.2278826236724854, 'learning_rate': 6.41304347826087e-06, 'epoch': 0.03}
{'loss': 2.0087, 'grad_norm': 2.172016143798828, 'learning_rate': 6.521739130434783e-06, 'epoch': 0.03}
{'loss': 2.1627, 'grad_norm': 2.1229562759399414, 'learning_rate': 6.630434782608696e-06, 'epoch': 0.03}
{'loss': 2.1338, 'grad_norm': 2.3867597579956055, 'learning_rate': 6.739130434782609e-06, 'epoch': 0.03}
{'loss': 2.0725, 'grad_norm': 2.590280294418335, 'learning_rate': 6.847826086956523e-06, 'epoch': 0.03}
{'loss': 1.9602, 'grad_norm': 2.261620044708252, 'learning_rate': 6.956521739130435e-06, 'epoch': 0.03}
{'loss': 2.0727, 'grad_norm': 2.2886898517608643, 'learning_rate': 7.065217391304349e-06, 'epoch': 0.04}
{'loss': 2.0426, 'grad_norm': 2.198622703552246, 'learning_rate': 7.173913043478261e-06, 'epoch': 0.04}
{'loss': 2.1431, 'grad_norm': 2.152078151702881, 'learning_rate': 7.282608695652175e-06, 'epoch': 0.04}
{'loss': 1.9917, 'grad_norm': 2.4469757080078125, 'learning_rate': 7.391304347826087e-06, 'epoch': 0.04}
{'loss': 1.9355, 'grad_norm': 2.2254817485809326, 'learning_rate': 7.500000000000001e-06, 'epoch': 0.04}
{'loss': 2.0987, 'grad_norm': 2.409944772720337, 'learning_rate': 7.608695652173914e-06, 'epoch': 0.04}
{'loss': 2.0776, 'grad_norm': 2.4307496547698975, 'learning_rate': 7.717391304347827e-06, 'epoch': 0.04}
{'loss': 1.9479, 'grad_norm': 2.316215753555298, 'learning_rate': 7.82608695652174e-06, 'epoch': 0.04}
{'loss': 1.8908, 'grad_norm': 2.4461147785186768, 'learning_rate': 7.934782608695653e-06, 'epoch': 0.04}
{'loss': 2.147, 'grad_norm': 2.1460139751434326, 'learning_rate': 8.043478260869566e-06, 'epoch': 0.04}
{'loss': 1.9723, 'grad_norm': 2.1950082778930664, 'learning_rate': 8.15217391304348e-06, 'epoch': 0.04}
{'loss': 2.0673, 'grad_norm': 2.176633596420288, 'learning_rate': 8.260869565217392e-06, 'epoch': 0.04}
{'loss': 1.9639, 'grad_norm': 2.105071544647217, 'learning_rate': 8.369565217391305e-06, 'epoch': 0.04}
{'loss': 1.9793, 'grad_norm': 2.219034433364868, 'learning_rate': 8.478260869565218e-06, 'epoch': 0.04}
{'loss': 2.2263, 'grad_norm': 2.226104497909546, 'learning_rate': 8.586956521739131e-06, 'epoch': 0.04}
{'loss': 2.0246, 'grad_norm': 2.3404245376586914, 'learning_rate': 8.695652173913044e-06, 'epoch': 0.04}
{'loss': 2.034, 'grad_norm': 2.382852554321289, 'learning_rate': 8.804347826086957e-06, 'epoch': 0.04}
{'loss': 1.9963, 'grad_norm': 2.294996738433838, 'learning_rate': 8.91304347826087e-06, 'epoch': 0.04}
{'loss': 2.0405, 'grad_norm': 2.13088059425354, 'learning_rate': 9.021739130434784e-06, 'epoch': 0.05}
{'loss': 2.0693, 'grad_norm': 2.1211349964141846, 'learning_rate': 9.130434782608697e-06, 'epoch': 0.05}
{'loss': 2.1029, 'grad_norm': 2.122802257537842, 'learning_rate': 9.23913043478261e-06, 'epoch': 0.05}
{'loss': 2.001, 'grad_norm': 2.2049968242645264, 'learning_rate': 9.347826086956523e-06, 'epoch': 0.05}
{'loss': 2.0977, 'grad_norm': 2.270014524459839, 'learning_rate': 9.456521739130436e-06, 'epoch': 0.05}
{'loss': 2.0538, 'grad_norm': 2.1822166442871094, 'learning_rate': 9.565217391304349e-06, 'epoch': 0.05}
{'loss': 2.1387, 'grad_norm': 2.207155466079712, 'learning_rate': 9.673913043478262e-06, 'epoch': 0.05}
{'loss': 2.0834, 'grad_norm': 2.209887742996216, 'learning_rate': 9.782608695652175e-06, 'epoch': 0.05}
{'loss': 1.9812, 'grad_norm': 2.6227335929870605, 'learning_rate': 9.891304347826088e-06, 'epoch': 0.05}
{'loss': 2.1063, 'grad_norm': 2.270383358001709, 'learning_rate': 1e-05, 'epoch': 0.05}
{'loss': 2.1018, 'grad_norm': 2.1494948863983154, 'learning_rate': 9.999991906224424e-06, 'epoch': 0.05}
{'loss': 1.9532, 'grad_norm': 2.1723222732543945, 'learning_rate': 9.999967624923899e-06, 'epoch': 0.05}
{'loss': 2.0034, 'grad_norm': 2.2046120166778564, 'learning_rate': 9.999927156177032e-06, 'epoch': 0.05}
{'loss': 2.0904, 'grad_norm': 2.2660655975341797, 'learning_rate': 9.999870500114847e-06, 'epoch': 0.05}
{'loss': 1.989, 'grad_norm': 2.2579569816589355, 'learning_rate': 9.999797656920765e-06, 'epoch': 0.05}
{'loss': 1.9261, 'grad_norm': 2.08939266204834, 'learning_rate': 9.999708626830617e-06, 'epoch': 0.05}
{'loss': 1.9015, 'grad_norm': 2.297743082046509, 'learning_rate': 9.999603410132641e-06, 'epoch': 0.05}
{'loss': 2.0408, 'grad_norm': 2.2874643802642822, 'learning_rate': 9.999482007167473e-06, 'epoch': 0.05}
{'loss': 2.0454, 'grad_norm': 3.1957969665527344, 'learning_rate': 9.999344418328161e-06, 'epoch': 0.05}
{'loss': 1.974, 'grad_norm': 2.4107770919799805, 'learning_rate': 9.999190644060148e-06, 'epoch': 0.06}
{'loss': 2.1832, 'grad_norm': 2.151482582092285, 'learning_rate': 9.999020684861278e-06, 'epoch': 0.06}
{'loss': 2.0645, 'grad_norm': 2.892489194869995, 'learning_rate': 9.998834541281798e-06, 'epoch': 0.06}
{'loss': 2.144, 'grad_norm': 2.338329315185547, 'learning_rate': 9.998632213924351e-06, 'epoch': 0.06}
{'loss': 2.0381, 'grad_norm': 2.2325727939605713, 'learning_rate': 9.99841370344397e-06, 'epoch': 0.06}
{'loss': 2.0282, 'grad_norm': 2.3066787719726562, 'learning_rate': 9.998179010548087e-06, 'epoch': 0.06}
{'loss': 2.0562, 'grad_norm': 2.3963088989257812, 'learning_rate': 9.997928135996525e-06, 'epoch': 0.06}
{'loss': 2.0374, 'grad_norm': 2.2584877014160156, 'learning_rate': 9.997661080601488e-06, 'epoch': 0.06}
{'loss': 1.9348, 'grad_norm': 2.4351892471313477, 'learning_rate': 9.997377845227577e-06, 'epoch': 0.06}
{'loss': 2.0536, 'grad_norm': 2.4865400791168213, 'learning_rate': 9.997078430791761e-06, 'epoch': 0.06}
