                                                                                                                                                                                               
{'loss': 1.8979, 'grad_norm': 9.1990327835083, 'learning_rate': 1.4492753623188408e-07, 'epoch': 0.0}
{'loss': 1.7265, 'grad_norm': 11.712822914123535, 'learning_rate': 2.8985507246376816e-07, 'epoch': 0.0}
{'loss': 1.7192, 'grad_norm': 9.243807792663574, 'learning_rate': 4.347826086956522e-07, 'epoch': 0.0}
{'loss': 1.8562, 'grad_norm': 10.490045547485352, 'learning_rate': 5.797101449275363e-07, 'epoch': 0.0}
{'loss': 1.9113, 'grad_norm': 8.777751922607422, 'learning_rate': 7.246376811594204e-07, 'epoch': 0.0}
{'loss': 1.8085, 'grad_norm': 10.668490409851074, 'learning_rate': 8.695652173913044e-07, 'epoch': 0.0}
{'loss': 1.7792, 'grad_norm': 7.31687593460083, 'learning_rate': 1.0144927536231885e-06, 'epoch': 0.01}
{'loss': 1.7035, 'grad_norm': 7.42741584777832, 'learning_rate': 1.1594202898550726e-06, 'epoch': 0.01}
{'loss': 1.7349, 'grad_norm': 6.78722620010376, 'learning_rate': 1.3043478260869566e-06, 'epoch': 0.01}
{'loss': 1.7275, 'grad_norm': 6.589447021484375, 'learning_rate': 1.4492753623188408e-06, 'epoch': 0.01}
{'loss': 1.7452, 'grad_norm': 6.33881950378418, 'learning_rate': 1.5942028985507246e-06, 'epoch': 0.01}
{'loss': 1.8161, 'grad_norm': 6.507486820220947, 'learning_rate': 1.7391304347826088e-06, 'epoch': 0.01}
{'loss': 1.7716, 'grad_norm': 6.4169535636901855, 'learning_rate': 1.884057971014493e-06, 'epoch': 0.01}
{'loss': 1.8185, 'grad_norm': 6.514773845672607, 'learning_rate': 2.028985507246377e-06, 'epoch': 0.01}
{'loss': 1.6893, 'grad_norm': 6.989473819732666, 'learning_rate': 2.173913043478261e-06, 'epoch': 0.01}
{'loss': 1.7407, 'grad_norm': 6.294048309326172, 'learning_rate': 2.3188405797101453e-06, 'epoch': 0.01}
{'loss': 1.8169, 'grad_norm': 6.297228813171387, 'learning_rate': 2.4637681159420295e-06, 'epoch': 0.01}
