                                                                                                                                                                                               
{'loss': 1.7631, 'grad_norm': 10.05614185333252, 'learning_rate': 1.3888888888888888e-07, 'epoch': 0.0}
{'loss': 1.8428, 'grad_norm': 9.442890167236328, 'learning_rate': 2.7777777777777776e-07, 'epoch': 0.0}
{'loss': 1.7809, 'grad_norm': 8.579679489135742, 'learning_rate': 4.1666666666666667e-07, 'epoch': 0.0}
{'loss': 1.8755, 'grad_norm': 7.50676965713501, 'learning_rate': 5.555555555555555e-07, 'epoch': 0.0}
{'loss': 1.714, 'grad_norm': 9.082758903503418, 'learning_rate': 6.944444444444446e-07, 'epoch': 0.0}
{'loss': 1.738, 'grad_norm': 10.050415992736816, 'learning_rate': 8.333333333333333e-07, 'epoch': 0.0}
{'loss': 1.8228, 'grad_norm': 7.837038993835449, 'learning_rate': 9.722222222222224e-07, 'epoch': 0.0}
{'loss': 1.7421, 'grad_norm': 8.31820011138916, 'learning_rate': 1.111111111111111e-06, 'epoch': 0.01}
{'loss': 1.7084, 'grad_norm': 7.33823299407959, 'learning_rate': 1.25e-06, 'epoch': 0.01}
{'loss': 1.6459, 'grad_norm': 6.661363124847412, 'learning_rate': 1.3888888888888892e-06, 'epoch': 0.01}
{'loss': 1.6702, 'grad_norm': 7.070046901702881, 'learning_rate': 1.527777777777778e-06, 'epoch': 0.01}
{'loss': 1.9191, 'grad_norm': 6.971877098083496, 'learning_rate': 1.6666666666666667e-06, 'epoch': 0.01}
{'loss': 1.7882, 'grad_norm': 6.468347072601318, 'learning_rate': 1.8055555555555557e-06, 'epoch': 0.01}
{'loss': 1.8773, 'grad_norm': 6.332449436187744, 'learning_rate': 1.944444444444445e-06, 'epoch': 0.01}
{'loss': 1.7966, 'grad_norm': 6.76472282409668, 'learning_rate': 2.0833333333333334e-06, 'epoch': 0.01}
{'loss': 1.69, 'grad_norm': 6.0420989990234375, 'learning_rate': 2.222222222222222e-06, 'epoch': 0.01}
{'loss': 1.8212, 'grad_norm': 6.425724983215332, 'learning_rate': 2.361111111111111e-06, 'epoch': 0.01}
{'loss': 1.8469, 'grad_norm': 6.159590721130371, 'learning_rate': 2.5e-06, 'epoch': 0.01}
{'loss': 1.714, 'grad_norm': 6.163901329040527, 'learning_rate': 2.6388888888888893e-06, 'epoch': 0.01}
{'loss': 1.6798, 'grad_norm': 6.555008888244629, 'learning_rate': 2.7777777777777783e-06, 'epoch': 0.01}
{'loss': 1.8053, 'grad_norm': 6.207200050354004, 'learning_rate': 2.916666666666667e-06, 'epoch': 0.01}
{'loss': 1.6583, 'grad_norm': 6.263239860534668, 'learning_rate': 3.055555555555556e-06, 'epoch': 0.02}
{'loss': 1.6242, 'grad_norm': 5.985281467437744, 'learning_rate': 3.1944444444444443e-06, 'epoch': 0.02}
{'loss': 1.643, 'grad_norm': 6.55257511138916, 'learning_rate': 3.3333333333333333e-06, 'epoch': 0.02}
{'loss': 1.7074, 'grad_norm': 5.604826927185059, 'learning_rate': 3.4722222222222224e-06, 'epoch': 0.02}
{'loss': 1.7356, 'grad_norm': 6.042325973510742, 'learning_rate': 3.6111111111111115e-06, 'epoch': 0.02}
{'loss': 1.8237, 'grad_norm': 6.37226676940918, 'learning_rate': 3.7500000000000005e-06, 'epoch': 0.02}
{'loss': 1.7164, 'grad_norm': 6.987195014953613, 'learning_rate': 3.88888888888889e-06, 'epoch': 0.02}
{'loss': 1.7286, 'grad_norm': 5.614495754241943, 'learning_rate': 4.027777777777779e-06, 'epoch': 0.02}
{'loss': 1.6545, 'grad_norm': 6.517977237701416, 'learning_rate': 4.166666666666667e-06, 'epoch': 0.02}
{'loss': 1.7919, 'grad_norm': 6.007668495178223, 'learning_rate': 4.305555555555556e-06, 'epoch': 0.02}
{'loss': 1.8051, 'grad_norm': 5.981022834777832, 'learning_rate': 4.444444444444444e-06, 'epoch': 0.02}
{'loss': 1.7291, 'grad_norm': 6.188224792480469, 'learning_rate': 4.583333333333333e-06, 'epoch': 0.02}
{'loss': 1.7155, 'grad_norm': 6.0814032554626465, 'learning_rate': 4.722222222222222e-06, 'epoch': 0.02}
