                                                                                                                                                                                               
{'loss': 2.1022, 'grad_norm': 8.208251953125, 'learning_rate': 1.639344262295082e-07, 'epoch': 0.0}
{'loss': 2.2231, 'grad_norm': 8.17562198638916, 'learning_rate': 3.278688524590164e-07, 'epoch': 0.0}
{'loss': 2.1092, 'grad_norm': 4.6154327392578125, 'learning_rate': 4.918032786885246e-07, 'epoch': 0.0}
{'loss': 2.2774, 'grad_norm': 7.571186065673828, 'learning_rate': 6.557377049180328e-07, 'epoch': 0.0}
{'loss': 2.1414, 'grad_norm': 6.489134788513184, 'learning_rate': 8.196721311475409e-07, 'epoch': 0.0}
{'loss': 1.9524, 'grad_norm': 6.4916863441467285, 'learning_rate': 9.836065573770493e-07, 'epoch': 0.0}
{'loss': 2.1017, 'grad_norm': 8.207866668701172, 'learning_rate': 1.1475409836065575e-06, 'epoch': 0.01}
{'loss': 1.9719, 'grad_norm': 12.236181259155273, 'learning_rate': 1.3114754098360657e-06, 'epoch': 0.01}
{'loss': 2.0672, 'grad_norm': 4.813673496246338, 'learning_rate': 1.4754098360655739e-06, 'epoch': 0.01}
{'loss': 2.2642, 'grad_norm': 12.09156322479248, 'learning_rate': 1.6393442622950819e-06, 'epoch': 0.01}
{'loss': 2.0245, 'grad_norm': 3.8799915313720703, 'learning_rate': 1.8032786885245903e-06, 'epoch': 0.01}
{'loss': 2.1784, 'grad_norm': 6.404465198516846, 'learning_rate': 1.9672131147540985e-06, 'epoch': 0.01}
{'loss': 2.183, 'grad_norm': 8.57099437713623, 'learning_rate': 2.1311475409836067e-06, 'epoch': 0.01}
{'loss': 2.0851, 'grad_norm': 4.917788982391357, 'learning_rate': 2.295081967213115e-06, 'epoch': 0.01}
{'loss': 2.1505, 'grad_norm': 8.671252250671387, 'learning_rate': 2.459016393442623e-06, 'epoch': 0.01}
{'loss': 2.1547, 'grad_norm': 3.4743032455444336, 'learning_rate': 2.6229508196721314e-06, 'epoch': 0.01}
{'loss': 2.0339, 'grad_norm': 4.2118916511535645, 'learning_rate': 2.786885245901639e-06, 'epoch': 0.01}
{'loss': 2.1406, 'grad_norm': 3.6888792514801025, 'learning_rate': 2.9508196721311478e-06, 'epoch': 0.01}
{'loss': 2.0365, 'grad_norm': 3.2663495540618896, 'learning_rate': 3.114754098360656e-06, 'epoch': 0.02}
{'loss': 2.0917, 'grad_norm': 3.9749693870544434, 'learning_rate': 3.2786885245901638e-06, 'epoch': 0.02}
{'loss': 1.9507, 'grad_norm': 2.4541356563568115, 'learning_rate': 3.4426229508196724e-06, 'epoch': 0.02}
{'loss': 1.9788, 'grad_norm': 3.196131706237793, 'learning_rate': 3.6065573770491806e-06, 'epoch': 0.02}
{'loss': 2.0387, 'grad_norm': 2.6220951080322266, 'learning_rate': 3.7704918032786884e-06, 'epoch': 0.02}
{'loss': 2.0633, 'grad_norm': 2.4123690128326416, 'learning_rate': 3.934426229508197e-06, 'epoch': 0.02}
{'loss': 2.1013, 'grad_norm': 2.638187885284424, 'learning_rate': 4.098360655737705e-06, 'epoch': 0.02}
{'loss': 2.1521, 'grad_norm': 2.470655918121338, 'learning_rate': 4.2622950819672135e-06, 'epoch': 0.02}
{'loss': 2.09, 'grad_norm': 2.610816717147827, 'learning_rate': 4.426229508196722e-06, 'epoch': 0.02}
{'loss': 1.9788, 'grad_norm': 2.8738646507263184, 'learning_rate': 4.59016393442623e-06, 'epoch': 0.02}
{'loss': 2.1019, 'grad_norm': 2.525151491165161, 'learning_rate': 4.754098360655738e-06, 'epoch': 0.02}
{'loss': 2.1994, 'grad_norm': 2.4866373538970947, 'learning_rate': 4.918032786885246e-06, 'epoch': 0.02}
{'loss': 2.093, 'grad_norm': 2.1800081729888916, 'learning_rate': 5.0819672131147545e-06, 'epoch': 0.03}
{'loss': 1.9256, 'grad_norm': 2.5367612838745117, 'learning_rate': 5.245901639344263e-06, 'epoch': 0.03}
{'loss': 2.1274, 'grad_norm': 2.5139360427856445, 'learning_rate': 5.409836065573772e-06, 'epoch': 0.03}
{'loss': 1.934, 'grad_norm': 2.4826738834381104, 'learning_rate': 5.573770491803278e-06, 'epoch': 0.03}
{'loss': 2.0276, 'grad_norm': 2.3970632553100586, 'learning_rate': 5.737704918032787e-06, 'epoch': 0.03}
{'loss': 1.9313, 'grad_norm': 2.301265239715576, 'learning_rate': 5.9016393442622956e-06, 'epoch': 0.03}
{'loss': 2.1273, 'grad_norm': 2.437382698059082, 'learning_rate': 6.065573770491804e-06, 'epoch': 0.03}
{'loss': 2.1457, 'grad_norm': 2.5318307876586914, 'learning_rate': 6.229508196721312e-06, 'epoch': 0.03}
{'loss': 2.0116, 'grad_norm': 2.46207857131958, 'learning_rate': 6.393442622950821e-06, 'epoch': 0.03}
{'loss': 2.1574, 'grad_norm': 2.4535887241363525, 'learning_rate': 6.5573770491803276e-06, 'epoch': 0.03}
{'loss': 2.0676, 'grad_norm': 2.452867269515991, 'learning_rate': 6.721311475409837e-06, 'epoch': 0.03}
{'loss': 2.0926, 'grad_norm': 2.5899271965026855, 'learning_rate': 6.885245901639345e-06, 'epoch': 0.03}
{'loss': 2.0029, 'grad_norm': 2.616323947906494, 'learning_rate': 7.049180327868853e-06, 'epoch': 0.04}
{'loss': 2.0902, 'grad_norm': 2.297163248062134, 'learning_rate': 7.213114754098361e-06, 'epoch': 0.04}
{'loss': 1.9714, 'grad_norm': 2.2380058765411377, 'learning_rate': 7.3770491803278695e-06, 'epoch': 0.04}
{'loss': 2.0657, 'grad_norm': 2.365060806274414, 'learning_rate': 7.540983606557377e-06, 'epoch': 0.04}
{'loss': 1.95, 'grad_norm': 2.3217153549194336, 'learning_rate': 7.704918032786886e-06, 'epoch': 0.04}
{'loss': 2.0712, 'grad_norm': 2.2590208053588867, 'learning_rate': 7.868852459016394e-06, 'epoch': 0.04}
{'loss': 2.0637, 'grad_norm': 2.4188687801361084, 'learning_rate': 8.032786885245902e-06, 'epoch': 0.04}
{'loss': 2.036, 'grad_norm': 2.3308022022247314, 'learning_rate': 8.19672131147541e-06, 'epoch': 0.04}
{'loss': 2.0819, 'grad_norm': 2.431558847427368, 'learning_rate': 8.360655737704919e-06, 'epoch': 0.04}
{'loss': 2.1286, 'grad_norm': 2.529839515686035, 'learning_rate': 8.524590163934427e-06, 'epoch': 0.04}
