                                                                                                                                                                                               
{'loss': 2.1416, 'grad_norm': 4.578077793121338, 'learning_rate': 1.098901098901099e-07, 'epoch': 0.0}
{'loss': 2.0628, 'grad_norm': 7.355960369110107, 'learning_rate': 2.197802197802198e-07, 'epoch': 0.0}
{'loss': 2.1822, 'grad_norm': 15.594268798828125, 'learning_rate': 3.296703296703297e-07, 'epoch': 0.0}
{'loss': 2.1271, 'grad_norm': 5.555229187011719, 'learning_rate': 4.395604395604396e-07, 'epoch': 0.0}
{'loss': 2.0768, 'grad_norm': 5.091890335083008, 'learning_rate': 5.494505494505495e-07, 'epoch': 0.0}
{'loss': 2.1993, 'grad_norm': 5.9482879638671875, 'learning_rate': 6.593406593406594e-07, 'epoch': 0.0}
{'loss': 2.1121, 'grad_norm': 7.487376689910889, 'learning_rate': 7.692307692307694e-07, 'epoch': 0.0}
{'loss': 2.2322, 'grad_norm': 4.860698699951172, 'learning_rate': 8.791208791208792e-07, 'epoch': 0.0}
{'loss': 2.1339, 'grad_norm': 8.889982223510742, 'learning_rate': 9.890109890109891e-07, 'epoch': 0.0}
{'loss': 1.9017, 'grad_norm': 4.412134647369385, 'learning_rate': 1.098901098901099e-06, 'epoch': 0.01}
{'loss': 2.1342, 'grad_norm': 10.756800651550293, 'learning_rate': 1.2087912087912089e-06, 'epoch': 0.01}
{'loss': 2.1737, 'grad_norm': 10.198627471923828, 'learning_rate': 1.3186813186813187e-06, 'epoch': 0.01}
{'loss': 2.1128, 'grad_norm': 11.382458686828613, 'learning_rate': 1.4285714285714286e-06, 'epoch': 0.01}
{'loss': 2.0165, 'grad_norm': 5.246456623077393, 'learning_rate': 1.5384615384615387e-06, 'epoch': 0.01}
{'loss': 2.1437, 'grad_norm': 4.986183166503906, 'learning_rate': 1.6483516483516484e-06, 'epoch': 0.01}
{'loss': 2.0906, 'grad_norm': 11.317728996276855, 'learning_rate': 1.7582417582417585e-06, 'epoch': 0.01}
{'loss': 2.1529, 'grad_norm': 9.597381591796875, 'learning_rate': 1.8681318681318684e-06, 'epoch': 0.01}
{'loss': 2.2337, 'grad_norm': 9.417922973632812, 'learning_rate': 1.9780219780219782e-06, 'epoch': 0.01}
{'loss': 2.0124, 'grad_norm': 4.637948513031006, 'learning_rate': 2.0879120879120883e-06, 'epoch': 0.01}
{'loss': 2.1244, 'grad_norm': 3.3987817764282227, 'learning_rate': 2.197802197802198e-06, 'epoch': 0.01}
{'loss': 2.0407, 'grad_norm': 3.4544129371643066, 'learning_rate': 2.307692307692308e-06, 'epoch': 0.01}
{'loss': 2.1596, 'grad_norm': 3.8048794269561768, 'learning_rate': 2.4175824175824177e-06, 'epoch': 0.01}
{'loss': 2.0501, 'grad_norm': 4.708798408508301, 'learning_rate': 2.5274725274725274e-06, 'epoch': 0.01}
{'loss': 1.8035, 'grad_norm': 3.424172878265381, 'learning_rate': 2.6373626373626375e-06, 'epoch': 0.01}
{'loss': 2.1669, 'grad_norm': 4.25369930267334, 'learning_rate': 2.7472527472527476e-06, 'epoch': 0.01}
{'loss': 2.0741, 'grad_norm': 3.160677671432495, 'learning_rate': 2.8571428571428573e-06, 'epoch': 0.01}
{'loss': 2.0705, 'grad_norm': 3.252232551574707, 'learning_rate': 2.9670329670329673e-06, 'epoch': 0.01}
{'loss': 2.1076, 'grad_norm': 2.6122984886169434, 'learning_rate': 3.0769230769230774e-06, 'epoch': 0.02}
{'loss': 2.1941, 'grad_norm': 2.5644304752349854, 'learning_rate': 3.1868131868131867e-06, 'epoch': 0.02}
{'loss': 2.0355, 'grad_norm': 2.7138359546661377, 'learning_rate': 3.2967032967032968e-06, 'epoch': 0.02}
{'loss': 2.1076, 'grad_norm': 2.909484624862671, 'learning_rate': 3.406593406593407e-06, 'epoch': 0.02}
{'loss': 2.1318, 'grad_norm': 2.8577239513397217, 'learning_rate': 3.516483516483517e-06, 'epoch': 0.02}
{'loss': 1.9253, 'grad_norm': 2.398979425430298, 'learning_rate': 3.6263736263736266e-06, 'epoch': 0.02}
{'loss': 2.0408, 'grad_norm': 2.268789052963257, 'learning_rate': 3.7362637362637367e-06, 'epoch': 0.02}
{'loss': 2.1069, 'grad_norm': 2.536926507949829, 'learning_rate': 3.846153846153847e-06, 'epoch': 0.02}
{'loss': 2.0853, 'grad_norm': 2.5171873569488525, 'learning_rate': 3.9560439560439565e-06, 'epoch': 0.02}
{'loss': 2.213, 'grad_norm': 2.2126450538635254, 'learning_rate': 4.065934065934066e-06, 'epoch': 0.02}
{'loss': 2.0702, 'grad_norm': 2.4827847480773926, 'learning_rate': 4.175824175824177e-06, 'epoch': 0.02}
{'loss': 1.9558, 'grad_norm': 2.4308903217315674, 'learning_rate': 4.2857142857142855e-06, 'epoch': 0.02}
{'loss': 2.1626, 'grad_norm': 3.397718906402588, 'learning_rate': 4.395604395604396e-06, 'epoch': 0.02}
{'loss': 2.0739, 'grad_norm': 2.9085299968719482, 'learning_rate': 4.505494505494506e-06, 'epoch': 0.02}
{'loss': 1.9554, 'grad_norm': 2.976363182067871, 'learning_rate': 4.615384615384616e-06, 'epoch': 0.02}
{'loss': 2.0739, 'grad_norm': 2.338606119155884, 'learning_rate': 4.725274725274726e-06, 'epoch': 0.02}
{'loss': 2.1165, 'grad_norm': 2.4728200435638428, 'learning_rate': 4.8351648351648355e-06, 'epoch': 0.02}
