                                                                                                                                                      
{'loss': 1.8585, 'grad_norm': 9.24535083770752, 'learning_rate': 1.234567901234568e-07, 'epoch': 0.0}
{'loss': 1.8402, 'grad_norm': 9.644959449768066, 'learning_rate': 2.469135802469136e-07, 'epoch': 0.0}
{'loss': 1.8205, 'grad_norm': 10.078418731689453, 'learning_rate': 3.7037037037037036e-07, 'epoch': 0.0}
{'loss': 1.809, 'grad_norm': 11.068731307983398, 'learning_rate': 4.938271604938272e-07, 'epoch': 0.0}
{'loss': 1.8511, 'grad_norm': 9.071124076843262, 'learning_rate': 6.17283950617284e-07, 'epoch': 0.0}
{'loss': 1.8299, 'grad_norm': 8.982269287109375, 'learning_rate': 7.407407407407407e-07, 'epoch': 0.0}
{'loss': 1.7218, 'grad_norm': 9.476950645446777, 'learning_rate': 8.641975308641976e-07, 'epoch': 0.0}
{'loss': 1.7803, 'grad_norm': 6.723978042602539, 'learning_rate': 9.876543209876544e-07, 'epoch': 0.0}
{'loss': 1.7386, 'grad_norm': 7.080381870269775, 'learning_rate': 1.111111111111111e-06, 'epoch': 0.01}
{'loss': 1.7344, 'grad_norm': 8.05758285522461, 'learning_rate': 1.234567901234568e-06, 'epoch': 0.01}
{'loss': 1.728, 'grad_norm': 6.558333396911621, 'learning_rate': 1.3580246913580248e-06, 'epoch': 0.01}
{'loss': 1.7718, 'grad_norm': 6.711026668548584, 'learning_rate': 1.4814814814814815e-06, 'epoch': 0.01}
{'loss': 1.7834, 'grad_norm': 6.6469926834106445, 'learning_rate': 1.6049382716049383e-06, 'epoch': 0.01}
{'loss': 1.7354, 'grad_norm': 7.3774237632751465, 'learning_rate': 1.7283950617283952e-06, 'epoch': 0.01}
{'loss': 1.6796, 'grad_norm': 6.562958717346191, 'learning_rate': 1.8518518518518519e-06, 'epoch': 0.01}
{'loss': 1.6925, 'grad_norm': 7.112438201904297, 'learning_rate': 1.9753086419753087e-06, 'epoch': 0.01}
{'loss': 1.8012, 'grad_norm': 7.699057102203369, 'learning_rate': 2.0987654320987654e-06, 'epoch': 0.01}
{'loss': 1.7462, 'grad_norm': 6.93705940246582, 'learning_rate': 2.222222222222222e-06, 'epoch': 0.01}
{'loss': 1.6432, 'grad_norm': 9.778188705444336, 'learning_rate': 2.345679012345679e-06, 'epoch': 0.01}
{'loss': 1.7089, 'grad_norm': 6.432819366455078, 'learning_rate': 2.469135802469136e-06, 'epoch': 0.01}
{'loss': 1.7925, 'grad_norm': 6.054001331329346, 'learning_rate': 2.5925925925925925e-06, 'epoch': 0.01}
{'loss': 1.8185, 'grad_norm': 6.26724100112915, 'learning_rate': 2.7160493827160496e-06, 'epoch': 0.01}
{'loss': 1.749, 'grad_norm': 6.324010372161865, 'learning_rate': 2.8395061728395062e-06, 'epoch': 0.01}
{'loss': 1.8875, 'grad_norm': 7.974362850189209, 'learning_rate': 2.962962962962963e-06, 'epoch': 0.01}
{'loss': 1.7175, 'grad_norm': 7.569316864013672, 'learning_rate': 3.08641975308642e-06, 'epoch': 0.02}
{'loss': 1.6841, 'grad_norm': 7.53557825088501, 'learning_rate': 3.2098765432098767e-06, 'epoch': 0.02}
{'loss': 1.8163, 'grad_norm': 6.02544641494751, 'learning_rate': 3.3333333333333333e-06, 'epoch': 0.02}
{'loss': 1.7507, 'grad_norm': 6.04439640045166, 'learning_rate': 3.4567901234567904e-06, 'epoch': 0.02}
{'loss': 1.6639, 'grad_norm': 5.980334281921387, 'learning_rate': 3.580246913580247e-06, 'epoch': 0.02}
{'loss': 1.6887, 'grad_norm': 7.304034233093262, 'learning_rate': 3.7037037037037037e-06, 'epoch': 0.02}
{'loss': 1.7938, 'grad_norm': 5.812776565551758, 'learning_rate': 3.827160493827161e-06, 'epoch': 0.02}
{'loss': 1.7311, 'grad_norm': 5.9777445793151855, 'learning_rate': 3.9506172839506175e-06, 'epoch': 0.02}
{'loss': 1.7652, 'grad_norm': 6.097497940063477, 'learning_rate': 4.074074074074074e-06, 'epoch': 0.02}
{'loss': 1.7119, 'grad_norm': 6.087438106536865, 'learning_rate': 4.197530864197531e-06, 'epoch': 0.02}
{'loss': 1.7832, 'grad_norm': 5.875706672668457, 'learning_rate': 4.3209876543209875e-06, 'epoch': 0.02}
{'loss': 1.8776, 'grad_norm': 5.848435878753662, 'learning_rate': 4.444444444444444e-06, 'epoch': 0.02}
{'loss': 1.7407, 'grad_norm': 5.721008777618408, 'learning_rate': 4.567901234567902e-06, 'epoch': 0.02}
{'loss': 1.7465, 'grad_norm': 6.364572525024414, 'learning_rate': 4.691358024691358e-06, 'epoch': 0.02}
{'loss': 1.6527, 'grad_norm': 6.050097942352295, 'learning_rate': 4.814814814814815e-06, 'epoch': 0.02}
{'loss': 1.7022, 'grad_norm': 5.797003746032715, 'learning_rate': 4.938271604938272e-06, 'epoch': 0.02}
{'loss': 1.8045, 'grad_norm': 5.883903503417969, 'learning_rate': 5.061728395061729e-06, 'epoch': 0.03}
{'loss': 1.7669, 'grad_norm': 6.071247577667236, 'learning_rate': 5.185185185185185e-06, 'epoch': 0.03}
{'loss': 1.7431, 'grad_norm': 6.020575046539307, 'learning_rate': 5.3086419753086425e-06, 'epoch': 0.03}
{'loss': 1.6391, 'grad_norm': 6.227305889129639, 'learning_rate': 5.432098765432099e-06, 'epoch': 0.03}
{'loss': 1.7486, 'grad_norm': 5.570874214172363, 'learning_rate': 5.555555555555557e-06, 'epoch': 0.03}
{'loss': 1.7264, 'grad_norm': 5.585125923156738, 'learning_rate': 5.6790123456790125e-06, 'epoch': 0.03}
{'loss': 1.6515, 'grad_norm': 5.667316436767578, 'learning_rate': 5.80246913580247e-06, 'epoch': 0.03}
{'loss': 1.7425, 'grad_norm': 6.151597499847412, 'learning_rate': 5.925925925925926e-06, 'epoch': 0.03}
{'loss': 1.7554, 'grad_norm': 6.1140289306640625, 'learning_rate': 6.049382716049383e-06, 'epoch': 0.03}
{'loss': 1.8357, 'grad_norm': 5.695835590362549, 'learning_rate': 6.17283950617284e-06, 'epoch': 0.03}
{'loss': 1.6002, 'grad_norm': 6.383246898651123, 'learning_rate': 6.296296296296297e-06, 'epoch': 0.03}
{'loss': 1.6826, 'grad_norm': 5.893792629241943, 'learning_rate': 6.419753086419753e-06, 'epoch': 0.03}
{'loss': 1.7657, 'grad_norm': 6.019989490509033, 'learning_rate': 6.543209876543211e-06, 'epoch': 0.03}
{'loss': 1.6343, 'grad_norm': 6.024296760559082, 'learning_rate': 6.666666666666667e-06, 'epoch': 0.03}
{'loss': 1.6922, 'grad_norm': 5.840703964233398, 'learning_rate': 6.790123456790124e-06, 'epoch': 0.03}
{'loss': 1.6457, 'grad_norm': 5.817216873168945, 'learning_rate': 6.913580246913581e-06, 'epoch': 0.03}
{'loss': 1.6085, 'grad_norm': 5.95047664642334, 'learning_rate': 7.0370370370370375e-06, 'epoch': 0.04}
{'loss': 1.7583, 'grad_norm': 6.185786247253418, 'learning_rate': 7.160493827160494e-06, 'epoch': 0.04}
{'loss': 1.7578, 'grad_norm': 6.279903888702393, 'learning_rate': 7.283950617283952e-06, 'epoch': 0.04}
{'loss': 1.5993, 'grad_norm': 6.139132499694824, 'learning_rate': 7.4074074074074075e-06, 'epoch': 0.04}
{'loss': 1.7904, 'grad_norm': 6.02592658996582, 'learning_rate': 7.530864197530865e-06, 'epoch': 0.04}
{'loss': 1.7141, 'grad_norm': 6.437517166137695, 'learning_rate': 7.654320987654322e-06, 'epoch': 0.04}
{'loss': 1.7378, 'grad_norm': 6.125006675720215, 'learning_rate': 7.77777777777778e-06, 'epoch': 0.04}
{'loss': 1.7664, 'grad_norm': 6.187360763549805, 'learning_rate': 7.901234567901235e-06, 'epoch': 0.04}
{'loss': 1.8127, 'grad_norm': 5.642168045043945, 'learning_rate': 8.024691358024692e-06, 'epoch': 0.04}
{'loss': 1.6961, 'grad_norm': 5.965186595916748, 'learning_rate': 8.148148148148148e-06, 'epoch': 0.04}
{'loss': 1.8032, 'grad_norm': 6.496428966522217, 'learning_rate': 8.271604938271606e-06, 'epoch': 0.04}
{'loss': 1.7418, 'grad_norm': 5.702045917510986, 'learning_rate': 8.395061728395062e-06, 'epoch': 0.04}
{'loss': 1.6069, 'grad_norm': 6.065313816070557, 'learning_rate': 8.518518518518519e-06, 'epoch': 0.04}
{'loss': 1.6925, 'grad_norm': 6.132442474365234, 'learning_rate': 8.641975308641975e-06, 'epoch': 0.04}
{'loss': 1.7399, 'grad_norm': 6.429785251617432, 'learning_rate': 8.765432098765432e-06, 'epoch': 0.04}
{'loss': 1.739, 'grad_norm': 6.088991641998291, 'learning_rate': 8.888888888888888e-06, 'epoch': 0.04}
{'loss': 1.8124, 'grad_norm': 5.81290340423584, 'learning_rate': 9.012345679012346e-06, 'epoch': 0.05}
{'loss': 1.7315, 'grad_norm': 6.47330379486084, 'learning_rate': 9.135802469135803e-06, 'epoch': 0.05}
{'loss': 1.612, 'grad_norm': 6.234311580657959, 'learning_rate': 9.25925925925926e-06, 'epoch': 0.05}
{'loss': 1.7075, 'grad_norm': 6.613317012786865, 'learning_rate': 9.382716049382717e-06, 'epoch': 0.05}
{'loss': 1.8309, 'grad_norm': 5.814143180847168, 'learning_rate': 9.506172839506174e-06, 'epoch': 0.05}
{'loss': 1.7399, 'grad_norm': 5.660246849060059, 'learning_rate': 9.62962962962963e-06, 'epoch': 0.05}
{'loss': 1.8538, 'grad_norm': 5.727488994598389, 'learning_rate': 9.753086419753087e-06, 'epoch': 0.05}
{'loss': 1.7934, 'grad_norm': 6.14836311340332, 'learning_rate': 9.876543209876543e-06, 'epoch': 0.05}
{'loss': 1.764, 'grad_norm': 6.19981575012207, 'learning_rate': 1e-05, 'epoch': 0.05}
{'loss': 1.7063, 'grad_norm': 8.197076797485352, 'learning_rate': 9.999989514506315e-06, 'epoch': 0.05}
{'loss': 1.7308, 'grad_norm': 6.365771770477295, 'learning_rate': 9.999958058069237e-06, 'epoch': 0.05}
{'loss': 1.6919, 'grad_norm': 5.874769687652588, 'learning_rate': 9.9999056308207e-06, 'epoch': 0.05}
{'loss': 1.8061, 'grad_norm': 5.998138904571533, 'learning_rate': 9.999832232980598e-06, 'epoch': 0.05}
{'loss': 1.8223, 'grad_norm': 23.118722915649414, 'learning_rate': 9.999737864856772e-06, 'epoch': 0.05}
{'loss': 1.7423, 'grad_norm': 5.8543925285339355, 'learning_rate': 9.99962252684502e-06, 'epoch': 0.05}
{'loss': 1.7661, 'grad_norm': 6.196849346160889, 'learning_rate': 9.999486219429096e-06, 'epoch': 0.05}
{'loss': 1.957, 'grad_norm': 12.113706588745117, 'learning_rate': 9.999328943180696e-06, 'epoch': 0.06}
{'loss': 1.7035, 'grad_norm': 5.944507122039795, 'learning_rate': 9.999150698759473e-06, 'epoch': 0.06}
{'loss': 1.7647, 'grad_norm': 5.592182159423828, 'learning_rate': 9.998951486913015e-06, 'epoch': 0.06}
{'loss': 1.7098, 'grad_norm': 5.909406661987305, 'learning_rate': 9.998731308476856e-06, 'epoch': 0.06}
{'loss': 1.7622, 'grad_norm': 5.414766311645508, 'learning_rate': 9.998490164374472e-06, 'epoch': 0.06}
{'loss': 1.7053, 'grad_norm': 5.906578063964844, 'learning_rate': 9.998228055617264e-06, 'epoch': 0.06}
{'loss': 1.794, 'grad_norm': 5.745456218719482, 'learning_rate': 9.99794498330457e-06, 'epoch': 0.06}
{'loss': 1.7763, 'grad_norm': 5.5401835441589355, 'learning_rate': 9.99764094862365e-06, 'epoch': 0.06}
{'loss': 1.6288, 'grad_norm': 6.071635723114014, 'learning_rate': 9.99731595284969e-06, 'epoch': 0.06}
{'loss': 1.7298, 'grad_norm': 5.674471855163574, 'learning_rate': 9.996969997345779e-06, 'epoch': 0.06}
{'loss': 1.6955, 'grad_norm': 5.247634410858154, 'learning_rate': 9.996603083562928e-06, 'epoch': 0.06}
{'loss': 1.8477, 'grad_norm': 5.487860202789307, 'learning_rate': 9.996215213040045e-06, 'epoch': 0.06}
{'loss': 1.8193, 'grad_norm': 6.521811008453369, 'learning_rate': 9.995806387403935e-06, 'epoch': 0.06}
{'loss': 1.9003, 'grad_norm': 5.860596179962158, 'learning_rate': 9.995376608369294e-06, 'epoch': 0.06}
{'loss': 1.7648, 'grad_norm': 6.861355304718018, 'learning_rate': 9.9949258777387e-06, 'epoch': 0.06}
{'loss': 1.6883, 'grad_norm': 5.925960063934326, 'learning_rate': 9.994454197402604e-06, 'epoch': 0.06}
{'loss': 1.8778, 'grad_norm': 6.279824256896973, 'learning_rate': 9.99396156933933e-06, 'epoch': 0.07}
{'loss': 1.8483, 'grad_norm': 6.253477573394775, 'learning_rate': 9.993447995615056e-06, 'epoch': 0.07}
{'loss': 1.802, 'grad_norm': 5.812334060668945, 'learning_rate': 9.99291347838381e-06, 'epoch': 0.07}
{'loss': 1.6154, 'grad_norm': 6.14343786239624, 'learning_rate': 9.992358019887466e-06, 'epoch': 0.07}
{'loss': 1.9418, 'grad_norm': 5.727779865264893, 'learning_rate': 9.991781622455723e-06, 'epoch': 0.07}
{'loss': 1.743, 'grad_norm': 6.1304240226745605, 'learning_rate': 9.99118428850611e-06, 'epoch': 0.07}
{'loss': 1.669, 'grad_norm': 5.617755889892578, 'learning_rate': 9.99056602054396e-06, 'epoch': 0.07}
{'loss': 1.9173, 'grad_norm': 5.717418193817139, 'learning_rate': 9.989926821162411e-06, 'epoch': 0.07}
{'loss': 1.7822, 'grad_norm': 5.767819404602051, 'learning_rate': 9.989266693042394e-06, 'epoch': 0.07}
{'loss': 1.5151, 'grad_norm': 5.833553314208984, 'learning_rate': 9.988585638952614e-06, 'epoch': 0.07}
{'loss': 1.7797, 'grad_norm': 5.43349027633667, 'learning_rate': 9.987883661749548e-06, 'epoch': 0.07}
