                                                                                                                                                      
{'loss': 1.8801, 'grad_norm': 9.424839973449707, 'learning_rate': 1.234567901234568e-07, 'epoch': 0.0}
{'loss': 1.8402, 'grad_norm': 9.645401000976562, 'learning_rate': 2.469135802469136e-07, 'epoch': 0.0}
{'loss': 1.8206, 'grad_norm': 10.020132064819336, 'learning_rate': 3.7037037037037036e-07, 'epoch': 0.0}
{'loss': 1.8092, 'grad_norm': 11.093851089477539, 'learning_rate': 4.938271604938272e-07, 'epoch': 0.0}
{'loss': 1.8508, 'grad_norm': 9.151287078857422, 'learning_rate': 6.17283950617284e-07, 'epoch': 0.0}
{'loss': 1.8298, 'grad_norm': 9.025646209716797, 'learning_rate': 7.407407407407407e-07, 'epoch': 0.0}
{'loss': 1.722, 'grad_norm': 9.49450397491455, 'learning_rate': 8.641975308641976e-07, 'epoch': 0.0}
{'loss': 1.7804, 'grad_norm': 6.67514705657959, 'learning_rate': 9.876543209876544e-07, 'epoch': 0.0}
{'loss': 1.7386, 'grad_norm': 7.070099353790283, 'learning_rate': 1.111111111111111e-06, 'epoch': 0.01}
{'loss': 1.7343, 'grad_norm': 8.013625144958496, 'learning_rate': 1.234567901234568e-06, 'epoch': 0.01}
{'loss': 1.6801, 'grad_norm': 6.6197590827941895, 'learning_rate': 1.3580246913580248e-06, 'epoch': 0.01}
{'loss': 1.7717, 'grad_norm': 6.6835103034973145, 'learning_rate': 1.4814814814814815e-06, 'epoch': 0.01}
{'loss': 1.7832, 'grad_norm': 6.549497127532959, 'learning_rate': 1.6049382716049383e-06, 'epoch': 0.01}
{'loss': 1.7353, 'grad_norm': 7.464392185211182, 'learning_rate': 1.7283950617283952e-06, 'epoch': 0.01}
{'loss': 1.6795, 'grad_norm': 6.510346412658691, 'learning_rate': 1.8518518518518519e-06, 'epoch': 0.01}
{'loss': 1.6927, 'grad_norm': 7.0896525382995605, 'learning_rate': 1.9753086419753087e-06, 'epoch': 0.01}
{'loss': 1.801, 'grad_norm': 7.684335231781006, 'learning_rate': 2.0987654320987654e-06, 'epoch': 0.01}
{'loss': 1.7463, 'grad_norm': 6.507313251495361, 'learning_rate': 2.222222222222222e-06, 'epoch': 0.01}
{'loss': 1.6429, 'grad_norm': 6.994767189025879, 'learning_rate': 2.345679012345679e-06, 'epoch': 0.01}
