                                                                                                                                                      
{'loss': 2.1047, 'grad_norm': 8.077971458435059, 'learning_rate': 1.4492753623188408e-07, 'epoch': 0.0}
{'loss': 2.1687, 'grad_norm': 5.917182445526123, 'learning_rate': 2.8985507246376816e-07, 'epoch': 0.0}
{'loss': 2.0636, 'grad_norm': 5.1745500564575195, 'learning_rate': 4.347826086956522e-07, 'epoch': 0.0}
{'loss': 2.1711, 'grad_norm': 4.349814414978027, 'learning_rate': 5.797101449275363e-07, 'epoch': 0.0}
{'loss': 2.2307, 'grad_norm': 3.5619699954986572, 'learning_rate': 7.246376811594204e-07, 'epoch': 0.0}
{'loss': 2.0205, 'grad_norm': 6.083174705505371, 'learning_rate': 8.695652173913044e-07, 'epoch': 0.0}
{'loss': 2.0995, 'grad_norm': 4.570148944854736, 'learning_rate': 1.0144927536231885e-06, 'epoch': 0.01}
{'loss': 2.1743, 'grad_norm': 6.415193557739258, 'learning_rate': 1.1594202898550726e-06, 'epoch': 0.01}
{'loss': 2.0526, 'grad_norm': 4.1342453956604, 'learning_rate': 1.3043478260869566e-06, 'epoch': 0.01}
{'loss': 2.1828, 'grad_norm': 5.3836493492126465, 'learning_rate': 1.4492753623188408e-06, 'epoch': 0.01}
{'loss': 2.1227, 'grad_norm': 5.291930675506592, 'learning_rate': 1.5942028985507246e-06, 'epoch': 0.01}
{'loss': 2.0772, 'grad_norm': 4.413209915161133, 'learning_rate': 1.7391304347826088e-06, 'epoch': 0.01}
{'loss': 2.1654, 'grad_norm': 5.1302924156188965, 'learning_rate': 1.884057971014493e-06, 'epoch': 0.01}
{'loss': 2.016, 'grad_norm': 4.913005828857422, 'learning_rate': 2.028985507246377e-06, 'epoch': 0.01}
{'loss': 1.9195, 'grad_norm': 4.1900129318237305, 'learning_rate': 2.173913043478261e-06, 'epoch': 0.01}
{'loss': 2.029, 'grad_norm': 9.397420883178711, 'learning_rate': 2.3188405797101453e-06, 'epoch': 0.01}
{'loss': 2.1006, 'grad_norm': 9.539944648742676, 'learning_rate': 2.4637681159420295e-06, 'epoch': 0.01}
{'loss': 2.117, 'grad_norm': 3.367241144180298, 'learning_rate': 2.6086956521739132e-06, 'epoch': 0.01}
{'loss': 1.896, 'grad_norm': 3.0954673290252686, 'learning_rate': 2.7536231884057974e-06, 'epoch': 0.01}
{'loss': 2.1578, 'grad_norm': 3.1055850982666016, 'learning_rate': 2.8985507246376816e-06, 'epoch': 0.01}
{'loss': 2.0247, 'grad_norm': 2.9717366695404053, 'learning_rate': 3.043478260869566e-06, 'epoch': 0.02}
{'loss': 1.9651, 'grad_norm': 2.877622604370117, 'learning_rate': 3.188405797101449e-06, 'epoch': 0.02}
{'loss': 2.1517, 'grad_norm': 3.319199562072754, 'learning_rate': 3.3333333333333333e-06, 'epoch': 0.02}
{'loss': 2.1025, 'grad_norm': 3.4414796829223633, 'learning_rate': 3.4782608695652175e-06, 'epoch': 0.02}
{'loss': 2.1508, 'grad_norm': 3.7557601928710938, 'learning_rate': 3.6231884057971017e-06, 'epoch': 0.02}
{'loss': 2.0212, 'grad_norm': 2.7017629146575928, 'learning_rate': 3.768115942028986e-06, 'epoch': 0.02}
{'loss': 1.9525, 'grad_norm': 2.707099676132202, 'learning_rate': 3.91304347826087e-06, 'epoch': 0.02}
{'loss': 2.0229, 'grad_norm': 2.6023406982421875, 'learning_rate': 4.057971014492754e-06, 'epoch': 0.02}
{'loss': 2.0434, 'grad_norm': 2.9615321159362793, 'learning_rate': 4.202898550724638e-06, 'epoch': 0.02}
{'loss': 2.0717, 'grad_norm': 2.535656452178955, 'learning_rate': 4.347826086956522e-06, 'epoch': 0.02}
{'loss': 2.0605, 'grad_norm': 2.6297478675842285, 'learning_rate': 4.492753623188406e-06, 'epoch': 0.02}
{'loss': 2.0254, 'grad_norm': 2.468820333480835, 'learning_rate': 4.637681159420291e-06, 'epoch': 0.02}
{'loss': 1.9682, 'grad_norm': 2.5771822929382324, 'learning_rate': 4.782608695652174e-06, 'epoch': 0.02}
{'loss': 2.043, 'grad_norm': 2.75410795211792, 'learning_rate': 4.927536231884059e-06, 'epoch': 0.02}
{'loss': 1.9455, 'grad_norm': 2.5286507606506348, 'learning_rate': 5.072463768115943e-06, 'epoch': 0.03}
{'loss': 2.0634, 'grad_norm': 2.5649635791778564, 'learning_rate': 5.2173913043478265e-06, 'epoch': 0.03}
{'loss': 1.9702, 'grad_norm': 2.429335594177246, 'learning_rate': 5.362318840579711e-06, 'epoch': 0.03}
{'loss': 1.9642, 'grad_norm': 2.396395683288574, 'learning_rate': 5.507246376811595e-06, 'epoch': 0.03}
{'loss': 2.0069, 'grad_norm': 2.3798229694366455, 'learning_rate': 5.652173913043479e-06, 'epoch': 0.03}
{'loss': 1.9663, 'grad_norm': 2.2255468368530273, 'learning_rate': 5.797101449275363e-06, 'epoch': 0.03}
{'loss': 2.0082, 'grad_norm': 2.5694878101348877, 'learning_rate': 5.942028985507247e-06, 'epoch': 0.03}
{'loss': 2.021, 'grad_norm': 2.5240657329559326, 'learning_rate': 6.086956521739132e-06, 'epoch': 0.03}
{'loss': 2.0532, 'grad_norm': 2.492542266845703, 'learning_rate': 6.2318840579710145e-06, 'epoch': 0.03}
{'loss': 1.9902, 'grad_norm': 2.512840747833252, 'learning_rate': 6.376811594202898e-06, 'epoch': 0.03}
{'loss': 2.0868, 'grad_norm': 2.5584895610809326, 'learning_rate': 6.521739130434783e-06, 'epoch': 0.03}
{'loss': 2.1316, 'grad_norm': 2.3262529373168945, 'learning_rate': 6.666666666666667e-06, 'epoch': 0.03}
{'loss': 1.8757, 'grad_norm': 2.552489995956421, 'learning_rate': 6.811594202898551e-06, 'epoch': 0.03}
{'loss': 2.0819, 'grad_norm': 2.433100461959839, 'learning_rate': 6.956521739130435e-06, 'epoch': 0.03}
{'loss': 2.0328, 'grad_norm': 2.6522409915924072, 'learning_rate': 7.10144927536232e-06, 'epoch': 0.04}
{'loss': 1.9112, 'grad_norm': 2.7270779609680176, 'learning_rate': 7.246376811594203e-06, 'epoch': 0.04}
{'loss': 2.1139, 'grad_norm': 2.4677846431732178, 'learning_rate': 7.391304347826087e-06, 'epoch': 0.04}
{'loss': 1.997, 'grad_norm': 2.5046277046203613, 'learning_rate': 7.536231884057972e-06, 'epoch': 0.04}
{'loss': 2.0344, 'grad_norm': 2.448133945465088, 'learning_rate': 7.681159420289856e-06, 'epoch': 0.04}
{'loss': 2.059, 'grad_norm': 2.4637138843536377, 'learning_rate': 7.82608695652174e-06, 'epoch': 0.04}
{'loss': 1.9803, 'grad_norm': 2.3434062004089355, 'learning_rate': 7.971014492753623e-06, 'epoch': 0.04}
{'loss': 2.0593, 'grad_norm': 2.8204634189605713, 'learning_rate': 8.115942028985508e-06, 'epoch': 0.04}
{'loss': 1.9712, 'grad_norm': 2.465718984603882, 'learning_rate': 8.260869565217392e-06, 'epoch': 0.04}
{'loss': 1.9514, 'grad_norm': 2.6802752017974854, 'learning_rate': 8.405797101449275e-06, 'epoch': 0.04}
{'loss': 1.9594, 'grad_norm': 2.944113254547119, 'learning_rate': 8.55072463768116e-06, 'epoch': 0.04}
{'loss': 1.9575, 'grad_norm': 2.346531391143799, 'learning_rate': 8.695652173913044e-06, 'epoch': 0.04}
{'loss': 1.8724, 'grad_norm': 2.522599458694458, 'learning_rate': 8.840579710144929e-06, 'epoch': 0.04}
{'loss': 2.0529, 'grad_norm': 2.2608182430267334, 'learning_rate': 8.985507246376812e-06, 'epoch': 0.05}
{'loss': 1.9768, 'grad_norm': 2.4651079177856445, 'learning_rate': 9.130434782608697e-06, 'epoch': 0.05}
{'loss': 2.0638, 'grad_norm': 2.476094961166382, 'learning_rate': 9.275362318840581e-06, 'epoch': 0.05}
{'loss': 1.9402, 'grad_norm': 2.7587082386016846, 'learning_rate': 9.420289855072464e-06, 'epoch': 0.05}
{'loss': 2.0075, 'grad_norm': 2.5597002506256104, 'learning_rate': 9.565217391304349e-06, 'epoch': 0.05}
{'loss': 1.9531, 'grad_norm': 2.7462527751922607, 'learning_rate': 9.710144927536233e-06, 'epoch': 0.05}
{'loss': 1.9007, 'grad_norm': 2.2164220809936523, 'learning_rate': 9.855072463768118e-06, 'epoch': 0.05}
{'loss': 2.0701, 'grad_norm': 2.7159488201141357, 'learning_rate': 1e-05, 'epoch': 0.05}
{'loss': 2.0136, 'grad_norm': 2.3622820377349854, 'learning_rate': 9.999985533842447e-06, 'epoch': 0.05}
{'loss': 1.8178, 'grad_norm': 2.65110445022583, 'learning_rate': 9.999942135453496e-06, 'epoch': 0.05}
{'loss': 2.007, 'grad_norm': 2.594942092895508, 'learning_rate': 9.999869805084266e-06, 'epoch': 0.05}
{'loss': 1.9979, 'grad_norm': 2.3292946815490723, 'learning_rate': 9.9997685431533e-06, 'epoch': 0.05}
{'loss': 1.9436, 'grad_norm': 2.9162304401397705, 'learning_rate': 9.999638350246544e-06, 'epoch': 0.05}
{'loss': 1.9716, 'grad_norm': 3.489635944366455, 'learning_rate': 9.999479227117352e-06, 'epoch': 0.05}
{'loss': 1.9588, 'grad_norm': 2.47598934173584, 'learning_rate': 9.999291174686486e-06, 'epoch': 0.06}
{'loss': 2.0958, 'grad_norm': 3.2488064765930176, 'learning_rate': 9.999074194042107e-06, 'epoch': 0.06}
{'loss': 1.9453, 'grad_norm': 3.018533945083618, 'learning_rate': 9.998828286439761e-06, 'epoch': 0.06}
{'loss': 2.1619, 'grad_norm': 2.271939754486084, 'learning_rate': 9.998553453302386e-06, 'epoch': 0.06}
{'loss': 1.9913, 'grad_norm': 2.3561453819274902, 'learning_rate': 9.998249696220292e-06, 'epoch': 0.06}
{'loss': 1.9541, 'grad_norm': 2.4589831829071045, 'learning_rate': 9.997917016951162e-06, 'epoch': 0.06}
{'loss': 2.1265, 'grad_norm': 2.3401572704315186, 'learning_rate': 9.997555417420028e-06, 'epoch': 0.06}
{'loss': 2.0537, 'grad_norm': 2.9458045959472656, 'learning_rate': 9.997164899719274e-06, 'epoch': 0.06}
{'loss': 2.111, 'grad_norm': 2.23465895652771, 'learning_rate': 9.996745466108616e-06, 'epoch': 0.06}
{'loss': 2.0098, 'grad_norm': 2.28883957862854, 'learning_rate': 9.99629711901509e-06, 'epoch': 0.06}
{'loss': 1.9317, 'grad_norm': 3.472702980041504, 'learning_rate': 9.995819861033042e-06, 'epoch': 0.06}
{'loss': 2.072, 'grad_norm': 2.50801944732666, 'learning_rate': 9.995313694924108e-06, 'epoch': 0.06}
{'loss': 2.0793, 'grad_norm': 2.4119317531585693, 'learning_rate': 9.994778623617197e-06, 'epoch': 0.06}
{'loss': 2.0728, 'grad_norm': 2.4034945964813232, 'learning_rate': 9.99421465020848e-06, 'epoch': 0.06}
{'loss': 1.887, 'grad_norm': 2.2951102256774902, 'learning_rate': 9.99362177796137e-06, 'epoch': 0.07}
{'loss': 2.0116, 'grad_norm': 2.4050233364105225, 'learning_rate': 9.9930000103065e-06, 'epoch': 0.07}
{'loss': 2.0683, 'grad_norm': 2.3657567501068115, 'learning_rate': 9.992349350841702e-06, 'epoch': 0.07}
{'loss': 1.9675, 'grad_norm': 2.2453689575195312, 'learning_rate': 9.991669803331996e-06, 'epoch': 0.07}
{'loss': 2.0731, 'grad_norm': 2.3431177139282227, 'learning_rate': 9.99096137170956e-06, 'epoch': 0.07}
{'loss': 2.0246, 'grad_norm': 2.4184494018554688, 'learning_rate': 9.990224060073705e-06, 'epoch': 0.07}
{'loss': 1.9629, 'grad_norm': 2.4682834148406982, 'learning_rate': 9.989457872690858e-06, 'epoch': 0.07}
{'loss': 2.052, 'grad_norm': 2.2627036571502686, 'learning_rate': 9.988662813994533e-06, 'epoch': 0.07}
{'loss': 2.0591, 'grad_norm': 2.3919475078582764, 'learning_rate': 9.987838888585309e-06, 'epoch': 0.07}
{'loss': 2.0013, 'grad_norm': 2.2970147132873535, 'learning_rate': 9.9869861012308e-06, 'epoch': 0.07}
{'loss': 2.0089, 'grad_norm': 2.4136617183685303, 'learning_rate': 9.986104456865628e-06, 'epoch': 0.07}
{'loss': 2.0041, 'grad_norm': 2.5627007484436035, 'learning_rate': 9.985193960591397e-06, 'epoch': 0.07}
{'loss': 2.118, 'grad_norm': 6.318201065063477, 'learning_rate': 9.984254617676657e-06, 'epoch': 0.07}
{'loss': 1.9865, 'grad_norm': 2.4499402046203613, 'learning_rate': 9.983286433556882e-06, 'epoch': 0.07}
{'loss': 2.1405, 'grad_norm': 2.5960288047790527, 'learning_rate': 9.982289413834436e-06, 'epoch': 0.08}
{'loss': 1.9708, 'grad_norm': 2.5001063346862793, 'learning_rate': 9.981263564278536e-06, 'epoch': 0.08}
{'loss': 1.9851, 'grad_norm': 2.42299222946167, 'learning_rate': 9.98020889082522e-06, 'epoch': 0.08}
{'loss': 1.9546, 'grad_norm': 2.3346543312072754, 'learning_rate': 9.97912539957732e-06, 'epoch': 0.08}
{'loss': 1.9911, 'grad_norm': 2.2721123695373535, 'learning_rate': 9.978013096804415e-06, 'epoch': 0.08}
{'loss': 1.9282, 'grad_norm': 2.354886531829834, 'learning_rate': 9.976871988942804e-06, 'epoch': 0.08}
{'loss': 2.0132, 'grad_norm': 2.791043758392334, 'learning_rate': 9.975702082595469e-06, 'epoch': 0.08}
{'loss': 2.0196, 'grad_norm': 2.4570651054382324, 'learning_rate': 9.974503384532029e-06, 'epoch': 0.08}
{'loss': 2.029, 'grad_norm': 2.578052043914795, 'learning_rate': 9.973275901688703e-06, 'epoch': 0.08}
{'loss': 2.037, 'grad_norm': 2.306053876876831, 'learning_rate': 9.972019641168277e-06, 'epoch': 0.08}
{'loss': 1.869, 'grad_norm': 2.677377700805664, 'learning_rate': 9.970734610240056e-06, 'epoch': 0.08}
{'loss': 2.0, 'grad_norm': 3.6097359657287598, 'learning_rate': 9.969420816339824e-06, 'epoch': 0.08}
{'loss': 2.0041, 'grad_norm': 2.673072099685669, 'learning_rate': 9.9680782670698e-06, 'epoch': 0.08}
{'loss': 2.0028, 'grad_norm': 2.3774492740631104, 'learning_rate': 9.966706970198596e-06, 'epoch': 0.09}
{'loss': 2.0163, 'grad_norm': 2.369415283203125, 'learning_rate': 9.965306933661172e-06, 'epoch': 0.09}
{'loss': 1.9749, 'grad_norm': 2.511772871017456, 'learning_rate': 9.963878165558788e-06, 'epoch': 0.09}
{'loss': 1.9877, 'grad_norm': 2.785154342651367, 'learning_rate': 9.962420674158955e-06, 'epoch': 0.09}
{'loss': 1.9861, 'grad_norm': 2.472301959991455, 'learning_rate': 9.960934467895394e-06, 'epoch': 0.09}
{'loss': 1.9497, 'grad_norm': 2.5258147716522217, 'learning_rate': 9.959419555367982e-06, 'epoch': 0.09}
{'loss': 1.9538, 'grad_norm': 2.4848389625549316, 'learning_rate': 9.957875945342708e-06, 'epoch': 0.09}
{'loss': 2.0127, 'grad_norm': 2.3134255409240723, 'learning_rate': 9.95630364675161e-06, 'epoch': 0.09}
{'loss': 1.8611, 'grad_norm': 2.4470462799072266, 'learning_rate': 9.954702668692737e-06, 'epoch': 0.09}
{'loss': 1.8513, 'grad_norm': 2.4658706188201904, 'learning_rate': 9.953073020430092e-06, 'epoch': 0.09}
{'loss': 1.8981, 'grad_norm': 3.7258315086364746, 'learning_rate': 9.95141471139357e-06, 'epoch': 0.09}
{'loss': 2.1013, 'grad_norm': 2.5556411743164062, 'learning_rate': 9.949727751178919e-06, 'epoch': 0.09}
{'loss': 2.0205, 'grad_norm': 2.360262155532837, 'learning_rate': 9.948012149547668e-06, 'epoch': 0.09}
{'loss': 1.8494, 'grad_norm': 2.36384916305542, 'learning_rate': 9.946267916427085e-06, 'epoch': 0.09}
{'loss': 1.9488, 'grad_norm': 2.3661444187164307, 'learning_rate': 9.944495061910112e-06, 'epoch': 0.1}
{'loss': 1.8186, 'grad_norm': 2.536332368850708, 'learning_rate': 9.942693596255302e-06, 'epoch': 0.1}
{'loss': 2.0957, 'grad_norm': 2.466674566268921, 'learning_rate': 9.94086352988677e-06, 'epoch': 0.1}
{'loss': 1.9257, 'grad_norm': 2.4228928089141846, 'learning_rate': 9.93900487339413e-06, 'epoch': 0.1}
{'loss': 1.949, 'grad_norm': 2.4332189559936523, 'learning_rate': 9.937117637532428e-06, 'epoch': 0.1}
{'loss': 2.022, 'grad_norm': 2.293027400970459, 'learning_rate': 9.935201833222084e-06, 'epoch': 0.1}
{'loss': 2.0502, 'grad_norm': 2.5054893493652344, 'learning_rate': 9.93325747154883e-06, 'epoch': 0.1}
{'loss': 2.0118, 'grad_norm': 2.3430898189544678, 'learning_rate': 9.931284563763641e-06, 'epoch': 0.1}
{'loss': 1.955, 'grad_norm': 2.24001145362854, 'learning_rate': 9.929283121282675e-06, 'epoch': 0.1}
{'loss': 2.0537, 'grad_norm': 2.29258394241333, 'learning_rate': 9.927253155687207e-06, 'epoch': 0.1}
{'loss': 2.0844, 'grad_norm': 2.2797882556915283, 'learning_rate': 9.925194678723558e-06, 'epoch': 0.1}
{'loss': 2.0782, 'grad_norm': 2.2760462760925293, 'learning_rate': 9.923107702303025e-06, 'epoch': 0.1}
{'loss': 2.0049, 'grad_norm': 2.7142417430877686, 'learning_rate': 9.920992238501823e-06, 'epoch': 0.1}
{'loss': 2.1348, 'grad_norm': 2.194530487060547, 'learning_rate': 9.918848299561007e-06, 'epoch': 0.1}
{'loss': 2.0327, 'grad_norm': 2.5691378116607666, 'learning_rate': 9.916675897886394e-06, 'epoch': 0.11}
{'loss': 1.9713, 'grad_norm': 2.677150249481201, 'learning_rate': 9.914475046048512e-06, 'epoch': 0.11}
